frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.050106;-0.097319;0.175203;0.127990
2;0.066667;0.173961;-0.266846;1.596322;1.503437
3;0.100000;0.300160;-0.499295;5.667042;5.467907
4;0.133333;0.360949;-0.750852;12.777530;12.387620
5;0.166667;0.353757;-0.982952;20.905340;20.276140
6;0.200000;0.507059;-1.196123;28.019210;27.330150
7;0.233333;0.803675;-1.407068;33.037850;32.434460
8;0.266667;1.251599;-1.631715;35.114600;34.734490
9;0.300000;1.773086;-1.877021;33.904920;33.800980
10;0.333333;2.302686;-2.138219;29.958040;30.122510
11;0.366667;2.827801;-2.410088;24.152690;24.570400
12;0.400000;3.116732;-2.685306;17.842530;18.273960
13;0.433333;3.148357;-2.963146;12.325130;12.510340
14;0.466667;3.214397;-3.245227;8.187281;8.156451
15;0.500000;3.282844;-3.525125;5.096038;4.853757
16;0.533333;3.016247;-3.797023;2.991767;2.210991
17;0.566667;2.517155;-4.052020;1.870850;0.335986
18;0.600000;2.099052;-4.284319;1.507794;-0.677473
19;0.633333;2.069852;-4.513325;1.375318;-1.068156
20;0.666667;1.996631;-4.746608;1.665550;-1.084428
21;0.700000;2.080600;-5.004588;2.126163;-0.797825
22;0.733334;2.276769;-5.300926;3.011620;-0.012536
23;0.766667;2.477078;-5.633344;4.575195;1.418929
24;0.800000;2.694514;-5.982676;7.017454;3.729292
25;0.833334;2.631227;-6.311819;9.765671;6.085079
26;0.866667;2.545203;-6.609048;12.583430;8.519589
27;0.900000;2.860556;-6.883301;15.513490;11.490750
28;0.933334;3.654301;-7.152415;18.390050;14.891940
29;0.966667;4.717751;-7.441178;20.955770;18.232340
30;1.000000;6.500113;-7.785254;23.152400;21.867260
31;1.033334;8.703713;-8.204690;25.281170;25.780200
32;1.066667;10.886310;-8.692773;27.707020;29.900560
33;1.100000;12.478860;-9.214551;30.194550;33.458850
34;1.133334;12.886370;-9.713598;32.850180;36.022950
35;1.166667;13.552910;-10.156480;34.375770;37.772200
36;1.200000;14.286450;-10.536880;34.165600;37.915170
37;1.233333;15.342300;-10.858820;31.067460;35.550940
38;1.266667;16.093670;-11.126870;26.873770;31.840570
39;1.300000;15.294020;-11.330880;22.811950;26.775100
40;1.333333;14.154800;-11.473230;19.002880;21.684450
41;1.366667;12.733480;-11.574710;15.240110;16.398880
42;1.400000;11.985870;-11.650550;12.655110;12.990430
43;1.433333;11.764050;-11.707430;11.264090;11.320710
44;1.466667;11.652490;-11.743320;9.957960;9.867126
45;1.500000;11.687050;-11.752270;8.455750;8.390528
46;1.533333;11.402450;-11.730140;7.551741;7.224054
47;1.566666;10.560120;-11.673900;7.491698;6.377920
48;1.600000;9.267563;-11.585500;8.240385;5.922447
49;1.633333;8.246715;-11.472760;9.270788;6.044744
50;1.666666;7.830551;-11.343120;9.324762;5.812196
51;1.700000;7.680717;-11.202660;7.658493;4.136554
52;1.733333;7.484155;-11.049050;5.924359;2.359464
53;1.766666;7.588234;-10.894870;4.374919;1.068281
54;1.800000;7.509798;-10.758180;4.198614;0.950233
55;1.833333;7.292587;-10.628280;4.829338;1.493649
56;1.866666;6.980569;-10.479900;6.010182;2.510849
57;1.899999;6.966605;-10.294390;7.256667;3.928877
58;1.933333;7.361058;-10.061700;8.407243;5.706605
59;1.966666;7.932746;-9.780751;9.450284;7.602279
60;1.999999;8.657215;-9.453706;10.221090;9.424597
61;2.033333;9.108528;-9.089700;11.147840;11.166670
62;2.066666;8.788169;-8.707149;12.210440;12.291460
63;2.099999;8.668912;-8.310142;13.557090;13.915860
64;2.133333;8.796470;-7.896954;15.394130;16.293650
65;2.166666;8.446754;-7.487673;17.720310;18.679390
66;2.199999;7.549568;-7.098809;20.872420;21.323180
67;2.233333;6.791922;-6.718583;24.051520;24.124860
68;2.266666;6.405242;-6.330596;26.486960;26.561600
69;2.299999;5.876086;-5.935264;28.199590;28.140410
70;2.333333;4.914732;-5.540078;29.564800;28.939450
71;2.366666;4.105270;-5.156422;30.023450;28.972300
72;2.399999;3.604411;-4.804366;29.369770;28.169820
73;2.433332;3.178601;-4.511872;27.696710;26.363440
74;2.466666;2.668826;-4.298589;25.469840;23.840080
75;2.499999;2.307080;-4.158814;23.383430;21.531700
76;2.533332;2.459765;-4.080033;20.574000;18.953730
77;2.566666;2.782699;-4.047454;17.419360;16.154610
78;2.599999;3.019698;-4.054941;14.347100;13.311860
79;2.633332;3.012467;-4.063807;11.606890;10.555550
80;2.666666;3.295701;-4.051105;9.633332;8.877929
81;2.699999;3.367550;-4.002352;8.488390;7.853588
82;2.733332;2.772375;-3.890367;7.283228;6.165236
83;2.766665;2.507688;-3.703777;4.380656;3.184567
84;2.799999;2.425138;-3.452772;2.507441;1.479807
85;2.833332;2.182706;-3.176372;2.099034;1.105369
86;2.866665;1.928313;-2.927211;2.415926;1.417028
87;2.899999;1.571979;-2.740142;3.018225;1.850063
88;2.933332;1.392757;-2.613061;3.360939;2.140635
89;2.966665;1.210015;-2.521519;3.676607;2.365103
90;2.999999;1.119647;-2.459594;3.812916;2.472969
91;3.033332;1.122291;-2.426548;4.031489;2.727232
92;3.066665;1.267890;-2.425630;4.515883;3.358144
93;3.099998;1.413643;-2.462120;5.835979;4.787501
94;3.133332;1.432953;-2.544139;8.334928;7.223742
95;3.166665;1.599071;-2.663452;11.696790;10.632410
96;3.199998;1.859899;-2.800238;15.648290;14.707950
97;3.233332;2.112800;-2.968323;19.685620;18.830100
98;3.266665;2.654591;-3.135801;22.541670;22.060460
99;3.299998;3.486732;-3.259898;23.405320;23.632150
100;3.333332;3.556996;-3.323404;21.879710;22.113300
101;3.366665;3.318673;-3.344647;19.522550;19.496580
102;3.399998;3.067452;-3.354273;18.131140;17.844320
103;3.433331;2.787229;-3.364118;16.791650;16.214760
104;3.466665;2.938043;-3.390077;13.318010;12.865980
105;3.499998;3.304086;-3.428706;9.988367;9.863748
106;3.533331;4.233836;-3.487429;7.223606;7.970012
107;3.566665;3.356032;-3.529116;8.324434;8.151350
108;3.599998;2.608207;-3.584619;10.020580;9.044165
109;3.633331;2.179424;-3.645751;10.635070;9.168743
110;3.666665;2.228016;-3.724553;9.708918;8.212380
111;3.699998;2.339620;-3.827724;8.462152;6.974047
112;3.733331;2.508452;-3.947143;8.165418;6.726727
113;3.766665;2.819271;-4.080211;9.539525;8.278585
114;3.799998;2.697338;-4.221926;11.506910;9.982319
115;3.833331;2.643390;-4.373546;14.466370;12.736210
116;3.866664;2.651546;-4.535721;17.183650;15.299470
117;3.899998;2.777187;-4.705015;19.119810;17.191980
118;3.933331;3.057680;-4.894213;20.852390;19.015860
119;3.966664;3.659919;-5.122440;21.753970;20.291440
120;3.999998;4.303235;-5.377785;21.908580;20.834030
121;4.033331;4.813901;-5.632242;23.113830;22.295490
122;4.066664;4.998247;-5.867014;25.718490;24.849720
123;4.099998;4.978659;-6.074892;27.848190;26.751960
124;4.133331;4.300985;-6.245766;28.290360;26.345580
