frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.052356;-0.125076;0.463506;0.390786
2;0.066667;0.202553;-0.331857;3.527022;3.397717
3;0.100000;0.429892;-0.631071;12.470520;12.269350
4;0.133333;0.695139;-1.007708;31.711360;31.398790
5;0.166667;0.941543;-1.439941;66.779400;66.281010
6;0.200000;1.106754;-1.901138;122.414100;121.619700
7;0.233333;1.157749;-2.366388;197.978400;196.769800
8;0.266667;1.109658;-2.816746;287.905000;286.197900
9;0.300000;1.010251;-3.241486;386.372000;384.140800
10;0.333333;0.920287;-3.643421;493.216700;490.493600
11;0.366667;0.857681;-4.023341;611.065700;607.900000
12;0.400000;0.812901;-4.382094;740.389000;736.819800
13;0.433333;0.840091;-4.728388;878.916500;875.028200
14;0.466667;0.990968;-5.083501;1025.088000;1020.995000
15;0.500000;1.259168;-5.474672;1180.927000;1176.712000
16;0.533333;1.649670;-5.924280;1349.757000;1345.482000
17;0.566667;2.152914;-6.444995;1536.384000;1532.092000
18;0.600000;2.736746;-7.032093;1744.614000;1740.319000
19;0.633333;3.292151;-7.672639;1975.855000;1971.475000
20;0.666667;3.822581;-8.351974;2228.285000;2223.755000
21;0.700000;4.243574;-9.050451;2493.591000;2488.784000
22;0.733334;4.463603;-9.744193;2760.479000;2755.199000
23;0.766667;4.636736;-10.415280;3015.406000;3009.628000
24;0.800000;4.754953;-11.050030;3251.610000;3245.315000
25;0.833334;4.753439;-11.637250;3465.419000;3458.535000
26;0.866667;4.601756;-12.166130;3651.703000;3644.139000
27;0.900000;4.171557;-12.626630;3807.917000;3799.461000
28;0.933334;3.848669;-13.022840;3922.180000;3913.006000
29;0.966667;3.733336;-13.360980;4005.800000;3996.172000
30;1.000000;3.782249;-13.637070;4027.511000;4017.656000
31;1.033334;3.960157;-13.854400;3985.322000;3975.428000
32;1.066667;4.115804;-14.014320;3885.475000;3875.577000
33;1.100000;4.224994;-14.118330;3743.557000;3733.664000
34;1.133334;4.270625;-14.176510;3572.766000;3562.860000
