frame;time;kinetic;gravitational;elastic;total
1;0.033333;4.992327;-163.783100;0.078610;-158.712100
2;0.066667;19.464440;-183.747500;0.579897;-163.703200
3;0.100000;42.588550;-213.153500;1.932343;-168.632600
4;0.133333;73.504990;-251.582600;4.566078;-173.511500
5;0.166667;111.337400;-298.598000;8.914634;-178.346000
6;0.200000;155.201800;-353.758300;15.415380;-183.141100
7;0.233333;204.213400;-416.622700;24.503250;-187.906000
8;0.266667;257.492600;-486.744200;36.608280;-192.643300
9;0.300000;314.159500;-563.677600;52.160030;-197.358000
10;0.333333;373.332900;-646.973800;71.592930;-202.048000
11;0.366667;434.121300;-736.193700;95.348150;-206.724200
12;0.400000;495.633500;-830.887500;123.870000;-211.383900
13;0.433333;556.979700;-930.612500;157.600800;-216.032000
14;0.466667;617.274700;-1034.918000;196.975900;-220.667100
15;0.500000;675.644500;-1143.360000;242.421300;-225.294100
16;0.533333;731.225300;-1255.489000;294.350100;-229.913900
17;0.566667;783.171700;-1370.855000;353.155600;-234.528100
18;0.600000;830.669300;-1489.014000;419.200600;-239.144200
19;0.633333;872.943200;-1609.503000;492.805900;-243.753600
20;0.666667;909.279500;-1731.884000;574.231600;-248.372700
21;0.700000;939.048600;-1855.700000;663.651700;-252.999600
22;0.733334;961.738300;-1980.502000;761.125900;-257.637600
23;0.766667;976.981700;-2105.834000;866.561300;-262.291000
24;0.800000;984.589900;-2231.251000;979.702600;-266.958300
25;0.833334;984.558400;-2356.296000;1100.103000;-271.634800
26;0.866667;977.072800;-2480.527000;1227.133000;-276.321200
27;0.900000;962.487100;-2603.492000;1359.993000;-281.011900
28;0.933334;941.302300;-2724.739000;1497.734000;-285.702200
29;0.966667;914.140400;-2843.825000;1639.297000;-290.387700
30;1.000000;881.708300;-2960.312000;1783.528000;-295.076000
31;1.033334;844.769700;-3073.754000;1929.228000;-299.755700
32;1.066667;804.123000;-3183.721000;2075.167000;-304.430700
33;1.100000;760.576600;-3289.778000;2220.103000;-309.098000
34;1.133334;714.941900;-3391.505000;2362.803000;-313.760300
35;1.166667;668.017500;-3488.488000;2502.060000;-318.410200
36;1.200000;620.584200;-3580.323000;2636.686000;-323.053000
