frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.052012;-0.077746;4.197245;4.171511
2;0.066667;0.196706;-0.237997;47.829540;47.788250
3;0.100000;0.404965;-0.491425;207.385400;207.298900
4;0.133333;0.638456;-0.824485;580.558000;580.372000
5;0.166667;0.861686;-1.219348;1234.736000;1234.378000
6;0.200000;1.054686;-1.655110;2153.758000;2153.158000
7;0.233333;1.220247;-2.110085;3243.035000;3242.145000
8;0.266667;1.382015;-2.563560;4331.109000;4329.928000
9;0.300000;1.576884;-2.997640;5222.011000;5220.590000
10;0.333333;1.837710;-3.399113;5736.908000;5735.347000
11;0.366667;2.181995;-3.760724;5784.405000;5782.827000
12;0.400000;2.601339;-4.081668;5396.834000;5395.354000
13;0.433333;3.067573;-4.367341;4692.752000;4691.452000
14;0.466667;3.541960;-4.628251;3862.047000;3860.960000
15;0.500000;3.990136;-4.878594;3096.472000;3095.583000
16;0.533333;4.393284;-5.134006;2526.386000;2525.646000
17;0.566667;4.752266;-5.409809;2217.179000;2216.521000
18;0.600000;5.089398;-5.719196;2139.615000;2138.985000
19;0.633333;5.440011;-6.071548;2176.239000;2175.607000
20;0.666667;5.821980;-6.471707;2245.710000;2245.061000
21;0.700000;6.228484;-6.919477;2362.968000;2362.277000
22;0.733334;6.644878;-7.409264;2567.763000;2566.999000
23;0.766667;7.053476;-7.930323;2901.350000;2900.473000
24;0.800000;7.440876;-8.468470;3364.559000;3363.531000
25;0.833334;7.799156;-9.007302;3936.044000;3934.836000
26;0.866667;8.130804;-9.528954;4550.138000;4548.740000
27;0.900000;8.447306;-10.016700;5127.459000;5125.890000
28;0.933334;8.762465;-10.456770;5589.083000;5587.388000
29;0.966667;9.089567;-10.839140;5823.865000;5822.115000
30;1.000000;9.427571;-11.158570;5813.322000;5811.591000
31;1.033334;9.769201;-11.415350;5536.250000;5534.604000
32;1.066667;10.105280;-11.615090;5058.966000;5057.457000
33;1.100000;10.424840;-11.766920;4440.907000;4439.564000
34;1.133334;10.716180;-11.882290;3762.786000;3761.620000
35;1.166667;10.969820;-11.973760;3125.940000;3124.936000
36;1.200000;11.179250;-12.053850;2607.851000;2606.976000
37;1.233333;11.348440;-12.133590;2249.384000;2248.599000
38;1.266667;11.481610;-12.221040;2064.041000;2063.301000
39;1.300000;11.581350;-12.320190;2067.413000;2066.674000
40;1.333333;11.654360;-12.431280;2232.142000;2231.365000
41;1.366667;11.690610;-12.550920;2581.115000;2580.254000
42;1.400000;11.687510;-12.672670;3097.287000;3096.302000
43;1.433333;11.635050;-12.786840;3791.952000;3790.800000
44;1.466667;11.522620;-12.880680;4613.023000;4611.665000
45;1.500000;11.345690;-12.940170;5507.473000;5505.878000
46;1.533333;11.114730;-12.951060;6433.175000;6431.339000
47;1.566666;10.847800;-12.899870;7230.443000;7228.391000
48;1.600000;10.572540;-12.775620;7695.778000;7693.575000
49;1.633333;10.300350;-12.571430;7903.682000;7901.411000
50;1.666666;10.034690;-12.284930;7823.552000;7821.302000
