frame;time;kinetic;gravitational;elastic;total
1;0.033333;5.012852;-163.796800;0.075532;-158.708400
2;0.066667;19.633000;-183.821700;0.570044;-163.618700
3;0.100000;43.180460;-213.384300;1.954762;-168.249100
4;0.133333;74.936820;-252.125200;4.744308;-172.444100
5;0.166667;114.159900;-299.676900;9.467844;-176.049200
6;0.200000;160.095100;-355.666200;16.654270;-178.916800
7;0.233333;211.988900;-419.709600;26.825940;-180.894700
8;0.266667;269.091800;-491.429900;40.497710;-181.840400
9;0.300000;330.658000;-570.440700;58.182500;-181.600200
10;0.333333;395.936500;-656.368800;80.397030;-180.035300
11;0.366667;464.171300;-748.826600;107.663300;-176.992000
12;0.400000;534.600100;-847.439600;140.507800;-172.331700
13;0.433333;606.460800;-951.828900;179.455900;-165.912200
14;0.466667;678.994100;-1061.620000;225.033300;-157.592300
15;0.500000;751.440600;-1176.420000;277.767900;-147.211800
16;0.533333;823.035900;-1295.854000;338.190600;-134.627400
17;0.566667;893.020300;-1419.539000;406.836200;-119.682100
18;0.600000;960.625500;-1547.093000;484.234600;-102.233000
19;0.633333;1025.090000;-1678.139000;570.914700;-82.134160
20;0.666667;1085.656000;-1812.280000;667.395600;-59.228820
21;0.700000;1141.572000;-1949.147000;774.172300;-33.403020
22;0.733334;1192.108000;-2088.344000;891.721000;-4.514832
23;0.766667;1236.562000;-2229.496000;1020.463000;27.529300
24;0.800000;1274.269000;-2372.214000;1160.756000;62.811160
25;0.833334;1304.642000;-2516.114000;1312.852000;101.380900
26;0.866667;1327.191000;-2660.814000;1476.855000;143.232700
27;0.900000;1341.570000;-2805.928000;1652.665000;188.307400
28;0.933334;1347.613000;-2951.071000;1839.938000;236.480300
29;0.966667;1345.350000;-3095.850000;2038.054000;287.553700
30;1.000000;1335.008000;-3239.894000;2246.125000;341.238300
31;1.033334;1316.976000;-3382.810000;2463.051000;397.217000
32;1.066667;1291.772000;-3524.212000;2687.530000;455.089100
33;1.100000;1260.002000;-3663.718000;2918.179000;514.463000
34;1.133334;1222.328000;-3800.951000;3153.509000;574.885400
35;1.166667;1179.436000;-3935.511000;3392.043000;635.967300
36;1.200000;1132.024000;-4067.034000;3632.247000;697.237200
37;1.233333;1080.790000;-4195.132000;3872.639000;758.296400
38;1.266667;1026.426000;-4319.414000;4111.742000;818.753200
39;1.300000;969.614100;-4439.525000;4348.079000;878.167800
40;1.333333;911.026200;-4555.086000;4580.258000;936.198600
41;1.366667;851.327400;-4665.728000;4806.860000;992.459700
42;1.400000;791.175600;-4771.101000;5026.526000;1046.600000
43;1.433333;731.217700;-4870.850000;5237.878000;1098.246000
44;1.466667;672.103300;-4964.633000;5439.643000;1147.113000
45;1.500000;614.469800;-5052.124000;5630.555000;1192.901000
46;1.533333;558.948500;-5133.024000;5809.370000;1235.295000
47;1.566666;506.156900;-5207.021000;5974.905000;1274.041000
48;1.600000;456.694400;-5273.877000;6126.058000;1308.876000
49;1.633333;411.134400;-5333.331000;6261.797000;1339.601000
50;1.666666;370.016400;-5385.174000;6381.122000;1365.964000
51;1.700000;333.835400;-5429.217000;6483.186000;1387.804000
52;1.733333;303.032300;-5465.323000;6567.222000;1404.932000
53;1.766666;277.987200;-5493.371000;6632.604000;1417.220000
54;1.800000;259.011200;-5513.287000;6678.790000;1424.514000
55;1.833333;246.339600;-5525.032000;6705.430000;1426.738000
56;1.866666;240.128700;-5528.598000;6712.289000;1423.820000
57;1.899999;240.453300;-5524.032000;6699.270000;1415.691000
58;1.933333;247.303300;-5511.394000;6666.461000;1402.371000
59;1.966666;260.584300;-5490.791000;6614.060000;1383.853000
60;1.999999;280.121000;-5462.355000;6542.438000;1360.204000
