frame;time;kinetic;gravitational;elastic;total
1;0.033333;5.007736;-163.799600;0.079277;-158.712600
2;0.066667;19.546260;-183.808900;0.587246;-163.675400
3;0.100000;42.799850;-213.292800;1.962929;-168.530000
4;0.133333;73.907880;-251.835800;4.646412;-173.281500
5;0.166667;111.992100;-299.005300;9.076299;-177.937000
6;0.200000;156.167100;-354.361800;15.690670;-182.504000
7;0.233333;205.551200;-417.451500;24.923490;-186.976800
8;0.266667;259.270400;-487.837800;37.204820;-191.362600
9;0.300000;316.449100;-565.068800;52.964910;-195.654800
10;0.333333;376.202700;-648.704000;72.639060;-199.862300
11;0.366667;437.645200;-738.295000;96.670400;-203.979400
12;0.400000;499.885400;-833.403400;125.506400;-208.011600
13;0.433333;562.028100;-933.580600;159.593000;-211.959500
14;0.466667;623.184000;-1038.380000;199.372000;-215.824300
15;0.500000;682.470600;-1147.358000;245.277100;-219.610700
16;0.533333;739.011800;-1260.066000;297.729500;-223.324300
17;0.566667;791.949600;-1376.051000;357.133100;-226.967900
18;0.600000;840.453400;-1494.868000;423.861700;-230.553300
19;0.633333;883.725600;-1616.061000;498.249900;-234.085600
20;0.666667;921.023600;-1739.185000;580.575400;-237.585600
21;0.700000;951.703100;-1863.780000;671.035700;-241.041600
22;0.733334;975.219900;-1989.405000;769.715000;-244.469700
23;0.766667;991.186000;-2115.604000;876.548700;-247.869500
24;0.800000;999.416100;-2241.931000;991.299600;-251.215100
25;0.833334;999.976400;-2367.935000;1113.540000;-254.419000
26;0.866667;993.076800;-2493.191000;1242.653000;-257.461800
27;0.900000;979.312400;-2617.269000;1377.873000;-260.083900
28;0.933334;959.271700;-2739.750000;1518.297000;-262.181000
29;0.966667;933.538800;-2860.229000;1662.917000;-263.773400
30;1.000000;902.762500;-2978.296000;1810.644000;-264.890400
31;1.033334;867.638400;-3093.550000;1960.330000;-265.581300
32;1.066667;828.882100;-3205.592000;2110.820000;-265.889300
33;1.100000;787.213300;-3314.030000;2260.937000;-265.880000
34;1.133334;743.344500;-3418.473000;2409.506000;-265.622500
35;1.166667;697.971600;-3518.546000;2555.393000;-265.181800
36;1.200000;651.774100;-3613.873000;2697.456000;-264.643400
37;1.233333;605.412000;-3704.094000;2834.618000;-264.063500
38;1.266667;559.532200;-3788.858000;2965.787000;-263.539100
39;1.300000;514.765700;-3867.827000;3089.942000;-263.119000
40;1.333333;471.727000;-3940.696000;3206.078000;-262.890900
41;1.366667;431.012500;-4007.167000;3313.230000;-262.923600
42;1.400000;393.192900;-4066.960000;3410.511000;-263.256300
43;1.433333;358.808900;-4119.850000;3497.061000;-263.980100
44;1.466667;328.358300;-4165.613000;3572.137000;-265.118000
45;1.500000;302.286800;-4204.083000;3635.060000;-266.735900
46;1.533333;280.977300;-4235.120000;3685.266000;-268.877000
47;1.566666;264.735900;-4258.628000;3722.341000;-271.551200
48;1.600000;253.782700;-4274.547000;3745.947000;-274.817700
49;1.633333;248.243200;-4282.861000;3755.947000;-278.671100
50;1.666666;248.154100;-4283.581000;3752.305000;-283.121800
51;1.700000;253.466500;-4276.775000;3735.140000;-288.169000
52;1.733333;264.049400;-4262.537000;3704.689000;-293.798500
53;1.766666;279.690600;-4240.996000;3661.321000;-299.984400
