frame;time;kinetic;gravitational;elastic;total
1;0.033333;4.995269;-163.785500;0.077546;-158.712700
2;0.066667;19.493960;-183.759000;0.570839;-163.694200
3;0.100000;42.706870;-213.189900;1.903835;-168.579200
4;0.133333;73.818810;-251.672000;4.513660;-173.339500
5;0.166667;111.995000;-298.788500;8.853053;-177.940400
6;0.200000;156.389900;-354.115900;15.384580;-182.341400
7;0.233333;206.157000;-417.228700;24.568450;-186.503200
8;0.266667;260.454400;-487.700500;36.858710;-190.387400
9;0.300000;318.440300;-565.098800;52.707490;-193.950900
10;0.333333;379.266300;-649.000200;72.571330;-197.162600
11;0.366667;442.079300;-738.979700;96.913590;-199.986900
12;0.400000;506.020700;-834.606100;126.199800;-202.385600
13;0.433333;570.237000;-935.455800;160.894500;-204.324300
14;0.466667;633.871300;-1041.098000;201.461400;-205.765400
15;0.500000;696.071800;-1151.103000;248.361900;-206.669500
16;0.533333;755.985000;-1265.043000;302.053400;-207.004900
17;0.566667;812.770900;-1382.486000;362.977800;-206.737000
18;0.600000;865.599900;-1503.001000;431.562800;-205.838700
19;0.633333;913.676600;-1626.161000;508.198700;-204.285700
20;0.666667;956.238000;-1751.525000;593.233400;-202.053400
21;0.700000;992.582300;-1878.670000;686.942400;-199.145300
22;0.733334;1022.094000;-2007.154000;789.516900;-195.542900
23;0.766667;1044.273000;-2136.558000;901.014500;-191.270500
24;0.800000;1058.768000;-2266.430000;1021.318000;-186.344600
25;0.833334;1065.417000;-2396.351000;1150.133000;-180.800000
26;0.866667;1064.246000;-2525.886000;1286.939000;-174.700400
27;0.900000;1055.467000;-2654.598000;1431.038000;-168.092700
28;0.933334;1039.465000;-2782.056000;1581.523000;-161.067400
29;0.966667;1016.764000;-2907.833000;1737.364000;-153.705100
30;1.000000;987.995100;-3031.495000;1897.396000;-146.103300
31;1.033334;953.856300;-3152.612000;2060.387000;-138.368600
32;1.066667;915.091400;-3270.760000;2225.060000;-130.608800
33;1.100000;872.472700;-3385.514000;2390.127000;-122.914200
34;1.133334;826.777500;-3496.460000;2554.264000;-115.418300
35;1.166667;778.782000;-3603.179000;2716.208000;-108.189200
36;1.200000;729.252600;-3705.270000;2874.673000;-101.343800
37;1.233333;678.943500;-3802.329000;3028.427000;-94.958860
38;1.266667;628.596400;-3893.977000;3176.271000;-89.110170
39;1.300000;578.939100;-3979.834000;3317.020000;-83.875310
40;1.333333;530.680200;-4059.550000;3449.550000;-79.319030
41;1.366667;484.510300;-4132.782000;3572.772000;-75.500180
42;1.400000;441.094400;-4199.227000;3685.682000;-72.450560
43;1.433333;401.064300;-4258.599000;3787.302000;-70.232060
44;1.466667;365.007500;-4310.649000;3876.772000;-68.869720
45;1.500000;333.460000;-4355.150000;3953.308000;-68.382290
46;1.533333;306.889400;-4391.942000;4016.224000;-68.829100
47;1.566666;285.687100;-4420.875000;4064.997000;-70.190090
48;1.600000;270.154200;-4441.855000;4099.196000;-72.504940
49;1.633333;260.495800;-4454.837000;4118.553000;-75.788420
50;1.666666;256.816400;-4459.816000;4122.949000;-80.050780
51;1.700000;259.119700;-4456.828000;4112.415000;-85.293910
52;1.733333;267.312900;-4445.950000;4087.115000;-91.522550
53;1.766666;281.214100;-4427.303000;4047.356000;-98.732450
54;1.800000;300.556200;-4401.049000;3993.581000;-106.912500
55;1.833333;324.997100;-4367.375000;3926.329000;-116.049300
56;1.866666;354.126100;-4326.500000;3846.259000;-126.115600
57;1.899999;387.469800;-4278.680000;3754.146000;-137.064900
58;1.933333;424.499600;-4224.180000;3650.823000;-148.857300
59;1.966666;464.634500;-4163.294000;3537.219000;-161.441200
60;1.999999;507.244400;-4096.328000;3414.346000;-174.737300
61;2.033333;551.649400;-4023.609000;3283.287000;-188.672400
62;2.066666;597.122600;-3945.469000;3145.185000;-203.160900
63;2.099999;642.895200;-3862.254000;3001.248000;-218.111100
64;2.133333;688.168800;-3774.306000;2852.728000;-233.409100
65;2.166666;732.129000;-3682.000000;2700.900000;-248.971100
