frame;time;maxForce;avgForce;maxAccel
1;0.033333;2.99684;1.54108;1346.87
2;0.066667;4.6042;3.28302;3131.67
3;0.100000;8.62228;4.63303;7760.04
4;0.133333;9.66485;5.21715;8698.35
5;0.166667;8.58016;4.91788;7722.13
6;0.200000;6.53062;3.85252;5877.55
7;0.233333;3.92593;2.32376;3533.33
8;0.266667;1.1481;0.669857;1024.75
9;0.300000;0.577698;0.155348;304.409
10;0.333333;0.815444;0.175942;480.566
11;0.366667;0.566976;0.131342;301.425
12;0.400000;0.86569;0.141083;389.56
13;0.433333;0.85371;0.153057;384.168
14;0.466667;1.29926;0.177137;584.667
15;0.500000;1.39902;0.198425;629.559
16;0.533333;1.27329;0.227016;572.978
17;0.566667;1.22579;0.250995;551.603
18;0.600000;1.26865;0.261431;542.026
19;0.633333;1.13438;0.266164;503.256
20;0.666667;1.25729;0.287228;448.59
21;0.700000;1.17982;0.309745;374.279
22;0.733334;1.38994;0.342125;625.471
23;0.766667;1.38194;0.368102;489.237
24;0.800000;1.83734;0.399566;561.488
25;0.833334;1.89446;0.436771;528.503
26;0.866667;2.04131;0.465779;991.1
27;0.900000;1.83099;0.456763;886.587
28;0.933334;2.08379;0.50409;1049.31
29;0.966667;2.97055;0.593538;1167.94
30;1.000000;2.9318;0.681228;1005.17
31;1.033334;3.15514;0.739004;937.261
32;1.066667;3.22229;0.796337;1199.96
33;1.100000;4.26239;0.964344;1918.07
34;1.133334;5.72549;1.11167;2576.46
35;1.166667;4.1434;1.20071;1864.53
36;1.200000;5.08318;1.31359;1801.12
37;1.233333;4.93958;1.4629;1435.93
38;1.266667;4.87295;1.49823;1763.44
39;1.300000;4.44173;1.43122;1998.78
40;1.333333;4.07527;1.30385;1833.87
41;1.366667;4.85195;1.18969;4365.3
42;1.400000;6.41066;1.20014;5769.58
43;1.433333;6.62791;1.27998;5218.62
44;1.466667;5.97149;1.41843;4510.78
45;1.500000;6.28251;1.5844;4164.03
46;1.533333;6.48319;1.60703;3556.04
47;1.566666;5.16686;1.66177;2314.81
48;1.600000;5.40747;1.57097;2433.36
49;1.633333;6.78263;1.5498;3052.18
50;1.666666;5.35676;1.4421;2410.54
51;1.700000;6.3732;1.3573;1638.38
52;1.733333;6.14304;1.28062;2349.57
53;1.766666;7.43437;1.18156;3345.46
54;1.800000;7.49046;1.11491;3370.7
55;1.833333;6.90538;1.06584;3107.41
56;1.866666;6.69301;0.986438;3011.85
57;1.899999;5.07228;0.903155;2282.52
58;1.933333;4.08987;0.876114;1840.44
59;1.966666;4.25389;0.808712;1914.24
60;1.999999;4.13809;0.756861;2738.26
61;2.033333;4.91581;0.712678;3894.02
62;2.066666;4.50608;0.674412;4055.46
63;2.099999;2.96848;0.602136;2671.62
64;2.133333;2.3527;0.504211;2117.43
65;2.166666;1.79868;0.474126;1053.51
66;2.199999;2.36748;0.472199;1069.59
67;2.233333;2.03011;0.487692;1621.58
68;2.266666;2.47536;0.45613;1581.11
69;2.299999;3.8635;0.467652;1738.57
70;2.333333;3.71294;0.640563;3247.73
71;2.366666;5.05019;0.810783;3494.82
72;2.399999;4.84767;0.836541;3657.84
73;2.433332;4.5424;0.740433;4088.15
74;2.466666;3.75866;0.604825;3382.78
75;2.499999;2.87578;0.475428;2267.92
76;2.533332;2.77562;0.429694;1254.33
77;2.566666;2.62288;0.403272;1180.29
78;2.599999;2.27548;0.438111;1023.97
79;2.633332;3.11612;0.476966;1055.06
80;2.666666;2.17367;0.444638;946.444
81;2.699999;1.94282;0.395714;770.087
82;2.733332;1.6334;0.381897;1076.65
83;2.766665;1.93744;0.363477;1284.68
84;2.799999;1.58904;0.34317;1430.13
