frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
0;0.000000;0.500000;1.000000;0.500000;0.500000;0.500000
1;0.008333;0.525392;1.000000;0.525392;0.525392;0.525392
2;0.016667;0.582133;1.000000;0.582133;0.582133;0.582133
3;0.025000;0.665496;1.000000;0.665496;0.665496;0.665496
4;0.033333;0.769102;1.000000;0.769102;0.769102;0.769102
5;0.041667;0.885376;1.000000;0.885376;0.885376;0.885376
6;0.050000;1.006094;1.000000;1.006094;1.006094;1.006094
7;0.058333;1.122978;1.000000;1.122978;1.122978;1.122978
8;0.066667;1.228280;1.000000;1.228280;1.228280;1.228280
9;0.075000;1.315298;1.000000;1.315298;1.315298;1.315298
10;0.083333;1.378786;1.000000;1.378786;1.378786;1.378786
11;0.091667;1.415262;1.000000;1.415262;1.415262;1.415262
12;0.100000;1.423182;1.000000;1.423182;1.423182;1.423182
13;0.108333;1.402979;1.000000;1.402979;1.402979;1.402979
14;0.116667;1.356966;1.000000;1.356966;1.356966;1.356966
15;0.125000;1.289117;1.000000;1.289117;1.289117;1.289117
16;0.133333;1.204742;1.000000;1.204742;1.204742;1.204742
17;0.141667;1.110087;1.000000;1.110087;1.110087;1.110087
18;0.150000;1.011878;1.000000;1.011878;1.011878;1.011878
19;0.158333;0.916849;1.000000;0.916849;0.916849;0.916849
20;0.166667;0.831277;1.000000;0.831277;0.831277;0.831277
21;0.175000;0.760566;1.000000;0.760566;0.760566;0.760566
22;0.183333;0.708927;1.000000;0.708927;0.708927;0.708927
23;0.191667;0.679148;1.000000;0.679148;0.679148;0.679148
24;0.200000;0.672471;1.000000;0.672471;0.672471;0.672471
25;0.208333;0.688571;1.000000;0.688571;0.688571;0.688571
26;0.216667;0.725627;1.000000;0.725627;0.725627;0.725627
27;0.225000;0.780481;1.000000;0.780481;0.780481;0.780481
28;0.233333;0.848881;1.000000;0.848881;0.848881;0.848881
29;0.241667;0.925791;1.000000;0.925791;0.925791;0.925791
30;0.250000;1.005758;1.000000;1.005758;1.005758;1.005758
31;0.258333;1.083292;1.000000;1.083292;1.083292;1.083292
32;0.266667;1.153252;1.000000;1.153252;1.153252;1.153252
33;0.275000;1.211178;1.000000;1.211178;1.211178;1.211178
34;0.283333;1.253574;1.000000;1.253574;1.253574;1.253574
35;0.291667;1.278111;1.000000;1.278111;1.278111;1.278111
36;0.300000;1.283737;1.000000;1.283737;1.283737;1.283737
37;0.308333;1.270714;1.000000;1.270714;1.270714;1.270714
38;0.316667;1.240551;1.000000;1.240551;1.240551;1.240551
39;0.325000;1.195860;1.000000;1.195860;1.195860;1.195860
40;0.333333;1.140144;1.000000;1.140144;1.140144;1.140144
41;0.341667;1.077531;1.000000;1.077531;1.077531;1.077531
42;0.350000;1.012473;1.000000;1.012473;1.012473;1.012473
43;0.358333;0.949436;1.000000;0.949436;0.949436;0.949436
44;0.366667;0.892592;1.000000;0.892592;0.892592;0.892592
45;0.375000;0.845546;1.000000;0.845546;0.845546;0.845546
46;0.383333;0.811117;1.000000;0.811117;0.811117;0.811117
47;0.391667;0.791183;1.000000;0.791183;0.791183;0.791183
48;0.400000;0.786588;1.000000;0.786588;0.786588;0.786588
49;0.408333;0.797125;1.000000;0.797125;0.797125;0.797125
50;0.416667;0.821582;1.000000;0.821582;0.821582;0.821582
51;0.425000;0.857859;1.000000;0.857859;0.857859;0.857859
52;0.433333;0.903128;1.000000;0.903128;0.903128;0.903128
53;0.441667;0.954047;1.000000;0.954047;0.954047;0.954047
54;0.450000;1.006999;1.000000;1.006999;1.006999;1.006999
55;0.458333;1.058349;1.000000;1.058349;1.058349;1.058349
56;0.466667;1.104691;1.000000;1.104691;1.104691;1.104691
57;0.475000;1.143072;1.000000;1.143072;1.143072;1.143072
58;0.483333;1.171173;1.000000;1.171173;1.171173;1.171173
59;0.491667;1.187451;1.000000;1.187451;1.187451;1.187451
60;0.500000;1.191207;1.000000;1.191207;1.191207;1.191207
61;0.508333;1.182613;1.000000;1.182613;1.182613;1.182613
62;0.516667;1.162665;1.000000;1.162665;1.162665;1.162665
63;0.525000;1.133092;1.000000;1.133092;1.133092;1.133092
64;0.533333;1.096212;1.000000;1.096212;1.096212;1.096212
