frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;1984;639.990100;639.990100;1.000000;1.000000
1;0.033333;1984;640.030800;639.990100;1.006890;1.000055
2;0.066667;1984;640.125000;639.990100;1.017718;1.000202
3;0.100000;1984;640.287700;639.990100;1.032015;1.000454
4;0.133333;1984;640.526100;639.990100;1.049416;1.000821
5;0.166667;1984;640.842200;639.990100;1.069585;1.001313
6;0.200000;1984;641.234000;639.990100;1.092171;1.001925
7;0.233333;1984;641.700700;639.990100;1.116794;1.002654
8;0.266667;1984;642.234600;639.990100;1.143054;1.003492
9;0.300000;1984;642.841400;639.990100;1.170573;1.004439
10;0.333333;1984;643.508800;639.990100;1.199037;1.005482
11;0.366667;1984;644.236300;639.990100;1.228223;1.006620
12;0.400000;1984;645.016100;639.990100;1.257976;1.007836
13;0.433333;1984;645.838000;639.990100;1.288189;1.009122
14;0.466667;1984;646.690200;639.990100;1.318725;1.010453
15;0.500000;1984;647.554300;639.990100;1.349379;1.011804
16;0.533333;1984;648.415400;639.990100;1.379836;1.013149
17;0.566667;1984;649.255600;639.990100;1.409658;1.014461
18;0.600000;1984;650.055300;639.990100;1.438285;1.015711
19;0.633333;1984;650.798200;639.990100;1.465074;1.016873
20;0.666667;1984;651.469700;639.990100;1.489334;1.017920
21;0.700000;1984;652.051800;639.990100;1.510384;1.018831
22;0.733334;1984;652.530600;639.990100;1.527605;1.019580
23;0.766667;1984;652.893100;639.990100;1.540476;1.020145
24;0.800000;1984;653.126700;639.990100;1.548619;1.020511
25;0.833334;1984;653.225500;639.990100;1.551811;1.020664
26;0.866667;1984;653.184800;639.990100;1.549993;1.020601
27;0.900000;1984;653.004200;639.990100;1.543285;1.020319
28;0.933334;1984;652.690100;639.990100;1.531956;1.019829
29;0.966667;1984;652.253400;639.990100;1.516428;1.019145
30;1.000000;1984;651.709100;639.990100;1.497231;1.018295
31;1.033334;1984;651.074200;639.990100;1.474988;1.017305
32;1.066667;1984;650.372700;639.990100;1.450382;1.016207
33;1.100000;1984;649.624800;639.990100;1.424104;1.015038
34;1.133334;1984;648.852100;639.990100;1.396833;1.013832
35;1.166667;1984;648.077200;639.990100;1.369194;1.012622
36;1.200000;1984;647.319900;639.990100;1.341739;1.011436
37;1.233333;1984;646.593000;639.990100;1.314926;1.010301
38;1.266667;1984;645.908900;639.990100;1.289108;1.009233
39;1.300000;1984;645.274600;639.990100;1.264562;1.008241
40;1.333333;1984;644.686300;639.990100;1.241487;1.007323
41;1.366667;1984;644.144000;639.990100;1.220011;1.006476
42;1.400000;1984;643.649700;639.990100;1.200229;1.005703
43;1.433333;1984;643.204700;639.990100;1.182221;1.005008
44;1.466667;1984;642.815600;639.990100;1.166074;1.004399
45;1.500000;1984;642.487500;639.990100;1.151880;1.003887
46;1.533333;1984;642.221400;639.990100;1.139760;1.003471
47;1.566666;1984;642.018700;639.990100;1.129849;1.003155
48;1.600000;1984;641.875100;639.990100;1.122291;1.002929
49;1.633333;1984;641.787400;639.990100;1.117218;1.002795
50;1.666666;1984;641.754800;639.990100;1.114737;1.002741
51;1.700000;1984;641.772600;639.990100;1.114961;1.002771
52;1.733333;1984;641.843600;639.990100;1.117878;1.002880
53;1.766666;1984;641.964400;639.990100;1.123457;1.003068
54;1.800000;1984;642.138700;639.990100;1.131608;1.003342
55;1.833333;1984;642.365700;639.990100;1.142190;1.003697
56;1.866666;1984;642.645800;639.990100;1.155025;1.004136
57;1.899999;1984;642.979900;639.990100;1.169887;1.004657
58;1.933333;1984;643.366200;639.990100;1.186530;1.005260
59;1.966666;1984;643.800800;639.990100;1.204693;1.005940
60;1.999999;1984;644.281800;639.990100;1.224102;1.006690
61;2.033333;1984;644.802700;639.990100;1.244493;1.007503
62;2.066666;1984;645.358800;639.990100;1.265592;1.008372
63;2.099999;1984;645.941500;639.990100;1.287124;1.009284
64;2.133333;1984;646.544700;639.990100;1.308804;1.010226
65;2.166666;1984;647.153800;639.990100;1.330340;1.011179
66;2.199999;1984;647.761000;639.990100;1.351420;1.012126
67;2.233333;1984;648.351100;639.990100;1.371725;1.013047
68;2.266666;1984;648.910300;639.990100;1.390916;1.013921
69;2.299999;1984;649.424900;639.990100;1.408653;1.014726
70;2.333333;1984;649.884100;639.990100;1.424588;1.015443
71;2.366666;1984;650.276600;639.990100;1.438393;1.016056
72;2.399999;1984;650.591800;639.990100;1.449764;1.016549
73;2.433332;1984;650.824500;639.990100;1.458439;1.016913
74;2.466666;1984;650.974000;639.990100;1.464215;1.017145
75;2.499999;1984;651.034600;639.990100;1.466969;1.017243
76;2.533332;1984;651.012900;639.990100;1.466656;1.017207
77;2.566666;1984;650.908100;639.990100;1.463334;1.017044
78;2.599999;1984;650.726300;639.990100;1.457143;1.016762
79;2.633332;1984;650.474900;639.990100;1.448303;1.016366
80;2.666666;1984;650.158400;639.990100;1.437098;1.015872
81;2.699999;1984;649.785900;639.990100;1.423854;1.015290
82;2.733332;1984;649.366000;639.990100;1.408915;1.014635
83;2.766665;1984;648.908000;639.990100;1.392632;1.013919
84;2.799999;1984;648.423200;639.990100;1.375349;1.013162
85;2.833332;1984;647.920300;639.990100;1.357399;1.012376
86;2.866665;1984;647.412200;639.990100;1.339105;1.011581
87;2.899999;1984;646.911400;639.990100;1.320775;1.010799
88;2.933332;1984;646.428200;639.990100;1.302709;1.010043
89;2.966665;1984;645.972400;639.990100;1.285175;1.009331
90;2.999999;1984;645.548900;639.990100;1.268428;1.008670
91;3.033332;1984;645.161000;639.990100;1.252671;1.008063
92;3.066665;1984;644.809200;639.990100;1.238087;1.007514
93;3.099998;1984;644.494700;639.990100;1.224811;1.007022
94;3.133332;1984;644.215700;639.990100;1.213061;1.006587
95;3.166665;1984;643.974100;639.990100;1.203114;1.006210
96;3.199998;1984;643.772900;639.990100;1.194787;1.005896
97;3.233332;1984;643.611600;639.990100;1.188152;1.005644
98;3.266665;1984;643.492000;639.990100;1.183262;1.005458
99;3.299998;1984;643.415700;639.990100;1.180151;1.005337
100;3.333332;1984;643.379900;639.990100;1.178839;1.005282
101;3.366665;1984;643.386000;639.990100;1.179319;1.005291
102;3.399998;1984;643.432400;639.990100;1.181560;1.005363
103;3.433331;1984;643.518200;639.990100;1.185511;1.005497
104;3.466665;1984;643.643700;639.990100;1.191094;1.005693
105;3.499998;1984;643.806300;639.990100;1.198216;1.005947
106;3.533331;1984;644.008100;639.990100;1.206762;1.006263
107;3.566665;1984;644.247100;639.990100;1.216601;1.006636
108;3.599998;1984;644.521200;639.990100;1.227592;1.007065
109;3.633331;1984;644.828400;639.990100;1.239575;1.007543
110;3.666665;1984;645.164200;639.990100;1.252383;1.008068
111;3.699998;1984;645.524500;639.990100;1.265837;1.008631
112;3.733331;1984;645.902600;639.990100;1.279751;1.009222
113;3.766665;1984;646.290900;639.990100;1.293927;1.009829
114;3.799998;1984;646.683800;639.990100;1.308156;1.010441
115;3.833331;1984;647.070600;639.990100;1.322220;1.011049
116;3.866664;1984;647.448600;639.990100;1.335894;1.011637
117;3.899998;1984;647.808800;639.990100;1.348952;1.012200
118;3.933331;1984;648.146100;639.990100;1.361162;1.012727
119;3.966664;1984;648.453900;639.990100;1.372359;1.013208
120;3.999998;1984;648.730300;639.990100;1.382362;1.013641
121;4.033331;1984;648.969000;639.990100;1.390896;1.014014
122;4.066664;1984;649.165800;639.990100;1.397816;1.014320
123;4.099998;1984;649.312900;639.990100;1.403013;1.014550
124;4.133331;1984;649.405900;639.990100;1.406413;1.014697
125;4.166664;1984;649.442100;639.990100;1.407989;1.014754
126;4.199997;1984;649.421900;639.990100;1.407749;1.014723
127;4.233331;1984;649.350000;639.990100;1.405740;1.014610
128;4.266664;1984;649.229700;639.990100;1.402044;1.014422
129;4.299997;1984;649.067700;639.990100;1.396765;1.014169
130;4.333331;1984;648.867700;639.990100;1.390030;1.013857
131;4.366664;1984;648.636100;639.990100;1.381996;1.013492
132;4.399997;1984;648.375600;639.990100;1.372830;1.013086
133;4.433331;1984;648.092100;639.990100;1.362726;1.012644
134;4.466664;1984;647.791400;639.990100;1.351892;1.012174
135;4.499997;1984;647.479600;639.990100;1.340543;1.011688
136;4.533330;1984;647.161700;639.990100;1.328893;1.011190
137;4.566664;1984;646.844400;639.990100;1.317154;1.010693
138;4.599997;1984;646.534200;639.990100;1.305520;1.010209
139;4.633330;1984;646.235300;639.990100;1.294168;1.009742
140;4.666664;1984;645.953000;639.990100;1.283265;1.009302
141;4.699997;1984;645.691500;639.990100;1.272969;1.008893
142;4.733330;1984;645.452800;639.990100;1.263408;1.008519
143;4.766664;1984;645.238100;639.990100;1.254706;1.008186
144;4.799997;1984;645.050400;639.990100;1.246967;1.007892
145;4.833330;1984;644.890900;639.990100;1.240276;1.007640
146;4.866663;1984;644.758400;639.990100;1.234700;1.007432
147;4.899997;1984;644.652600;639.990100;1.230282;1.007269
148;4.933330;1984;644.574600;639.990100;1.227045;1.007146
149;4.966663;1984;644.522800;639.990100;1.224997;1.007065
150;4.999997;1984;644.496600;639.990100;1.224130;1.007026
151;5.033330;1984;644.495700;639.990100;1.224415;1.007026
152;5.066663;1984;644.521200;639.990100;1.225819;1.007064
153;5.099997;1984;644.571500;639.990100;1.228296;1.007143
154;5.133330;1984;644.650300;639.990100;1.231796;1.007266
155;5.166663;1984;644.756000;639.990100;1.236250;1.007430
156;5.199996;1984;644.887900;639.990100;1.241593;1.007638
157;5.233330;1984;645.048400;639.990100;1.247754;1.007887
158;5.266663;1984;645.230300;639.990100;1.254650;1.008173
159;5.299996;1984;645.434700;639.990100;1.262191;1.008490
160;5.333330;1984;645.656100;639.990100;1.270279;1.008836
161;5.366663;1984;645.890300;639.990100;1.278798;1.009204
162;5.399996;1984;646.136400;639.990100;1.287628;1.009587
163;5.433330;1984;646.389200;639.990100;1.296639;1.009983
164;5.466663;1984;646.644700;639.990100;1.305693;1.010382
165;5.499996;1984;646.897600;639.990100;1.315372;1.010777
166;5.533329;1984;647.144700;639.990100;1.324939;1.011162
167;5.566663;1984;647.378500;639.990100;1.334078;1.011528
168;5.599996;1984;647.595900;639.990100;1.342620;1.011868
169;5.633329;1984;647.792600;639.990100;1.350401;1.012177
170;5.666663;1984;647.968700;639.990100;1.357274;1.012451
171;5.699996;1984;648.120800;639.990100;1.363109;1.012688
172;5.733329;1984;648.247400;639.990100;1.367805;1.012886
173;5.766663;1984;648.344200;639.990100;1.371292;1.013039
174;5.799996;1984;648.412800;639.990100;1.373528;1.013146
175;5.833329;1984;648.447600;639.990100;1.374506;1.013200
176;5.866663;1984;648.446200;639.990100;1.374245;1.013197
177;5.899996;1984;648.407300;639.990100;1.372790;1.013136
178;5.933329;1984;648.329300;639.990100;1.370201;1.013014
179;5.966662;1984;648.216900;639.990100;1.366560;1.012840
180;5.999996;1984;648.076600;639.990100;1.361954;1.012620
181;6.033329;1984;647.915300;639.990100;1.356489;1.012368
182;6.066662;1984;647.737800;639.990100;1.350285;1.012090
183;6.099996;1984;647.548300;639.990100;1.343468;1.011794
184;6.133329;1984;647.350500;639.990100;1.336179;1.011485
185;6.166662;1984;647.147600;639.990100;1.328560;1.011167
186;6.199996;1984;646.941600;639.990100;1.320755;1.010847
187;6.233329;1984;646.736800;639.990100;1.312897;1.010525
188;6.266662;1984;646.533100;639.990100;1.305341;1.010208
189;6.299995;1984;646.335500;639.990100;1.298111;1.009899
190;6.333329;1984;646.146200;639.990100;1.291163;1.009602
191;6.366662;1984;645.966400;639.990100;1.284587;1.009323
192;6.399995;1984;645.801500;639.990100;1.278462;1.009063
193;6.433329;1984;645.649500;639.990100;1.272858;1.008826
194;6.466662;1984;645.514600;639.990100;1.267836;1.008617
195;6.499995;1984;645.398700;639.990100;1.263444;1.008435
196;6.533329;1984;645.301400;639.990100;1.259730;1.008283
197;6.566662;1984;645.225700;639.990100;1.256723;1.008163
198;6.599995;1984;645.166700;639.990100;1.254456;1.008075
199;6.633328;1984;645.131200;639.990100;1.252948;1.008018
200;6.666662;1984;645.115500;639.990100;1.252215;1.007994
201;6.699995;1984;645.121000;639.990100;1.252256;1.008001
202;6.733328;1984;645.145700;639.990100;1.253069;1.008039
203;6.766662;1984;645.187900;639.990100;1.254640;1.008108
204;6.799995;1984;645.249500;639.990100;1.256939;1.008203
205;6.833328;1984;645.327000;639.990100;1.259927;1.008324
