frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;480;319.999800;319.999800;1.000000;1.000000
1;0.033333;480;320.025300;319.999800;1.005763;1.000079
2;0.066667;480;320.082600;319.999800;1.013967;1.000258
3;0.100000;480;320.178600;319.999800;1.024222;1.000558
4;0.133333;480;320.319300;319.999800;1.036553;1.000997
5;0.166667;480;320.509300;319.999800;1.050883;1.001592
6;0.200000;480;320.752300;319.999800;1.067062;1.002351
7;0.233333;480;321.049400;319.999800;1.084910;1.003279
8;0.266667;480;321.401600;319.999800;1.104240;1.004380
9;0.300000;480;321.809600;319.999800;1.124853;1.005655
10;0.333333;480;322.272500;319.999800;1.146537;1.007102
11;0.366667;480;322.791600;319.999800;1.169078;1.008723
12;0.400000;480;323.365000;319.999800;1.192277;1.010515
13;0.433333;480;323.992400;319.999800;1.215961;1.012476
14;0.466667;480;324.670100;319.999800;1.240016;1.014594
15;0.500000;480;325.394000;319.999800;1.264371;1.016857
16;0.533333;480;326.157200;319.999800;1.288995;1.019241
17;0.566667;480;326.949600;319.999800;1.314054;1.021718
18;0.600000;480;327.758600;319.999800;1.339633;1.024245
19;0.633333;480;328.569400;319.999800;1.365379;1.026781
20;0.666667;480;329.366700;319.999800;1.391109;1.029271
21;0.700000;480;330.134800;319.999800;1.416547;1.031671
22;0.733334;480;330.860000;319.999800;1.441316;1.033938
23;0.766667;480;331.530700;319.999800;1.464964;1.036034
24;0.800000;480;332.138500;319.999800;1.486979;1.037933
25;0.833334;480;332.676600;319.999800;1.506834;1.039615
26;0.866667;480;333.139600;319.999800;1.524029;1.041062
27;0.900000;480;333.523000;319.999800;1.538118;1.042260
28;0.933334;480;333.821500;319.999800;1.548749;1.043192
29;0.966667;480;334.029500;319.999800;1.555671;1.043843
30;1.000000;480;334.140900;319.999800;1.558738;1.044191
31;1.033334;480;334.150000;319.999800;1.557914;1.044219
32;1.066667;480;334.052000;319.999800;1.553252;1.043913
33;1.100000;480;333.845200;319.999800;1.544896;1.043265
34;1.133334;480;333.529400;319.999800;1.533064;1.042279
35;1.166667;480;333.108700;319.999800;1.518045;1.040966
36;1.200000;480;332.592000;319.999800;1.500185;1.039349
37;1.233333;480;331.988700;319.999800;1.479887;1.037465
38;1.266667;480;331.314000;319.999800;1.457587;1.035356
39;1.300000;480;330.583300;319.999800;1.433748;1.033073
40;1.333333;480;329.814600;319.999800;1.408986;1.030671
41;1.366667;480;329.026100;319.999800;1.384166;1.028207
42;1.400000;480;328.235100;319.999800;1.359063;1.025736
43;1.433333;480;327.459200;319.999800;1.334072;1.023310
44;1.466667;480;326.712500;319.999800;1.309552;1.020977
45;1.500000;480;326.007300;319.999800;1.285812;1.018772
46;1.533333;480;325.353000;319.999800;1.263110;1.016729
47;1.566666;480;324.756400;319.999800;1.241653;1.014863
48;1.600000;480;324.220700;319.999800;1.221603;1.013189
49;1.633333;480;323.746900;319.999800;1.203074;1.011709
50;1.666666;480;323.333200;319.999800;1.186147;1.010416
51;1.700000;480;322.976200;319.999800;1.170873;1.009300
52;1.733333;480;322.671200;319.999800;1.157360;1.008348
53;1.766666;480;322.413000;319.999800;1.146033;1.007541
54;1.800000;480;322.196000;319.999800;1.136382;1.006863
55;1.833333;480;322.016300;319.999800;1.128368;1.006300
56;1.866666;480;321.869100;319.999800;1.121948;1.005841
57;1.899999;480;321.752700;319.999800;1.117079;1.005478
58;1.933333;480;321.665900;319.999800;1.113722;1.005207
59;1.966666;480;321.608700;319.999800;1.111839;1.005027
60;1.999999;480;321.581500;319.999800;1.111405;1.004943
61;2.033333;480;321.586100;319.999800;1.112401;1.004957
62;2.066666;480;321.624700;319.999800;1.114812;1.005077
63;2.099999;480;321.698400;319.999800;1.118631;1.005307
64;2.133333;480;321.808900;319.999800;1.123859;1.005653
65;2.166666;480;321.957800;319.999800;1.130495;1.006118
66;2.199999;480;322.145800;319.999800;1.138538;1.006705
67;2.233333;480;322.373100;319.999800;1.147985;1.007415
68;2.266666;480;322.639900;319.999800;1.158821;1.008249
69;2.299999;480;322.946100;319.999800;1.171022;1.009207
70;2.333333;480;323.292300;319.999800;1.184549;1.010289
71;2.366666;480;323.677900;319.999800;1.199342;1.011493
72;2.399999;480;324.101900;319.999800;1.215323;1.012818
73;2.433332;480;324.563200;319.999800;1.232386;1.014260
74;2.466666;480;325.060000;319.999800;1.250402;1.015813
75;2.499999;480;325.589300;319.999800;1.269215;1.017467
76;2.533332;480;326.146700;319.999800;1.288642;1.019208
77;2.566666;480;326.725300;319.999800;1.308466;1.021017
78;2.599999;480;327.318700;319.999800;1.328454;1.022871
79;2.633332;480;327.916700;319.999800;1.348346;1.024740
