frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;1984;639.990100;639.990100;1.000000;1.000000
1;0.033333;1984;640.031100;639.990100;1.006629;1.000057
2;0.066667;1984;640.129800;639.990100;1.017832;1.000209
3;0.100000;1984;640.303800;639.990100;1.032903;1.000477
4;0.133333;1984;640.565400;639.990100;1.051442;1.000881
5;0.166667;1984;640.920600;639.990100;1.073124;1.001437
6;0.200000;1984;641.374300;639.990100;1.097674;1.002145
7;0.233333;1984;641.923100;639.990100;1.124913;1.003005
8;0.266667;1984;642.565200;639.990100;1.154500;1.004007
9;0.300000;1984;643.294700;639.990100;1.186133;1.005146
10;0.333333;1984;644.107000;639.990100;1.219539;1.006416
11;0.366667;1984;644.996600;639.990100;1.254459;1.007807
12;0.400000;1984;645.957300;639.990100;1.290691;1.009308
13;0.433333;1984;646.979100;639.990100;1.328050;1.010907
14;0.466667;1984;648.053800;639.990100;1.366357;1.012586
15;0.500000;1984;649.165700;639.990100;1.405392;1.014320
16;0.533333;1984;650.300200;639.990100;1.444869;1.016094
17;0.566667;1984;651.447600;639.990100;1.484418;1.017888
18;0.600000;1984;652.569900;639.990100;1.523589;1.019641
19;0.633333;1984;653.644800;639.990100;1.561781;1.021320
20;0.666667;1984;654.661200;639.990100;1.598242;1.022907
21;0.700000;1984;655.603500;639.990100;1.635936;1.024381
22;0.733334;1984;656.457500;639.990100;1.676041;1.025716
23;0.766667;1984;657.207100;639.990100;1.711187;1.026886
24;0.800000;1984;657.835200;639.990100;1.740596;1.027867
25;0.833334;1984;658.331400;639.990100;1.763584;1.028642
26;0.866667;1984;658.686300;639.990100;1.779612;1.029196
27;0.900000;1984;658.892100;639.990100;1.788368;1.029519
28;0.933334;1984;658.945700;639.990100;1.789756;1.029603
29;0.966667;1984;658.844200;639.990100;1.783888;1.029443
30;1.000000;1984;658.588200;639.990100;1.771048;1.029046
31;1.033334;1984;658.183400;639.990100;1.751680;1.028413
32;1.066667;1984;657.639100;639.990100;1.726358;1.027561
33;1.100000;1984;656.968700;639.990100;1.695768;1.026513
34;1.133334;1984;656.190700;639.990100;1.660701;1.025300
35;1.166667;1984;655.330700;639.990100;1.622024;1.023954
36;1.200000;1984;654.408900;639.990100;1.587666;1.022513
