frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
0;0.000000;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
1;0.033333;19;18.995930;19.000000;0.999799;0.999786;0.999761;0.999766;0.999770;0.999773;0.999776;0.999780;0.999782;0.999785;0.999787;0.999789;0.999790;0.999793;0.999793;0.999795;0.999796;0.999798;0.999798;0.999799;0.999798
2;0.066667;19;18.997910;19.000000;0.999904;0.999890;0.999899;0.999902;0.999904;0.999904;0.999901;0.999900;0.999896;0.999893;0.999890;0.999888;0.999886;0.999884;0.999883;0.999881;0.999880;0.999879;0.999879;0.999877;0.999879
3;0.100000;19;19.000590;19.000000;1.000034;1.000031;1.000028;1.000032;1.000033;1.000034;1.000034;1.000034;1.000033;1.000032;1.000032;1.000031;1.000031;1.000031;1.000030;1.000029;1.000029;1.000029;1.000029;1.000028;1.000029
4;0.133333;19;19.000480;19.000000;1.000033;1.000025;1.000013;1.000015;1.000016;1.000018;1.000019;1.000021;1.000023;1.000024;1.000025;1.000027;1.000028;1.000028;1.000030;1.000031;1.000032;1.000031;1.000032;1.000033;1.000032
5;0.166667;19;19.000120;19.000000;1.000008;1.000006;1.000004;1.000005;1.000005;1.000006;1.000005;1.000006;1.000006;1.000006;1.000006;1.000006;1.000007;1.000007;1.000007;1.000007;1.000007;1.000008;1.000007;1.000008;1.000008
6;0.200000;19;19.000050;19.000000;1.000005;1.000003;1.000005;1.000005;1.000004;1.000004;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000002;1.000002;1.000002;1.000002;1.000003;1.000001;1.000003
7;0.233333;19;19.000060;19.000000;1.000007;1.000003;1.000007;1.000005;1.000004;1.000004;1.000004;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000003
8;0.266667;19;19.000060;19.000000;1.000009;1.000003;1.000009;1.000006;1.000004;1.000003;1.000003;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000004;1.000002;1.000003;1.000003;1.000003;1.000003;1.000003;1.000002
9;0.300000;19;19.000060;19.000000;1.000010;1.000003;1.000010;1.000006;1.000004;1.000003;1.000003;1.000003;1.000002;1.000002;1.000002;1.000003;1.000003;1.000002;1.000003;1.000002;1.000003;1.000002;1.000002;1.000003;1.000003
