frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
0;0.000000;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
1;0.033333;19;18.997040;19.000000;0.999906;0.999844;0.999744;0.999754;0.999770;0.999785;0.999799;0.999813;0.999825;0.999837;0.999847;0.999857;0.999865;0.999875;0.999881;0.999887;0.999893;0.999898;0.999901;0.999903;0.999906
2;0.066667;19;18.997960;19.000000;0.999973;0.999893;0.999973;0.999968;0.999955;0.999940;0.999927;0.999916;0.999907;0.999898;0.999889;0.999882;0.999875;0.999868;0.999862;0.999858;0.999854;0.999851;0.999848;0.999846;0.999847
3;0.100000;19;18.999360;19.000000;1.000028;0.999966;1.000028;1.000023;1.000015;1.000005;0.999996;0.999987;0.999980;0.999972;0.999965;0.999959;0.999953;0.999948;0.999942;0.999938;0.999934;0.999930;0.999929;0.999928;0.999926
4;0.133333;19;19.000250;19.000000;1.000017;1.000013;1.000005;1.000010;1.000011;1.000011;1.000011;1.000013;1.000013;1.000014;1.000015;1.000015;1.000017;1.000016;1.000016;1.000015;1.000016;1.000015;1.000013;1.000012;1.000011
5;0.166667;19;19.000420;19.000000;1.000037;1.000022;1.000005;1.000006;1.000005;1.000007;1.000010;1.000013;1.000016;1.000019;1.000022;1.000024;1.000026;1.000028;1.000030;1.000032;1.000033;1.000035;1.000037;1.000036;1.000036
6;0.200000;19;19.000180;19.000000;1.000020;1.000009;1.000007;1.000005;1.000003;1.000003;1.000004;1.000005;1.000006;1.000007;1.000007;1.000009;1.000010;1.000011;1.000011;1.000011;1.000012;1.000013;1.000014;1.000017;1.000020
7;0.233333;19;18.999970;19.000000;1.000008;0.999999;1.000008;1.000004;1.000002;1.000001;1.000000;1.000000;0.999999;0.999999;0.999998;0.999997;0.999997;0.999997;0.999996;0.999996;0.999996;0.999996;0.999995;0.999994;0.999994
8;0.266667;19;18.999940;19.000000;1.000010;0.999997;1.000010;1.000004;1.000002;1.000001;1.000000;0.999999;0.999998;0.999998;0.999997;0.999996;0.999996;0.999994;0.999993;0.999993;0.999993;0.999992;0.999992;0.999991;0.999990
9;0.300000;19;18.999980;19.000000;1.000011;0.999999;1.000011;1.000004;1.000001;1.000001;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999998;0.999996;0.999995;0.999995;0.999993;0.999993;0.999993
