frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
0;0.000000;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
1;0.033333;19;18.994590;19.000000;0.999986;0.999716;0.999649;0.999655;0.999662;0.999668;0.999676;0.999682;0.999690;0.999696;0.999703;0.999709;0.999715;0.999720;0.999724;0.999730;0.999731;0.999733;0.999735;0.999736;0.999986
2;0.066667;19;18.984220;19.000000;0.999937;0.999170;0.999078;0.999082;0.999088;0.999094;0.999100;0.999107;0.999114;0.999121;0.999128;0.999134;0.999141;0.999146;0.999151;0.999156;0.999158;0.999162;0.999163;0.999165;0.999937
3;0.100000;19;18.971410;19.000000;0.999868;0.998495;0.998466;0.998447;0.998436;0.998427;0.998421;0.998414;0.998411;0.998408;0.998407;0.998405;0.998407;0.998407;0.998408;0.998410;0.998412;0.998416;0.998417;0.998421;0.999868
4;0.133333;19;18.968770;19.000000;0.999810;0.998357;0.998850;0.998732;0.998627;0.998539;0.998458;0.998386;0.998319;0.998261;0.998209;0.998163;0.998124;0.998092;0.998065;0.998045;0.998029;0.998022;0.998019;0.998021;0.999810
5;0.166667;19;18.983860;19.000000;0.999854;0.999151;0.999738;0.999635;0.999530;0.999437;0.999349;0.999266;0.999188;0.999117;0.999051;0.998993;0.998942;0.998897;0.998860;0.998831;0.998808;0.998794;0.998786;0.998787;0.999854
6;0.200000;19;19.000170;19.000000;1.000034;1.000009;1.000034;1.000030;1.000027;1.000026;1.000023;1.000020;1.000017;1.000014;1.000011;1.000007;1.000004;1.000000;0.999999;0.999995;0.999995;0.999994;0.999992;0.999991;0.999991
7;0.233333;19;19.008690;19.000000;1.000687;1.000457;1.000087;1.000148;1.000212;1.000270;1.000325;1.000378;1.000426;1.000472;1.000514;1.000551;1.000586;1.000614;1.000638;1.000657;1.000673;1.000682;1.000687;1.000687;1.000081
8;0.266667;19;19.008950;19.000000;1.000718;1.000471;1.000072;1.000140;1.000208;1.000269;1.000329;1.000383;1.000437;1.000484;1.000530;1.000570;1.000606;1.000638;1.000664;1.000684;1.000701;1.000712;1.000716;1.000718;1.000088
9;0.300000;19;19.005000;19.000000;1.000400;1.000263;1.000041;1.000080;1.000117;1.000151;1.000184;1.000214;1.000244;1.000270;1.000296;1.000318;1.000338;1.000355;1.000369;1.000382;1.000390;1.000396;1.000400;1.000399;1.000049
10;0.333333;19;19.000990;19.000000;1.000076;1.000052;1.000018;1.000021;1.000028;1.000033;1.000039;1.000044;1.000050;1.000054;1.000058;1.000062;1.000066;1.000068;1.000071;1.000072;1.000074;1.000075;1.000076;1.000076;1.000008
11;0.366667;19;18.999080;19.000000;1.000010;0.999952;1.000010;0.999993;0.999985;0.999978;0.999970;0.999963;0.999956;0.999950;0.999944;0.999939;0.999935;0.999930;0.999927;0.999924;0.999923;0.999921;0.999921;0.999920;0.999988
12;0.400000;19;18.999300;19.000000;1.000013;0.999963;1.000013;0.999998;0.999992;0.999985;0.999980;0.999973;0.999968;0.999963;0.999957;0.999954;0.999949;0.999947;0.999943;0.999940;0.999939;0.999938;0.999936;0.999937;0.999990
