frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
0;0.000000;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
1;0.033333;19;18.999960;19.000000;0.999999;0.999998;0.999998;0.999998;0.999998;0.999998;0.999998;0.999998;0.999997;0.999998;0.999998;0.999998;0.999997;0.999998;0.999998;0.999998;0.999998;0.999997;0.999998;0.999999;0.999998
2;0.066667;19;19.000010;19.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000001
3;0.100000;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000
4;0.133333;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
5;0.166667;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
6;0.200000;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001
7;0.233333;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001
8;0.266667;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;1.000000;1.000000;1.000001
9;0.300000;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;0.999999;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
10;0.333333;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;0.999999;1.000001;1.000000
11;0.366667;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001
12;0.400000;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;1.000001;1.000000;1.000000;0.999999;1.000001;0.999999;1.000000;1.000000
13;0.433333;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;1.000000;1.000001
14;0.466667;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000
15;0.500000;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;0.999999
16;0.533333;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001
17;0.566667;19;19.000000;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000
18;0.600000;19;19.000000;19.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
19;0.633333;19;19.000010;19.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;0.999999
20;0.666667;19;19.000010;19.000000;1.000001;1.000001;1.000001;1.000000;1.000000;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000001;1.000001;1.000000;1.000000;1.000001;1.000000;1.000001
21;0.700000;19;19.000010;19.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000
22;0.733334;19;19.000010;19.000000;1.000002;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001;1.000001;1.000000;1.000002;1.000000;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000
23;0.766667;19;19.000010;19.000000;1.000001;1.000000;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000001
24;0.800000;19;19.000000;19.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000
25;0.833334;19;19.000010;19.000000;1.000001;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000000;1.000001;1.000000;1.000000;1.000000;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001
26;0.866667;19;19.000010;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001
27;0.900000;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000002;1.000000;1.000001;1.000000;1.000000;1.000002;1.000000
28;0.933334;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000000;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000002
29;0.966667;19;19.000020;19.000000;1.000002;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000002;1.000000;1.000001;1.000001
30;1.000000;19;19.000020;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000000
31;1.033334;19;19.000020;19.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001;1.000000;1.000001;1.000001;1.000001;1.000001;1.000001;1.000001
