frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
0;0.000000;0.500000;1.000000;0.500000;0.500000;0.500000
1;0.008333;0.525803;1.000000;0.525803;0.525803;0.525803
2;0.016667;0.583347;1.000000;0.583347;0.583347;0.583347
3;0.025000;0.667682;1.000000;0.667682;0.667682;0.667682
4;0.033333;0.772218;1.000000;0.772218;0.772218;0.772218
5;0.041667;0.889227;1.000000;0.889227;0.889227;0.889227
6;0.050000;1.010402;1.000000;1.010402;1.010402;1.010402
7;0.058333;1.127436;1.000000;1.127436;1.127436;1.127436
8;0.066667;1.232584;1.000000;1.232584;1.232584;1.232584
9;0.075000;1.319163;1.000000;1.319163;1.319163;1.319163
10;0.083333;1.381965;1.000000;1.381965;1.381965;1.381965
11;0.091667;1.417565;1.000000;1.417565;1.417565;1.417565
12;0.100000;1.424483;1.000000;1.424483;1.424483;1.424483
13;0.108333;1.403223;1.000000;1.403223;1.403223;1.403223
14;0.116667;1.356173;1.000000;1.356173;1.356173;1.356173
15;0.125000;1.287375;1.000000;1.287375;1.287375;1.287375
16;0.133333;1.202201;1.000000;1.202201;1.202201;1.202201
17;0.141667;1.106945;1.000000;1.106945;1.106945;1.106945
18;0.150000;1.008366;1.000000;1.008366;1.008366;1.008366
19;0.158333;0.913221;1.000000;0.913221;0.913221;0.913221
20;0.166667;0.827804;1.000000;0.827804;0.827804;0.827804
21;0.175000;0.757542;1.000000;0.757542;0.757542;0.757542
22;0.183333;0.706657;1.000000;0.706657;0.706657;0.706657
23;0.191667;0.677921;1.000000;0.677921;0.677921;0.677921
24;0.200000;0.672523;1.000000;0.672523;0.672523;0.672523
25;0.208333;0.690036;1.000000;0.690036;0.690036;0.690036
26;0.216667;0.728504;1.000000;0.728504;0.728504;0.728504
27;0.225000;0.784627;1.000000;0.784627;0.784627;0.784627
28;0.233333;0.854025;1.000000;0.854025;0.854025;0.854025
29;0.241667;0.931572;1.000000;0.931572;0.931572;0.931572
30;0.250000;1.011767;1.000000;1.011767;1.011767;1.011767
31;0.258333;1.089117;1.000000;1.089117;1.089117;1.089117
32;0.266667;1.158505;1.000000;1.158505;1.158505;1.158505
33;0.275000;1.215525;1.000000;1.215525;1.215525;1.215525
34;0.283333;1.256753;1.000000;1.256753;1.256753;1.256753
35;0.291667;1.279946;1.000000;1.279946;1.279946;1.279946
36;0.300000;1.284151;1.000000;1.284151;1.284151;1.284151
37;0.308333;1.269727;1.000000;1.269727;1.269727;1.269727
38;0.316667;1.238276;1.000000;1.238276;1.238276;1.238276
39;0.325000;1.192494;1.000000;1.192494;1.192494;1.192494
40;0.333333;1.135951;1.000000;1.135951;1.135951;1.135951
41;0.341667;1.072821;1.000000;1.072821;1.072821;1.072821
42;0.350000;1.007582;1.000000;1.007582;1.007582;1.007582
43;0.358333;0.944700;1.000000;0.944700;0.944700;0.944700
44;0.366667;0.888333;1.000000;0.888333;0.888333;0.888333
45;0.375000;0.842060;1.000000;0.842060;0.842060;0.842060
46;0.383333;0.808656;1.000000;0.808656;0.808656;0.808656
47;0.391667;0.789938;1.000000;0.789938;0.789938;0.789938
48;0.400000;0.786669;1.000000;0.786669;0.786669;0.786669
49;0.408333;0.798548;1.000000;0.798548;0.798548;0.798548
50;0.416667;0.824260;1.000000;0.824260;0.824260;0.824260
51;0.425000;0.861606;1.000000;0.861606;0.861606;0.861606
52;0.433333;0.907675;1.000000;0.907675;0.907675;0.907675
53;0.441667;0.959068;1.000000;0.959068;0.959068;0.959068
54;0.450000;1.012140;1.000000;1.012140;1.012140;1.012140
55;0.458333;1.063260;1.000000;1.063260;1.063260;1.063260
56;0.466667;1.109048;1.000000;1.109048;1.109048;1.109048
57;0.475000;1.146600;1.000000;1.146600;1.146600;1.146600
58;0.483333;1.173663;1.000000;1.173663;1.173663;1.173663
59;0.491667;1.188769;1.000000;1.188769;1.188769;1.188769
60;0.500000;1.191305;1.000000;1.191305;1.191305;1.191305
61;0.508333;1.181525;1.000000;1.181525;1.181525;1.181525
62;0.516667;1.160504;1.000000;1.160504;1.160504;1.160504
63;0.525000;1.130040;1.000000;1.130040;1.130040;1.130040
64;0.533333;1.092505;1.000000;1.092505;1.092505;1.092505
65;0.541667;1.050668;1.000000;1.050668;1.050668;1.050668
66;0.550000;1.007493;1.000000;1.007493;1.007493;1.007493
67;0.558333;0.965936;1.000000;0.965936;0.965936;0.965936
68;0.566667;0.928741;1.000000;0.928741;0.928741;0.928741
69;0.575000;0.898267;1.000000;0.898267;0.898267;0.898267
70;0.583333;0.876342;1.000000;0.876342;0.876342;0.876342
71;0.591667;0.864152;1.000000;0.864152;0.864152;0.864152
72;0.600000;0.862189;1.000000;0.862189;0.862189;0.862189
73;0.608333;0.870241;1.000000;0.870241;0.870241;0.870241
74;0.616666;0.887425;1.000000;0.887425;0.887425;0.887425
75;0.625000;0.912275;1.000000;0.912275;0.912275;0.912275
76;0.633333;0.942856;1.000000;0.942856;0.942856;0.942856
77;0.641666;0.976915;1.000000;0.976915;0.976915;0.976915
78;0.650000;1.012037;1.000000;1.012037;1.012037;1.012037
79;0.658333;1.045821;1.000000;1.045821;1.045821;1.045821
80;0.666666;1.076035;1.000000;1.076035;1.076035;1.076035
81;0.675000;1.100764;1.000000;1.100764;1.100764;1.100764
82;0.683333;1.118527;1.000000;1.118527;1.118527;1.118527
83;0.691666;1.128363;1.000000;1.128363;1.128363;1.128363
84;0.700000;1.129878;1.000000;1.129878;1.129878;1.129878
85;0.708333;1.123250;1.000000;1.123250;1.123250;1.123250
86;0.716666;1.109203;1.000000;1.109203;1.109203;1.109203
87;0.725000;1.088933;1.000000;1.088933;1.088933;1.088933
88;0.733333;1.064017;1.000000;1.064017;1.064017;1.064017
89;0.741666;1.036292;1.000000;1.036292;1.036292;1.036292
90;0.750000;1.007720;1.000000;1.007720;1.007720;1.007720
91;0.758333;0.980256;1.000000;0.980256;0.980256;0.980256
92;0.766666;0.955713;1.000000;0.955713;0.955713;0.955713
93;0.775000;0.935646;1.000000;0.935646;0.935646;0.935646
94;0.783333;0.921255;1.000000;0.921255;0.921255;0.921255
95;0.791666;0.913319;1.000000;0.913319;0.913319;0.913319
96;0.800000;0.912153;1.000000;0.912153;0.912153;0.912153
97;0.808333;0.917608;1.000000;0.917608;0.917608;0.917608
98;0.816666;0.929091;1.000000;0.929091;0.929091;0.929091
99;0.825000;0.945625;1.000000;0.945625;0.945625;0.945625
100;0.833333;0.965924;1.000000;0.965924;0.965924;0.965924
101;0.841666;0.988494;1.000000;0.988494;0.988494;0.988494
102;0.850000;1.011737;1.000000;1.011737;1.011737;1.011737
103;0.858333;1.034063;1.000000;1.034063;1.034063;1.034063
104;0.866666;1.053999;1.000000;1.053999;1.053999;1.053999
105;0.875000;1.070284;1.000000;1.070284;1.070284;1.070284
106;0.883333;1.081942;1.000000;1.081942;1.081942;1.081942
107;0.891666;1.088345;1.000000;1.088345;1.088345;1.088345
108;0.900000;1.089239;1.000000;1.089239;1.089239;1.089239
109;0.908333;1.084750;1.000000;1.084750;1.084750;1.084750
110;0.916666;1.075364;1.000000;1.075364;1.075364;1.075364
111;0.925000;1.061877;1.000000;1.061877;1.061877;1.061877
112;0.933333;1.045339;1.000000;1.045339;1.045339;1.045339
113;0.941666;1.026966;1.000000;1.026966;1.026966;1.026966
114;0.950000;1.008059;1.000000;1.008059;1.008059;1.008059
115;0.958333;0.989909;1.000000;0.989909;0.989909;0.989909
116;0.966666;0.973715;1.000000;0.973715;0.973715;0.973715
117;0.974999;0.960501;1.000000;0.960501;0.960501;0.960501
118;0.983333;0.951056;1.000000;0.951056;0.951056;0.951056
119;0.991666;0.945891;1.000000;0.945891;0.945891;0.945891
120;0.999999;0.945208;1.000000;0.945208;0.945208;0.945208
121;1.008333;0.948901;1.000000;0.948901;0.948901;0.948901
122;1.016666;0.956573;1.000000;0.956573;0.956573;0.956573
123;1.024999;0.967573;1.000000;0.967573;0.967573;0.967573
124;1.033333;0.981048;1.000000;0.981048;0.981048;0.981048
125;1.041666;0.996004;1.000000;0.996004;0.996004;0.996004
126;1.049999;1.011385;1.000000;1.011385;1.011385;1.011385
127;1.058333;1.026139;1.000000;1.026139;1.026139;1.026139
128;1.066666;1.039293;1.000000;1.039293;1.039293;1.039293
129;1.074999;1.050016;1.000000;1.050016;1.050016;1.050016
130;1.083333;1.057666;1.000000;1.057666;1.057666;1.057666
131;1.091666;1.061833;1.000000;1.061833;1.061833;1.061833
132;1.099999;1.062353;1.000000;1.062353;1.062353;1.062353
133;1.108333;1.059315;1.000000;1.059315;1.059315;1.059315
134;1.116666;1.053044;1.000000;1.053044;1.053044;1.053044
135;1.124999;1.044072;1.000000;1.044072;1.044072;1.044072
136;1.133333;1.033094;1.000000;1.033094;1.033094;1.033094
137;1.141666;1.020919;1.000000;1.020919;1.020919;1.020919
138;1.149999;1.008407;1.000000;1.008407;1.008407;1.008407
139;1.158333;0.996414;1.000000;0.996414;0.996414;0.996414
140;1.166666;0.985728;1.000000;0.985728;0.985728;0.985728
141;1.174999;0.977028;1.000000;0.977028;0.977028;0.977028
142;1.183333;0.970830;1.000000;0.970830;0.970830;0.970830
143;1.191666;0.967469;1.000000;0.967469;0.967469;0.967469
144;1.199999;0.967075;1.000000;0.967075;0.967075;0.967075
145;1.208333;0.969574;1.000000;0.969574;0.969574;0.969574
146;1.216666;0.974700;1.000000;0.974700;0.974700;0.974700
147;1.224999;0.982018;1.000000;0.982018;0.982018;0.982018
148;1.233333;0.990962;1.000000;0.990962;0.990962;0.990962
149;1.241666;1.000872;1.000000;1.000872;1.000872;1.000872
150;1.249999;1.011050;1.000000;1.011050;1.011050;1.011050
151;1.258332;1.020800;1.000000;1.020800;1.020800;1.020800
152;1.266666;1.029479;1.000000;1.029479;1.029479;1.029479
153;1.274999;1.036539;1.000000;1.036539;1.036539;1.036539
154;1.283332;1.041559;1.000000;1.041559;1.041559;1.041559
155;1.291666;1.044270;1.000000;1.044270;1.044270;1.044270
156;1.299999;1.044567;1.000000;1.044567;1.044567;1.044567
157;1.308332;1.042512;1.000000;1.042512;1.042512;1.042512
158;1.316666;1.038323;1.000000;1.038323;1.038323;1.038323
159;1.324999;1.032354;1.000000;1.032354;1.032354;1.032354
160;1.333332;1.025067;1.000000;1.025067;1.025067;1.025067
161;1.341666;1.017000;1.000000;1.017000;1.017000;1.017000
162;1.349999;1.008721;1.000000;1.008721;1.008721;1.008721
163;1.358332;1.000795;1.000000;1.000795;1.000795;1.000795
164;1.366666;0.993745;1.000000;0.993745;0.993745;0.993745
165;1.374999;0.988016;1.000000;0.988016;0.988016;0.988016
166;1.383332;0.983950;1.000000;0.983950;0.983950;0.983950
167;1.391666;0.981764;1.000000;0.981764;0.981764;0.981764
168;1.399999;0.981541;1.000000;0.981541;0.981541;0.981541
169;1.408332;0.983232;1.000000;0.983232;0.983232;0.983232
170;1.416666;0.986656;1.000000;0.986656;0.986656;0.986656
171;1.424999;0.991524;1.000000;0.991524;0.991524;0.991524
172;1.433332;0.997460;1.000000;0.997460;0.997460;0.997460
173;1.441666;1.004027;1.000000;1.004027;1.004027;1.004027
174;1.449999;1.010762;1.000000;1.010762;1.010762;1.010762
175;1.458332;1.017204;1.000000;1.017204;1.017204;1.017204
176;1.466666;1.022931;1.000000;1.022931;1.022931;1.022931
177;1.474999;1.027579;1.000000;1.027579;1.027579;1.027579
178;1.483332;1.030873;1.000000;1.030873;1.030873;1.030873
179;1.491666;1.032636;1.000000;1.032636;1.032636;1.032636
180;1.499999;1.032801;1.000000;1.032801;1.032801;1.032801
181;1.508332;1.031411;1.000000;1.031411;1.031411;1.031411
182;1.516666;1.028613;1.000000;1.028613;1.028613;1.028613
183;1.524999;1.024642;1.000000;1.024642;1.024642;1.024642
184;1.533332;1.019807;1.000000;1.019807;1.019807;1.019807
185;1.541666;1.014461;1.000000;1.014461;1.014461;1.014461
186;1.549999;1.008983;1.000000;1.008983;1.008983;1.008983
187;1.558332;1.003745;1.000000;1.003745;1.003745;1.003745
188;1.566666;0.999094;1.000000;0.999094;0.999094;0.999094
189;1.574999;0.995322;1.000000;0.995322;0.995322;0.995322
190;1.583332;0.992654;1.000000;0.992654;0.992654;0.992654
191;1.591666;0.991233;1.000000;0.991233;0.991233;0.991233
192;1.599999;0.991111;1.000000;0.991111;0.991111;0.991111
193;1.608332;0.992254;1.000000;0.992254;0.992254;0.992254
194;1.616665;0.994541;1.000000;0.994541;0.994541;0.994541
195;1.624999;0.997779;1.000000;0.997779;0.997779;0.997779
196;1.633332;1.001719;1.000000;1.001719;1.001719;1.001719
197;1.641665;1.006070;1.000000;1.006070;1.006070;1.006070
198;1.649999;1.010526;1.000000;1.010526;1.010526;1.010526
199;1.658332;1.014784;1.000000;1.014784;1.014784;1.014784
200;1.666665;1.018562;1.000000;1.018562;1.018562;1.018562
201;1.674999;1.021622;1.000000;1.021622;1.021622;1.021622
202;1.683332;1.023783;1.000000;1.023783;1.023783;1.023783
203;1.691665;1.024929;1.000000;1.024929;1.024929;1.024929
204;1.699999;1.025018;1.000000;1.025018;1.025018;1.025018
205;1.708332;1.024079;1.000000;1.024079;1.024079;1.024079
206;1.716665;1.022210;1.000000;1.022210;1.022210;1.022210
207;1.724999;1.019568;1.000000;1.019568;1.019568;1.019568
208;1.733332;1.016359;1.000000;1.016359;1.016359;1.016359
209;1.741665;1.012817;1.000000;1.012817;1.012817;1.012817
210;1.749999;1.009192;1.000000;1.009192;1.009192;1.009192
211;1.758332;1.005731;1.000000;1.005731;1.005731;1.005731
212;1.766665;1.002663;1.000000;1.002663;1.002663;1.002663
213;1.774999;1.000180;1.000000;1.000180;1.000180;1.000180
214;1.783332;0.998429;1.000000;0.998429;0.998429;0.998429
215;1.791665;0.997505;1.000000;0.997505;0.997505;0.997505
216;1.799999;0.997442;1.000000;0.997442;0.997442;0.997442
217;1.808332;0.998214;1.000000;0.998214;0.998214;0.998214
218;1.816665;0.999741;1.000000;0.999741;0.999741;0.999741
219;1.824999;1.001895;1.000000;1.001895;1.001895;1.001895
220;1.833332;1.004510;1.000000;1.004510;1.004510;1.004510
221;1.841665;1.007393;1.000000;1.007393;1.007393;1.007393
222;1.849999;1.010341;1.000000;1.010341;1.010341;1.010341
223;1.858332;1.013154;1.000000;1.013154;1.013154;1.013154
224;1.866665;1.015647;1.000000;1.015647;1.015647;1.015647
225;1.874999;1.017662;1.000000;1.017662;1.017662;1.017662
226;1.883332;1.019079;1.000000;1.019079;1.019079;1.019079
227;1.891665;1.019824;1.000000;1.019824;1.019824;1.019824
228;1.899999;1.019869;1.000000;1.019869;1.019869;1.019869
229;1.908332;1.019235;1.000000;1.019235;1.019235;1.019235
230;1.916665;1.017987;1.000000;1.017987;1.017987;1.017987
