frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;1984;639.990100;639.990100;1.000000;1.000000
1;0.033333;1984;640.023900;639.990100;1.007634;1.000049
2;0.066667;1984;640.103900;639.990100;1.019329;1.000171
3;0.100000;1984;640.253400;639.990100;1.034138;1.000396
4;0.133333;1984;640.481600;639.990100;1.051539;1.000745
5;0.166667;1984;640.790000;639.990100;1.071215;1.001228
6;0.200000;1984;641.182100;639.990100;1.092924;1.001843
7;0.233333;1984;641.645600;639.990100;1.116413;1.002572
8;0.266667;1984;642.174200;639.990100;1.141361;1.003399
9;0.300000;1984;642.754000;639.990100;1.167376;1.004303
10;0.333333;1984;643.380400;639.990100;1.194008;1.005279
11;0.366667;1984;644.046900;639.990100;1.220845;1.006325
12;0.400000;1984;644.752300;639.990100;1.247676;1.007427
13;0.433333;1984;645.493600;639.990100;1.274476;1.008584
14;0.466667;1984;646.257600;639.990100;1.301258;1.009776
15;0.500000;1984;647.031600;639.990100;1.328053;1.010987
16;0.533333;1984;647.805100;639.990100;1.354878;1.012195
17;0.566667;1984;648.567000;639.990100;1.381705;1.013385
18;0.600000;1984;649.308100;639.990100;1.408455;1.014543
19;0.633333;1984;650.022500;639.990100;1.434983;1.015658
20;0.666667;1984;650.705400;639.990100;1.461076;1.016726
21;0.700000;1984;651.354800;639.990100;1.486471;1.017742
22;0.733334;1984;651.970300;639.990100;1.510859;1.018703
23;0.766667;1984;652.549000;639.990100;1.533898;1.019609
24;0.800000;1984;653.090500;639.990100;1.555247;1.020452
25;0.833334;1984;653.588600;639.990100;1.574572;1.021230
26;0.866667;1984;654.039900;639.990100;1.591574;1.021936
27;0.900000;1984;654.438000;639.990100;1.606002;1.022560
28;0.933334;1984;654.776300;639.990100;1.617655;1.023088
29;0.966667;1984;655.045800;639.990100;1.626395;1.023508
30;1.000000;1984;655.238600;639.990100;1.632137;1.023812
31;1.033334;1984;655.352500;639.990100;1.634848;1.023989
32;1.066667;1984;655.382400;639.990100;1.634541;1.024032
33;1.100000;1984;655.329200;639.990100;1.631271;1.023952
34;1.133334;1984;655.202000;639.990100;1.625138;1.023754
35;1.166667;1984;655.011500;639.990100;1.616274;1.023455
36;1.200000;1984;654.761200;639.990100;1.604859;1.023064
