frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
0;0.000000;0.500000;1.000000;0.500000;0.500000;0.500000
1;0.008333;0.525803;1.000000;0.525803;0.525803;0.525803
2;0.016667;0.583347;1.000000;0.583347;0.583347;0.583347
3;0.025000;0.667682;1.000000;0.667682;0.667682;0.667682
4;0.033333;0.772218;1.000000;0.772218;0.772218;0.772218
5;0.041667;0.889226;1.000000;0.889226;0.889226;0.889226
6;0.050000;1.010401;1.000000;1.010401;1.010401;1.010401
7;0.058333;1.127435;1.000000;1.127435;1.127435;1.127435
8;0.066667;1.232583;1.000000;1.232583;1.232583;1.232583
9;0.075000;1.319162;1.000000;1.319162;1.319162;1.319162
10;0.083333;1.381965;1.000000;1.381965;1.381965;1.381965
11;0.091667;1.417565;1.000000;1.417565;1.417565;1.417565
12;0.100000;1.424484;1.000000;1.424484;1.424484;1.424484
13;0.108333;1.403226;1.000000;1.403226;1.403226;1.403226
14;0.116667;1.356177;1.000000;1.356177;1.356177;1.356177
15;0.125000;1.287380;1.000000;1.287380;1.287380;1.287380
16;0.133333;1.202207;1.000000;1.202207;1.202207;1.202207
17;0.141667;1.106951;1.000000;1.106951;1.106951;1.106951
18;0.150000;1.008373;1.000000;1.008373;1.008373;1.008373
19;0.158333;0.913227;1.000000;0.913227;0.913227;0.913227
20;0.166667;0.827809;1.000000;0.827809;0.827809;0.827809
21;0.175000;0.757546;1.000000;0.757546;0.757546;0.757546
22;0.183333;0.706659;1.000000;0.706659;0.706659;0.706659
23;0.191667;0.677922;1.000000;0.677922;0.677922;0.677922
24;0.200000;0.672522;1.000000;0.672522;0.672522;0.672522
25;0.208333;0.690033;1.000000;0.690033;0.690033;0.690033
26;0.216667;0.728500;1.000000;0.728500;0.728500;0.728500
27;0.225000;0.784621;1.000000;0.784621;0.784621;0.784621
28;0.233333;0.854018;1.000000;0.854018;0.854018;0.854018
29;0.241667;0.931564;1.000000;0.931564;0.931564;0.931564
30;0.250000;1.011759;1.000000;1.011759;1.011759;1.011759
31;0.258333;1.089109;1.000000;1.089109;1.089109;1.089109
32;0.266667;1.158498;1.000000;1.158498;1.158498;1.158498
33;0.275000;1.215520;1.000000;1.215520;1.215520;1.215520
34;0.283333;1.256751;1.000000;1.256751;1.256751;1.256751
35;0.291667;1.279946;1.000000;1.279946;1.279946;1.279946
36;0.300000;1.284153;1.000000;1.284153;1.284153;1.284153
37;0.308333;1.269731;1.000000;1.269731;1.269731;1.269731
38;0.316667;1.238283;1.000000;1.238283;1.238283;1.238283
39;0.325000;1.192503;1.000000;1.192503;1.192503;1.192503
40;0.333333;1.135961;1.000000;1.135961;1.135961;1.135961
41;0.341667;1.072832;1.000000;1.072832;1.072832;1.072832
42;0.350000;1.007593;1.000000;1.007593;1.007593;1.007593
43;0.358333;0.944710;1.000000;0.944710;0.944710;0.944710
44;0.366667;0.888342;1.000000;0.888342;0.888342;0.888342
45;0.375000;0.842067;1.000000;0.842067;0.842067;0.842067
46;0.383333;0.808660;1.000000;0.808660;0.808660;0.808660
47;0.391667;0.789939;1.000000;0.789939;0.789939;0.789939
48;0.400000;0.786668;1.000000;0.786668;0.786668;0.786668
49;0.408333;0.798543;1.000000;0.798543;0.798543;0.798543
50;0.416667;0.824253;1.000000;0.824253;0.824253;0.824253
51;0.425000;0.861597;1.000000;0.861597;0.861597;0.861597
52;0.433333;0.907665;1.000000;0.907665;0.907665;0.907665
53;0.441667;0.959056;1.000000;0.959056;0.959056;0.959056
54;0.450000;1.012129;1.000000;1.012129;1.012129;1.012129
55;0.458333;1.063250;1.000000;1.063250;1.063250;1.063250
56;0.466667;1.109040;1.000000;1.109040;1.109040;1.109040
57;0.475000;1.146594;1.000000;1.146594;1.146594;1.146594
58;0.483333;1.173660;1.000000;1.173660;1.173660;1.173660
59;0.491667;1.188770;1.000000;1.188770;1.188770;1.188770
60;0.500000;1.191308;1.000000;1.191308;1.191308;1.191308
61;0.508333;1.181531;1.000000;1.181531;1.181531;1.181531
62;0.516667;1.160513;1.000000;1.160513;1.160513;1.160513
63;0.525000;1.130052;1.000000;1.130052;1.130052;1.130052
64;0.533333;1.092519;1.000000;1.092519;1.092519;1.092519
65;0.541667;1.050682;1.000000;1.050682;1.050682;1.050682
66;0.550000;1.007508;1.000000;1.007508;1.007508;1.007508
67;0.558333;0.965950;1.000000;0.965950;0.965950;0.965950
68;0.566667;0.928753;1.000000;0.928753;0.928753;0.928753
69;0.575000;0.898277;1.000000;0.898277;0.898277;0.898277
70;0.583333;0.876348;1.000000;0.876348;0.876348;0.876348
71;0.591667;0.864154;1.000000;0.864154;0.864154;0.864154
72;0.600000;0.862188;1.000000;0.862188;0.862188;0.862188
73;0.608333;0.870236;1.000000;0.870236;0.870236;0.870236
74;0.616666;0.887417;1.000000;0.887417;0.887417;0.887417
75;0.625000;0.912264;1.000000;0.912264;0.912264;0.912264
76;0.633333;0.942843;1.000000;0.942843;0.942843;0.942843
77;0.641666;0.976901;1.000000;0.976901;0.976901;0.976901
78;0.650000;1.012023;1.000000;1.012023;1.012023;1.012023
79;0.658333;1.045807;1.000000;1.045807;1.045807;1.045807
80;0.666666;1.076023;1.000000;1.076023;1.076023;1.076023
81;0.675000;1.100755;1.000000;1.100755;1.100755;1.100755
82;0.683333;1.118521;1.000000;1.118521;1.118521;1.118521
83;0.691666;1.128361;1.000000;1.128361;1.128361;1.128361
84;0.700000;1.129880;1.000000;1.129880;1.129880;1.129880
85;0.708333;1.123256;1.000000;1.123256;1.123256;1.123256
86;0.716666;1.109212;1.000000;1.109212;1.109212;1.109212
87;0.725000;1.088946;1.000000;1.088946;1.088946;1.088946
88;0.733333;1.064032;1.000000;1.064032;1.064032;1.064032
89;0.741666;1.036308;1.000000;1.036308;1.036308;1.036308
90;0.750000;1.007737;1.000000;1.007737;1.007737;1.007737
91;0.758333;0.980272;1.000000;0.980272;0.980272;0.980272
92;0.766666;0.955727;1.000000;0.955727;0.955727;0.955727
93;0.775000;0.935657;1.000000;0.935657;0.935657;0.935657
94;0.783333;0.921262;1.000000;0.921262;0.921262;0.921262
95;0.791666;0.913322;1.000000;0.913322;0.913322;0.913322
96;0.800000;0.912152;1.000000;0.912152;0.912152;0.912152
97;0.808333;0.917602;1.000000;0.917602;0.917602;0.917602
98;0.816666;0.929081;1.000000;0.929081;0.929081;0.929081
99;0.825000;0.945612;1.000000;0.945612;0.945612;0.945612
100;0.833333;0.965909;1.000000;0.965909;0.965909;0.965909
101;0.841666;0.988478;1.000000;0.988478;0.988478;0.988478
102;0.850000;1.011721;1.000000;1.011721;1.011721;1.011721
103;0.858333;1.034048;1.000000;1.034048;1.034048;1.034048
104;0.866666;1.053987;1.000000;1.053987;1.053987;1.053987
105;0.875000;1.070274;1.000000;1.070274;1.070274;1.070274
106;0.883333;1.081936;1.000000;1.081936;1.081936;1.081936
107;0.891666;1.088344;1.000000;1.088344;1.088344;1.088344
108;0.900000;1.089242;1.000000;1.089242;1.089242;1.089242
109;0.908333;1.084757;1.000000;1.084757;1.084757;1.084757
110;0.916666;1.075374;1.000000;1.075374;1.075374;1.075374
111;0.925000;1.061891;1.000000;1.061891;1.061891;1.061891
112;0.933333;1.045354;1.000000;1.045354;1.045354;1.045354
113;0.941666;1.026983;1.000000;1.026983;1.026983;1.026983
114;0.950000;1.008075;1.000000;1.008075;1.008075;1.008075
115;0.958333;0.989924;1.000000;0.989924;0.989924;0.989924
116;0.966666;0.973728;1.000000;0.973728;0.973728;0.973728
117;0.974999;0.960511;1.000000;0.960511;0.960511;0.960511
118;0.983333;0.951063;1.000000;0.951063;0.951063;0.951063
119;0.991666;0.945893;1.000000;0.945893;0.945893;0.945893
120;0.999999;0.945206;1.000000;0.945206;0.945206;0.945206
121;1.008333;0.948895;1.000000;0.948895;0.948895;0.948895
122;1.016666;0.956564;1.000000;0.956564;0.956564;0.956564
123;1.024999;0.967561;1.000000;0.967561;0.967561;0.967561
124;1.033333;0.981033;1.000000;0.981033;0.981033;0.981033
125;1.041666;0.995989;1.000000;0.995989;0.995989;0.995989
126;1.049999;1.011369;1.000000;1.011369;1.011369;1.011369
127;1.058333;1.026124;1.000000;1.026124;1.026124;1.026124
128;1.066666;1.039280;1.000000;1.039280;1.039280;1.039280
129;1.074999;1.050006;1.000000;1.050006;1.050006;1.050006
130;1.083333;1.057660;1.000000;1.057660;1.057660;1.057660
131;1.091666;1.061831;1.000000;1.061831;1.061831;1.061831
132;1.099999;1.062356;1.000000;1.062356;1.062356;1.062356
133;1.108333;1.059322;1.000000;1.059322;1.059322;1.059322
134;1.116666;1.053054;1.000000;1.053054;1.053054;1.053054
135;1.124999;1.044085;1.000000;1.044085;1.044085;1.044085
136;1.133333;1.033109;1.000000;1.033109;1.033109;1.033109
137;1.141666;1.020935;1.000000;1.020935;1.020935;1.020935
138;1.149999;1.008424;1.000000;1.008424;1.008424;1.008424
139;1.158333;0.996429;1.000000;0.996429;0.996429;0.996429
140;1.166666;0.985742;1.000000;0.985742;0.985742;0.985742
141;1.174999;0.977038;1.000000;0.977038;0.977038;0.977038
142;1.183333;0.970837;1.000000;0.970837;0.970837;0.970837
143;1.191666;0.967472;1.000000;0.967472;0.967472;0.967472
144;1.199999;0.967074;1.000000;0.967074;0.967074;0.967074
145;1.208333;0.969569;1.000000;0.969569;0.969569;0.969569
146;1.216666;0.974691;1.000000;0.974691;0.974691;0.974691
147;1.224999;0.982006;1.000000;0.982006;0.982006;0.982006
148;1.233333;0.990947;1.000000;0.990947;0.990947;0.990947
149;1.241666;1.000857;1.000000;1.000857;1.000857;1.000857
150;1.249999;1.011034;1.000000;1.011034;1.011034;1.011034
151;1.258332;1.020785;1.000000;1.020785;1.020785;1.020785
152;1.266666;1.029467;1.000000;1.029467;1.029467;1.029467
153;1.274999;1.036530;1.000000;1.036530;1.036530;1.036530
154;1.283332;1.041554;1.000000;1.041554;1.041554;1.041554
155;1.291666;1.044269;1.000000;1.044269;1.044269;1.044269
156;1.299999;1.044571;1.000000;1.044571;1.044571;1.044571
157;1.308332;1.042520;1.000000;1.042520;1.042520;1.042520
158;1.316666;1.038334;1.000000;1.038334;1.038334;1.038334
159;1.324999;1.032368;1.000000;1.032368;1.032368;1.032368
160;1.333332;1.025084;1.000000;1.025084;1.025084;1.025084
161;1.341666;1.017017;1.000000;1.017017;1.017017;1.017017
162;1.349999;1.008738;1.000000;1.008738;1.008738;1.008738
163;1.358332;1.000811;1.000000;1.000811;1.000811;1.000811
164;1.366666;0.993759;1.000000;0.993759;0.993759;0.993759
165;1.374999;0.988027;1.000000;0.988027;0.988027;0.988027
166;1.383332;0.983956;1.000000;0.983956;0.983956;0.983956
167;1.391666;0.981766;1.000000;0.981766;0.981766;0.981766
168;1.399999;0.981540;1.000000;0.981540;0.981540;0.981540
169;1.408332;0.983226;1.000000;0.983226;0.983226;0.983226
170;1.416666;0.986646;1.000000;0.986646;0.986646;0.986646
171;1.424999;0.991512;1.000000;0.991512;0.991512;0.991512
172;1.433332;0.997445;1.000000;0.997445;0.997445;0.997445
173;1.441666;1.004012;1.000000;1.004012;1.004012;1.004012
174;1.449999;1.010746;1.000000;1.010746;1.010746;1.010746
175;1.458332;1.017190;1.000000;1.017190;1.017190;1.017190
176;1.466666;1.022919;1.000000;1.022919;1.022919;1.022919
177;1.474999;1.027570;1.000000;1.027570;1.027570;1.027570
178;1.483332;1.030868;1.000000;1.030868;1.030868;1.030868
179;1.491666;1.032635;1.000000;1.032635;1.032635;1.032635
180;1.499999;1.032804;1.000000;1.032804;1.032804;1.032804
181;1.508332;1.031419;1.000000;1.031419;1.031419;1.031419
182;1.516666;1.028624;1.000000;1.028624;1.028624;1.028624
183;1.524999;1.024656;1.000000;1.024656;1.024656;1.024656
184;1.533332;1.019822;1.000000;1.019822;1.019822;1.019822
185;1.541666;1.014477;1.000000;1.014477;1.014477;1.014477
186;1.549999;1.008999;1.000000;1.008999;1.008999;1.008999
187;1.558332;1.003761;1.000000;1.003761;1.003761;1.003761
188;1.566666;0.999108;1.000000;0.999108;0.999108;0.999108
189;1.574999;0.995334;1.000000;0.995334;0.995334;0.995334
190;1.583332;0.992662;1.000000;0.992662;0.992662;0.992662
191;1.591666;0.991237;1.000000;0.991237;0.991237;0.991237
192;1.599999;0.991111;1.000000;0.991111;0.991111;0.991111
193;1.608332;0.992250;1.000000;0.992250;0.992250;0.992250
194;1.616665;0.994533;1.000000;0.994533;0.994533;0.994533
195;1.624999;0.997768;1.000000;0.997768;0.997768;0.997768
196;1.633332;1.001705;1.000000;1.001705;1.001705;1.001705
197;1.641665;1.006056;1.000000;1.006056;1.006056;1.006056
198;1.649999;1.010512;1.000000;1.010512;1.010512;1.010512
199;1.658332;1.014770;1.000000;1.014770;1.014770;1.014770
200;1.666665;1.018551;1.000000;1.018551;1.018551;1.018551
201;1.674999;1.021614;1.000000;1.021614;1.021614;1.021614
202;1.683332;1.023778;1.000000;1.023778;1.023778;1.023778
203;1.691665;1.024928;1.000000;1.024928;1.024928;1.024928
204;1.699999;1.025021;1.000000;1.025021;1.025021;1.025021
205;1.708332;1.024085;1.000000;1.024085;1.024085;1.024085
206;1.716665;1.022220;1.000000;1.022220;1.022220;1.022220
207;1.724999;1.019581;1.000000;1.019581;1.019581;1.019581
208;1.733332;1.016373;1.000000;1.016373;1.016373;1.016373
209;1.741665;1.012832;1.000000;1.012832;1.012832;1.012832
210;1.749999;1.009207;1.000000;1.009207;1.009207;1.009207
211;1.758332;1.005746;1.000000;1.005746;1.005746;1.005746
212;1.766665;1.002675;1.000000;1.002675;1.002675;1.002675
213;1.774999;1.000189;1.000000;1.000189;1.000189;1.000189
214;1.783332;0.998436;1.000000;0.998436;0.998436;0.998436
215;1.791665;0.997509;1.000000;0.997509;0.997509;0.997509
216;1.799999;0.997441;1.000000;0.997441;0.997441;0.997441
217;1.808332;0.998210;1.000000;0.998210;0.998210;0.998210
218;1.816665;0.999734;1.000000;0.999734;0.999734;0.999734
219;1.824999;1.001885;1.000000;1.001885;1.001885;1.001885
220;1.833332;1.004498;1.000000;1.004498;1.004498;1.004498
221;1.841665;1.007380;1.000000;1.007380;1.007380;1.007380
222;1.849999;1.010329;1.000000;1.010329;1.010329;1.010329
223;1.858332;1.013143;1.000000;1.013143;1.013143;1.013143
224;1.866665;1.015637;1.000000;1.015637;1.015637;1.015637
225;1.874999;1.017655;1.000000;1.017655;1.017655;1.017655
226;1.883332;1.019076;1.000000;1.019076;1.019076;1.019076
227;1.891665;1.019825;1.000000;1.019825;1.019825;1.019825
228;1.899999;1.019874;1.000000;1.019874;1.019874;1.019874
229;1.908332;1.019243;1.000000;1.019243;1.019243;1.019243
230;1.916665;1.017998;1.000000;1.017998;1.017998;1.017998
