frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio
0;0.000000;1984;639.990100;639.990100;1.000000;1.000000
1;0.033333;1984;640.031200;639.990100;1.006652;1.000057
2;0.066667;1984;640.130400;639.990100;1.017912;1.000209
3;0.100000;1984;640.305500;639.990100;1.033082;1.000480
4;0.133333;1984;640.569300;639.990100;1.051772;1.000888
5;0.166667;1984;640.928400;639.990100;1.073673;1.001449
6;0.200000;1984;641.388200;639.990100;1.098509;1.002167
7;0.233333;1984;641.945400;639.990100;1.126111;1.003038
8;0.266667;1984;642.598600;639.990100;1.156138;1.004058
9;0.300000;1984;643.342300;639.990100;1.188302;1.005222
10;0.333333;1984;644.171900;639.990100;1.222322;1.006519
11;0.366667;1984;645.082900;639.990100;1.257961;1.007943
12;0.400000;1984;646.070300;639.990100;1.295014;1.009484
13;0.433333;1984;647.122600;639.990100;1.333309;1.011128
14;0.466667;1984;648.228400;639.990100;1.372661;1.012856
15;0.500000;1984;649.374600;639.990100;1.412859;1.014648
16;0.533333;1984;650.544500;639.990100;1.453601;1.016476
17;0.566667;1984;651.724400;639.990100;1.494505;1.018319
18;0.600000;1984;652.890700;639.990100;1.535076;1.020140
19;0.633333;1984;654.013900;639.990100;1.574721;1.021898
20;0.666667;1984;655.074000;639.990100;1.612698;1.023553
21;0.700000;1984;656.055100;639.990100;1.656686;1.025086
22;0.733334;1984;656.940700;639.990100;1.698538;1.026469
23;0.766667;1984;657.717100;639.990100;1.735044;1.027682
24;0.800000;1984;658.366700;639.990100;1.765484;1.028699
25;0.833334;1984;658.879600;639.990100;1.789180;1.029500
26;0.866667;1984;659.243300;639.990100;1.805583;1.030067
27;0.900000;1984;659.449800;639.990100;1.814323;1.030391
28;0.933334;1984;659.493500;639.990100;1.815268;1.030459
29;0.966667;1984;659.372900;639.990100;1.808494;1.030270
30;1.000000;1984;659.088500;639.990100;1.794285;1.029826
31;1.033334;1984;658.646700;639.990100;1.773113;1.029135
32;1.066667;1984;658.054900;639.990100;1.745598;1.028212
33;1.100000;1984;657.333300;639.990100;1.712498;1.027083
34;1.133334;1984;656.498700;639.990100;1.674667;1.025780
35;1.166667;1984;655.576800;639.990100;1.633064;1.024340
36;1.200000;1984;654.591400;639.990100;1.593516;1.022800
37;1.233333;1984;653.568400;639.990100;1.557212;1.021199
38;1.266667;1984;652.528200;639.990100;1.520218;1.019575
39;1.300000;1984;651.490000;639.990100;1.483211;1.017954
40;1.333333;1984;650.474700;639.990100;1.446774;1.016367
41;1.366667;1984;649.492600;639.990100;1.411399;1.014832
42;1.400000;1984;648.556100;639.990100;1.377469;1.013367
43;1.433333;1984;647.673500;639.990100;1.345282;1.011988
44;1.466667;1984;646.851900;639.990100;1.315043;1.010705
45;1.500000;1984;646.096300;639.990100;1.286895;1.009525
46;1.533333;1984;645.411400;639.990100;1.260935;1.008453
47;1.566666;1984;644.797500;639.990100;1.237227;1.007494
48;1.600000;1984;644.254900;639.990100;1.215837;1.006648
49;1.633333;1984;643.784300;639.990100;1.196817;1.005913
50;1.666666;1984;643.385200;639.990100;1.180246;1.005289
51;1.700000;1984;643.055000;639.990100;1.166221;1.004775
52;1.733333;1984;642.795300;639.990100;1.154857;1.004368
53;1.766666;1984;642.606000;639.990100;1.146269;1.004072
54;1.800000;1984;642.484900;639.990100;1.140570;1.003883
55;1.833333;1984;642.433300;639.990100;1.137861;1.003803
56;1.866666;1984;642.450400;639.990100;1.138196;1.003829
57;1.899999;1984;642.535400;639.990100;1.141603;1.003962
58;1.933333;1984;642.686800;639.990100;1.148055;1.004199
59;1.966666;1984;642.905900;639.990100;1.157486;1.004540
60;1.999999;1984;643.191300;639.990100;1.169782;1.004988
61;2.033333;1984;643.544100;639.990100;1.184806;1.005538
62;2.066666;1984;643.963900;639.990100;1.202381;1.006195
63;2.099999;1984;644.452300;639.990100;1.222301;1.006956
64;2.133333;1984;645.007600;639.990100;1.244337;1.007824
65;2.166666;1984;645.625800;639.990100;1.268243;1.008790
66;2.199999;1984;646.305100;639.990100;1.293753;1.009851
67;2.233333;1984;647.037700;639.990100;1.320585;1.010996
68;2.266666;1984;647.815600;639.990100;1.348452;1.012211
69;2.299999;1984;648.627300;639.990100;1.377048;1.013480
70;2.333333;1984;649.461300;639.990100;1.406058;1.014783
71;2.366666;1984;650.303200;639.990100;1.435158;1.016099
72;2.399999;1984;651.137300;639.990100;1.463997;1.017403
73;2.433332;1984;651.948600;639.990100;1.492206;1.018669
74;2.466666;1984;652.723900;639.990100;1.519393;1.019881
75;2.499999;1984;653.452100;639.990100;1.545138;1.021019
76;2.533332;1984;654.121900;639.990100;1.569014;1.022064
77;2.566666;1984;654.723500;639.990100;1.595758;1.023004
78;2.599999;1984;655.248000;639.990100;1.619815;1.023824
79;2.633332;1984;655.687800;639.990100;1.639844;1.024511
80;2.666666;1984;656.033000;639.990100;1.655501;1.025051
81;2.699999;1984;656.276900;639.990100;1.666522;1.025433
82;2.733332;1984;656.413000;639.990100;1.672722;1.025646
83;2.766665;1984;656.437400;639.990100;1.674011;1.025683
84;2.799999;1984;656.351400;639.990100;1.670406;1.025548
85;2.833332;1984;656.157100;639.990100;1.662039;1.025245
