method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.004000;1.182427E+001;3;1
XPBD;1;2;0.005425;7.216521E+000;3;2
XPBD;1;4;0.008501;3.674462E+000;3;4
XPBD;1;8;0.014955;1.646800E+000;3;8
XPBD;1;16;0.028823;6.555473E-001;3;16
XPBD;1;32;0.054910;3.633809E-001;3;32
XPBD;2;1;0.007205;4.229335E+000;3;2
XPBD;2;2;0.010997;1.910088E+000;3;4
XPBD;2;4;0.016508;7.039602E-001;3;8
XPBD;2;8;0.031764;2.005978E-001;3;16
XPBD;2;16;0.057416;1.261053E-001;3;32
XPBD;2;32;0.110481;1.250875E-001;3;64
XPBD;4;1;0.014270;1.181423E+000;3;4
XPBD;4;2;0.021303;3.505233E-001;3;8
XPBD;4;4;0.034639;4.597022E-002;3;16
XPBD;4;8;0.062595;5.381302E-003;3;32
XPBD;4;16;0.113588;5.337691E-003;3;64
XPBD;4;32;0.221384;5.340937E-003;3;128
XPBD;8;1;0.028730;3.225130E-001;3;8
XPBD;8;2;0.042404;9.745621E-002;3;16
XPBD;8;4;0.068539;9.150730E-002;3;32
XPBD;8;8;0.122275;9.134072E-002;3;64
XPBD;8;16;0.228919;9.134202E-002;3;128
XPBD;8;32;0.440713;9.134202E-002;3;256
XPBD;16;1;0.057511;1.751572E-001;3;16
XPBD;16;2;0.085936;1.628776E-001;3;32
XPBD;16;4;0.138458;1.625040E-001;3;64
XPBD;16;8;0.243789;1.624999E-001;3;128
XPBD;16;16;0.459108;1.624999E-001;3;256
XPBD;16;32;0.883583;1.624999E-001;3;512
XPBD;32;1;0.115428;2.045824E-001;3;32
XPBD;32;2;0.169993;2.070982E-001;3;64
XPBD;32;4;0.276699;2.077857E-001;3;128
XPBD;32;8;0.489043;2.077857E-001;3;256
XPBD;32;16;0.913004;2.077857E-001;3;512
XPBD;32;32;1.766411;2.077857E-001;3;1024
VBD;1;1;0.007165;6.211690E-001;3;1
VBD;1;2;0.010007;4.165779E-001;3;2
VBD;1;4;0.016947;3.578506E-001;3;4
VBD;1;8;0.029769;3.443119E-001;3;8
VBD;1;16;0.057868;3.425441E-001;3;16
VBD;1;32;0.110301;3.424016E-001;3;32
VBD;2;1;0.013636;2.184758E-001;3;2
VBD;2;2;0.020274;1.438956E-001;3;4
VBD;2;4;0.033279;1.270300E-001;3;8
VBD;2;8;0.060643;1.257025E-001;3;16
VBD;2;16;0.114296;1.257461E-001;3;32
VBD;2;32;0.219646;1.257263E-001;3;64
VBD;4;1;0.026625;6.853461E-002;3;4
VBD;4;2;0.040000;1.206738E-002;3;8
VBD;4;4;0.067532;1.218385E-003;3;16
VBD;4;8;0.119598;4.181418E-004;3;32
VBD;4;16;0.225923;4.437201E-004;3;64
VBD;4;32;0.441073;4.483753E-004;3;128
VBD;8;1;0.053163;8.696352E-002;3;8
VBD;8;2;0.079938;9.081826E-002;3;16
VBD;8;4;0.134012;9.129669E-002;3;32
VBD;8;8;0.239571;9.135725E-002;3;64
VBD;8;16;0.452943;9.135245E-002;3;128
VBD;8;32;0.883587;9.135725E-002;3;256
VBD;16;1;0.106136;1.593203E-001;3;16
VBD;16;2;0.159288;1.618167E-001;3;32
VBD;16;4;0.265428;1.617987E-001;3;64
VBD;16;8;0.486717;1.619410E-001;3;128
VBD;16;16;0.912716;1.617202E-001;3;256
VBD;16;32;1.768414;1.619410E-001;3;512
VBD;32;1;0.214008;2.046060E-001;3;32
VBD;32;2;0.318543;2.072876E-001;3;64
VBD;32;4;0.531581;2.069009E-001;3;128
VBD;32;8;0.979598;2.069009E-001;3;256
VBD;32;16;1.833478;2.069009E-001;3;512
VBD;32;32;3.551541;2.069009E-001;3;1024
