method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.005089;1.348253E+000;3;1
XPBD;1;2;0.007948;7.620134E-001;3;2
XPBD;1;4;0.013653;3.727614E-001;3;4
XPBD;1;8;0.026261;2.671915E-001;3;8
XPBD;1;12;0.039387;2.626249E-001;3;12
XPBD;1;16;0.051857;2.623659E-001;3;16
XPBD;1;24;0.076594;2.623555E-001;3;24
XPBD;1;32;0.101312;2.623556E-001;3;32
XPBD;2;1;0.010528;5.687130E-001;3;2
XPBD;2;2;0.016436;2.362943E-001;3;4
XPBD;2;4;0.029203;1.901334E-001;3;8
XPBD;2;8;0.053860;1.888847E-001;3;16
XPBD;2;12;0.077940;1.888846E-001;3;24
XPBD;2;16;0.103296;1.888846E-001;3;32
XPBD;2;24;0.152867;1.888846E-001;3;48
XPBD;2;32;0.203063;1.888846E-001;3;64
XPBD;4;1;0.020669;2.075857E-001;3;4
XPBD;4;2;0.032612;1.271386E-001;3;8
XPBD;4;4;0.057429;1.254978E-001;3;16
XPBD;4;8;0.107453;1.254940E-001;3;32
XPBD;4;12;0.157282;1.254940E-001;3;48
XPBD;4;16;0.207005;1.254940E-001;3;64
XPBD;4;24;0.305368;1.254940E-001;3;96
XPBD;4;32;0.408128;1.254940E-001;3;128
XPBD;8;1;0.040721;8.942330E-002;3;8
XPBD;8;2;0.065384;7.551036E-002;3;16
XPBD;8;4;0.118528;7.528753E-002;3;32
XPBD;8;8;0.213988;7.528753E-002;3;64
XPBD;8;12;0.317018;7.528753E-002;3;96
XPBD;8;16;0.412798;7.528753E-002;3;128
XPBD;8;24;0.612966;7.528753E-002;3;192
XPBD;8;32;0.810844;7.528753E-002;3;256
XPBD;12;1;0.060078;7.187558E-002;3;12
XPBD;12;2;0.097909;6.368342E-002;3;24
XPBD;12;4;0.172910;6.362233E-002;3;48
XPBD;12;8;0.323272;6.362233E-002;3;96
XPBD;12;12;0.469435;6.362233E-002;3;144
XPBD;12;16;0.620461;6.362233E-002;3;192
XPBD;12;24;0.918121;6.362233E-002;3;288
XPBD;12;32;1.215613;6.362233E-002;3;384
XPBD;16;1;0.080804;7.251792E-002;3;16
XPBD;16;2;0.131787;7.658652E-002;3;32
XPBD;16;4;0.232324;7.657494E-002;3;64
XPBD;16;8;0.432254;7.657494E-002;3;128
XPBD;16;12;0.627165;7.657494E-002;3;192
XPBD;16;16;0.826688;7.657494E-002;3;256
XPBD;16;24;1.222785;7.657494E-002;3;384
XPBD;16;32;1.625094;7.657494E-002;3;512
XPBD;24;1;0.121221;2.745785E-001;3;24
XPBD;24;2;0.196164;2.717779E-001;3;48
XPBD;24;4;0.345435;2.717779E-001;3;96
XPBD;24;8;0.644410;2.717779E-001;3;192
XPBD;24;12;0.941982;2.717779E-001;3;288
XPBD;24;16;1.245588;2.717779E-001;3;384
XPBD;24;24;1.837051;2.717779E-001;3;576
XPBD;24;32;2.433790;2.717779E-001;3;768
XPBD;32;1;0.162135;5.301381E-001;3;32
XPBD;32;2;0.261497;5.288527E-001;3;64
XPBD;32;4;0.460069;5.288527E-001;3;128
XPBD;32;8;0.857823;5.288527E-001;3;256
XPBD;32;12;1.255409;5.288527E-001;3;384
XPBD;32;16;1.651038;5.288527E-001;3;512
XPBD;32;24;2.449375;5.288527E-001;3;768
XPBD;32;32;3.246648;5.288527E-001;3;1024
VBD;1;1;0.008649;2.962510E-001;3;1
VBD;1;2;0.013531;2.681672E-001;3;2
VBD;1;4;0.023077;2.608346E-001;3;4
VBD;1;8;0.042625;2.607774E-001;3;8
VBD;1;12;0.062828;2.607586E-001;3;12
VBD;1;16;0.082013;2.607585E-001;3;16
VBD;1;24;0.121548;2.607666E-001;3;24
VBD;1;32;0.161003;2.607658E-001;3;32
VBD;2;1;0.016345;2.238712E-001;3;2
VBD;2;2;0.026468;1.881454E-001;3;4
VBD;2;4;0.046213;1.879277E-001;3;8
VBD;2;8;0.086122;1.879377E-001;3;16
VBD;2;12;0.125109;1.879373E-001;3;24
VBD;2;16;0.165173;1.879376E-001;3;32
VBD;2;24;0.244784;1.879373E-001;3;48
VBD;2;32;0.321563;1.879388E-001;3;64
VBD;4;1;0.032958;1.335349E-001;3;4
VBD;4;2;0.052832;1.250877E-001;3;8
VBD;4;4;0.092020;1.252046E-001;3;16
VBD;4;8;0.171111;1.252040E-001;3;32
VBD;4;12;0.249938;1.252016E-001;3;48
VBD;4;16;0.328322;1.252041E-001;3;64
VBD;4;24;0.485894;1.252016E-001;3;96
VBD;4;32;0.644832;1.252040E-001;3;128
VBD;8;1;0.065955;7.545007E-002;3;8
VBD;8;2;0.105627;7.471058E-002;3;16
VBD;8;4;0.185631;7.472322E-002;3;32
VBD;8;8;0.341656;7.472322E-002;3;64
VBD;8;12;0.499172;7.472322E-002;3;96
VBD;8;16;0.656534;7.472322E-002;3;128
VBD;8;24;0.971001;7.472322E-002;3;192
VBD;8;32;1.286186;7.472322E-002;3;256
VBD;12;1;0.099135;5.780715E-002;3;12
VBD;12;2;0.158522;5.800515E-002;3;24
VBD;12;4;0.280675;5.800388E-002;3;48
VBD;12;8;0.518590;5.800388E-002;3;96
VBD;12;12;0.749805;5.800388E-002;3;144
VBD;12;16;0.986644;5.800388E-002;3;192
VBD;12;24;1.461343;5.800388E-002;3;288
VBD;12;32;1.947692;5.800388E-002;3;384
VBD;16;1;0.132013;5.563817E-002;3;16
VBD;16;2;0.210897;5.499002E-002;3;32
VBD;16;4;0.368638;5.502410E-002;3;64
VBD;16;8;0.683955;5.502410E-002;3;128
VBD;16;12;0.998481;5.502410E-002;3;192
VBD;16;16;1.316826;5.502410E-002;3;256
VBD;16;24;1.946943;5.502410E-002;3;384
VBD;16;32;2.575747;5.502410E-002;3;512
VBD;24;1;0.198027;1.095271E-001;3;24
VBD;24;2;0.315859;1.096169E-001;3;48
VBD;24;4;0.552692;1.097379E-001;3;96
VBD;24;8;1.031855;1.097379E-001;3;192
VBD;24;12;1.497954;1.097379E-001;3;288
VBD;24;16;1.989473;1.097379E-001;3;384
VBD;24;24;2.917993;1.097379E-001;3;576
VBD;24;32;3.864886;1.097379E-001;3;768
VBD;32;1;0.265638;2.817526E-001;3;32
VBD;32;2;0.421599;2.818127E-001;3;64
VBD;32;4;0.741234;2.827819E-001;3;128
VBD;32;8;1.365380;2.827819E-001;3;256
VBD;32;12;1.997311;2.827819E-001;3;384
VBD;32;16;2.625836;2.827819E-001;3;512
VBD;32;24;3.888563;2.827819E-001;3;768
VBD;32;32;5.143848;2.827819E-001;3;1024
