method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.005589;1.657130E+001;3;1
XPBD;1;2;0.007979;1.269064E+001;3;2
XPBD;1;4;0.014738;8.248942E+000;3;4
XPBD;1;8;0.026079;4.709681E+000;3;8
XPBD;1;12;0.038641;3.347761E+000;3;12
XPBD;1;16;0.050901;2.652065E+000;3;16
XPBD;1;24;0.076714;1.950737E+000;3;24
XPBD;1;32;0.101088;1.589786E+000;3;32
XPBD;2;1;0.009839;8.892466E+000;3;2
XPBD;2;2;0.016283;5.115719E+000;3;4
XPBD;2;4;0.028516;2.800254E+000;3;8
XPBD;2;8;0.054498;1.585658E+000;3;16
XPBD;2;12;0.077488;1.147096E+000;3;24
XPBD;2;16;0.103803;9.002942E-001;3;32
XPBD;2;24;0.153061;6.186664E-001;3;48
XPBD;2;32;0.202366;4.653462E-001;3;64
XPBD;4;1;0.020772;3.354300E+000;3;4
XPBD;4;2;0.032145;1.768005E+000;3;8
XPBD;4;4;0.057860;9.266523E-001;3;16
XPBD;4;8;0.107299;4.351788E-001;3;32
XPBD;4;12;0.156808;2.557250E-001;3;48
XPBD;4;16;0.206636;1.767856E-001;3;64
XPBD;4;24;0.305385;1.255581E-001;3;96
XPBD;4;32;0.404660;1.151551E-001;3;128
XPBD;8;1;0.040631;1.220273E+000;3;8
XPBD;8;2;0.065113;5.337022E-001;3;16
XPBD;8;4;0.115111;1.906970E-001;3;32
XPBD;8;8;0.215144;7.323408E-002;3;64
XPBD;8;12;0.313655;6.483312E-002;3;96
XPBD;8;16;0.412447;6.425890E-002;3;128
XPBD;8;24;0.610718;6.408948E-002;3;192
XPBD;8;32;0.814555;6.400710E-002;3;256
XPBD;12;1;0.060702;6.393832E-001;3;12
XPBD;12;2;0.098173;2.190153E-001;3;24
XPBD;12;4;0.171612;6.450217E-002;3;48
XPBD;12;8;0.321158;4.864841E-002;3;96
XPBD;12;12;0.469573;4.836846E-002;3;144
XPBD;12;16;0.620196;4.816699E-002;3;192
XPBD;12;24;0.915147;4.827686E-002;3;288
XPBD;12;32;1.213476;4.827686E-002;3;384
XPBD;16;1;0.081767;3.979318E-001;3;16
XPBD;16;2;0.131028;1.126787E-001;3;32
XPBD;16;4;0.229512;4.917260E-002;3;64
XPBD;16;8;0.428039;4.648865E-002;3;128
XPBD;16;12;0.627145;4.616105E-002;3;192
XPBD;16;16;0.824113;4.603268E-002;3;256
XPBD;16;24;1.226886;4.603268E-002;3;384
XPBD;16;32;1.617976;4.603268E-002;3;512
XPBD;24;1;0.122016;1.920335E-001;3;24
XPBD;24;2;0.195565;5.559517E-002;3;48
XPBD;24;4;0.344316;4.131257E-002;3;96
XPBD;24;8;0.641456;4.102885E-002;3;192
XPBD;24;12;0.946436;4.102885E-002;3;288
XPBD;24;16;1.236583;4.102885E-002;3;384
XPBD;24;24;1.832163;4.102885E-002;3;576
XPBD;24;32;2.427351;4.102885E-002;3;768
XPBD;32;1;0.162034;1.199002E-001;3;32
XPBD;32;2;0.261678;4.117581E-002;3;64
XPBD;32;4;0.459063;3.583684E-002;3;128
XPBD;32;8;0.862634;4.108263E-002;3;256
XPBD;32;12;1.252203;4.108263E-002;3;384
XPBD;32;16;1.649504;4.108263E-002;3;512
XPBD;32;24;2.455473;4.108263E-002;3;768
XPBD;32;32;3.256091;4.108263E-002;3;1024
VBD;1;1;0.008811;6.063122E-001;3;1
VBD;1;2;0.013397;4.774605E-001;3;2
VBD;1;4;0.023508;4.428023E-001;3;4
VBD;1;8;0.043134;4.350021E-001;3;8
VBD;1;12;0.063054;4.297179E-001;3;12
VBD;1;16;0.084094;4.288641E-001;3;16
VBD;1;24;0.124557;4.282328E-001;3;24
VBD;1;32;0.162128;4.281225E-001;3;32
VBD;2;1;0.016373;2.662451E-001;3;2
VBD;2;2;0.026395;2.359586E-001;3;4
VBD;2;4;0.046484;2.249389E-001;3;8
VBD;2;8;0.086232;2.205578E-001;3;16
VBD;2;12;0.125457;2.194928E-001;3;24
VBD;2;16;0.166299;2.191047E-001;3;32
VBD;2;24;0.244506;2.188987E-001;3;48
VBD;2;32;0.323404;2.188109E-001;3;64
VBD;4;1;0.033433;1.265381E-001;3;4
VBD;4;2;0.052827;1.167441E-001;3;8
VBD;4;4;0.092563;1.129972E-001;3;16
VBD;4;8;0.176363;1.117849E-001;3;32
VBD;4;12;0.251408;1.116356E-001;3;48
VBD;4;16;0.330728;1.114714E-001;3;64
VBD;4;24;0.490188;1.114019E-001;3;96
VBD;4;32;0.647628;1.113636E-001;3;128
VBD;8;1;0.065415;7.182100E-002;3;8
VBD;8;2;0.105075;6.403067E-002;3;16
VBD;8;4;0.184839;6.194474E-002;3;32
VBD;8;8;0.343614;6.155205E-002;3;64
VBD;8;12;0.506792;6.156192E-002;3;96
VBD;8;16;0.668636;6.148846E-002;3;128
VBD;8;24;0.976771;6.150682E-002;3;192
VBD;8;32;1.295877;6.150702E-002;3;256
VBD;12;1;0.098161;5.417999E-002;3;12
VBD;12;2;0.158192;4.813986E-002;3;24
VBD;12;4;0.276666;4.702735E-002;3;48
VBD;12;8;0.519486;4.689889E-002;3;96
VBD;12;12;0.758585;4.688342E-002;3;144
VBD;12;16;0.992602;4.694160E-002;3;192
VBD;12;24;1.467025;4.686097E-002;3;288
VBD;12;32;1.956419;4.689332E-002;3;384
VBD;16;1;0.132681;4.791789E-002;3;16
VBD;16;2;0.211627;4.258393E-002;3;32
VBD;16;4;0.372541;4.206951E-002;3;64
VBD;16;8;0.686755;4.200367E-002;3;128
VBD;16;12;1.013385;4.212115E-002;3;192
VBD;16;16;1.320008;4.206864E-002;3;256
VBD;16;24;1.958117;4.212115E-002;3;384
VBD;16;32;2.589226;4.227300E-002;3;512
VBD;24;1;0.196308;4.410080E-002;3;24
VBD;24;2;0.315839;3.107858E-002;3;48
VBD;24;4;0.554136;3.143681E-002;3;96
VBD;24;8;1.029242;3.161890E-002;3;192
VBD;24;12;1.509298;3.121848E-002;3;288
VBD;24;16;1.980950;3.082474E-002;3;384
