method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.003848;2.042108E+001;3;1
XPBD;1;2;0.005301;1.892528E+001;3;2
XPBD;1;4;0.008554;1.634902E+001;3;4
XPBD;1;8;0.014946;1.247685E+001;3;8
XPBD;1;12;0.021738;9.794938E+000;3;12
XPBD;1;16;0.027880;7.891698E+000;3;16
XPBD;1;24;0.041111;5.477843E+000;3;24
XPBD;1;32;0.053955;4.078222E+000;3;32
XPBD;2;1;0.007782;1.644375E+001;3;2
XPBD;2;2;0.010159;1.266019E+001;3;4
XPBD;2;4;0.016799;8.094025E+000;3;8
XPBD;2;8;0.030253;4.204464E+000;3;16
XPBD;2;12;0.043277;2.660933E+000;3;24
XPBD;2;16;0.056921;1.864280E+000;3;32
XPBD;2;24;0.082577;1.074240E+000;3;48
XPBD;2;32;0.108743;6.967726E-001;3;64
XPBD;4;1;0.014551;8.492135E+000;3;4
XPBD;4;2;0.021423;4.486723E+000;3;8
XPBD;4;4;0.034198;2.016286E+000;3;16
XPBD;4;8;0.059474;7.966464E-001;3;32
XPBD;4;12;0.086732;4.699364E-001;3;48
XPBD;4;16;0.113206;3.710319E-001;3;64
XPBD;4;24;0.165703;3.422193E-001;3;96
XPBD;4;32;0.218208;3.442138E-001;3;128
XPBD;8;1;0.028865;2.526283E+000;3;8
XPBD;8;2;0.041428;1.042930E+000;3;16
XPBD;8;4;0.068251;4.716137E-001;3;32
XPBD;8;8;0.120796;4.035076E-001;3;64
XPBD;8;12;0.174009;4.052455E-001;3;96
XPBD;8;16;0.227588;4.060667E-001;3;128
XPBD;8;24;0.332778;4.059166E-001;3;192
XPBD;8;32;0.438362;4.060508E-001;3;256
XPBD;12;1;0.042456;1.193409E+000;3;12
XPBD;12;2;0.063292;5.257145E-001;3;24
XPBD;12;4;0.101861;4.225718E-001;3;48
XPBD;12;8;0.181780;4.276952E-001;3;96
XPBD;12;12;0.261487;4.271952E-001;3;144
XPBD;12;16;0.340305;4.273233E-001;3;192
XPBD;12;24;0.497841;4.270786E-001;3;288
XPBD;12;32;0.666778;4.270647E-001;3;384
XPBD;16;1;0.056990;7.682730E-001;3;16
XPBD;16;2;0.083794;4.457351E-001;3;32
XPBD;16;4;0.136524;4.316556E-001;3;64
XPBD;16;8;0.242572;4.313043E-001;3;128
XPBD;16;12;0.347100;4.317536E-001;3;192
XPBD;16;16;0.454076;4.317586E-001;3;256
XPBD;16;24;0.664061;4.317586E-001;3;384
XPBD;16;32;0.876625;4.317585E-001;3;512
XPBD;24;1;0.085991;5.186077E-001;3;24
XPBD;24;2;0.125297;4.329458E-001;3;48
XPBD;24;4;0.204576;4.365411E-001;3;96
XPBD;24;8;0.363145;4.382220E-001;3;192
XPBD;24;12;0.520937;4.383775E-001;3;288
XPBD;24;16;0.679673;4.383775E-001;3;384
XPBD;24;24;0.999946;4.383775E-001;3;576
XPBD;24;32;1.311843;4.383775E-001;3;768
XPBD;32;1;0.114781;4.636451E-001;3;32
XPBD;32;2;0.167988;4.490750E-001;3;64
XPBD;32;4;0.272537;4.480384E-001;3;128
XPBD;32;8;0.483722;4.482885E-001;3;256
XPBD;32;12;0.695759;4.482885E-001;3;384
XPBD;32;16;0.906825;4.482885E-001;3;512
XPBD;32;24;1.326447;4.482885E-001;3;768
XPBD;32;32;1.749806;4.482885E-001;3;1024
VBD;1;1;0.007063;4.595562E-001;3;1
VBD;1;2;0.010012;2.090492E-001;3;2
VBD;1;4;0.016804;1.066921E-001;3;4
VBD;1;8;0.030016;6.741909E-002;3;8
VBD;1;12;0.042903;5.223990E-002;3;12
VBD;1;16;0.056319;4.275872E-002;3;16
VBD;1;24;0.083208;3.080209E-002;3;24
VBD;1;32;0.108754;2.352273E-002;3;32
VBD;2;1;0.013244;2.586075E-001;3;2
VBD;2;2;0.019966;2.278580E-001;3;4
VBD;2;4;0.033200;2.211638E-001;3;8
VBD;2;8;0.059414;2.203337E-001;3;16
