method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.004046;2.067018E+001;3;1
XPBD;1;2;0.005318;1.924247E+001;3;2
XPBD;1;4;0.008703;1.675139E+001;3;4
XPBD;1;8;0.015302;1.291740E+001;3;8
XPBD;1;12;0.021734;1.020239E+001;3;12
XPBD;1;16;0.027714;8.252177E+000;3;16
XPBD;1;24;0.041884;5.761347E+000;3;24
XPBD;1;32;0.054392;4.311716E+000;3;32
XPBD;2;1;0.007143;1.684331E+001;3;2
XPBD;2;2;0.010275;1.310339E+001;3;4
XPBD;2;4;0.016814;8.458455E+000;3;8
XPBD;2;8;0.030441;4.431422E+000;3;16
XPBD;2;12;0.044075;2.823287E+000;3;24
XPBD;2;16;0.057123;1.998318E+000;3;32
XPBD;2;24;0.082955;1.180422E+000;3;48
XPBD;2;32;0.109802;7.866058E-001;3;64
XPBD;4;1;0.014864;8.868146E+000;3;4
XPBD;4;2;0.020914;4.720803E+000;3;8
XPBD;4;4;0.033968;2.135844E+000;3;16
XPBD;4;8;0.060471;8.199547E-001;3;32
XPBD;4;12;0.087932;4.151353E-001;3;48
XPBD;4;16;0.113844;2.480431E-001;3;64
XPBD;4;24;0.168428;1.453884E-001;3;96
XPBD;4;32;0.219693;1.271813E-001;3;128
XPBD;8;1;0.028873;2.666755E+000;3;8
XPBD;8;2;0.042423;1.070255E+000;3;16
XPBD;8;4;0.068462;3.205597E-001;3;32
XPBD;8;8;0.120968;8.712753E-002;3;64
XPBD;8;12;0.174183;7.373078E-002;3;96
XPBD;8;16;0.226752;7.278781E-002;3;128
XPBD;8;24;0.332935;7.278825E-002;3;192
XPBD;8;32;0.439338;7.275898E-002;3;256
XPBD;12;1;0.043049;1.233679E+000;3;12
XPBD;12;2;0.063958;3.851922E-001;3;24
XPBD;12;4;0.102198;8.592844E-002;3;48
XPBD;12;8;0.182881;5.799414E-002;3;96
XPBD;12;12;0.261237;5.787046E-002;3;144
XPBD;12;16;0.341668;5.784691E-002;3;192
XPBD;12;24;0.500464;5.791908E-002;3;288
XPBD;12;32;0.657273;5.791908E-002;3;384
XPBD;16;1;0.057061;7.183123E-001;3;16
XPBD;16;2;0.084262;1.779558E-001;3;32
XPBD;16;4;0.136920;5.441468E-002;3;64
XPBD;16;8;0.242725;5.052436E-002;3;128
XPBD;16;12;0.351547;5.057306E-002;3;192
XPBD;16;16;0.456862;5.066187E-002;3;256
XPBD;16;24;0.668628;5.066187E-002;3;384
XPBD;16;32;0.884073;5.066187E-002;3;512
XPBD;24;1;0.087029;3.292406E-001;3;24
XPBD;24;2;0.127108;6.537248E-002;3;48
XPBD;24;4;0.205449;4.054315E-002;3;96
XPBD;24;8;0.364207;4.049299E-002;3;192
XPBD;24;12;0.522553;4.049299E-002;3;288
XPBD;24;16;0.682972;4.049299E-002;3;384
XPBD;24;24;0.999973;4.049299E-002;3;576
XPBD;24;32;1.317376;4.049299E-002;3;768
XPBD;32;1;0.115518;1.956944E-001;3;32
XPBD;32;2;0.168278;4.810472E-002;3;64
XPBD;32;4;0.274664;3.806574E-002;3;128
XPBD;32;8;0.485050;3.814505E-002;3;256
XPBD;32;12;0.697854;3.814505E-002;3;384
XPBD;32;16;0.907552;3.814505E-002;3;512
XPBD;32;24;1.331871;3.814505E-002;3;768
XPBD;32;32;1.753436;3.814505E-002;3;1024
VBD;1;1;0.006872;6.512970E-001;3;1
VBD;1;2;0.010140;4.879405E-001;3;2
VBD;1;4;0.017008;4.437734E-001;3;4
VBD;1;8;0.031013;4.311523E-001;3;8
VBD;1;12;0.044722;4.283266E-001;3;12
VBD;1;16;0.058238;4.272810E-001;3;16
VBD;1;24;0.085928;4.264573E-001;3;24
VBD;1;32;0.112448;4.261960E-001;3;32
VBD;2;1;0.013621;2.751991E-001;3;2
VBD;2;2;0.020733;2.411589E-001;3;4
VBD;2;4;0.034120;2.318984E-001;3;8
VBD;2;8;0.061344;2.284369E-001;3;16
VBD;2;12;0.088186;2.275023E-001;3;24
VBD;2;16;0.115528;2.269951E-001;3;32
VBD;2;24;0.169858;2.265852E-001;3;48
VBD;2;32;0.224509;2.264514E-001;3;64
VBD;4;1;0.026919;1.366023E-001;3;4
VBD;4;2;0.040359;1.285217E-001;3;8
VBD;4;4;0.067772;1.247916E-001;3;16
VBD;4;8;0.121823;1.232814E-001;3;32
VBD;4;12;0.176753;1.231876E-001;3;48
VBD;4;16;0.230806;1.230567E-001;3;64
VBD;4;24;0.340940;1.230522E-001;3;96
VBD;4;32;0.449019;1.230684E-001;3;128
VBD;8;1;0.053221;7.750836E-002;3;8
VBD;8;2;0.080300;7.281948E-002;3;16
VBD;8;4;0.135539;7.204550E-002;3;32
VBD;8;8;0.246426;7.235503E-002;3;64
VBD;8;12;0.352285;7.234972E-002;3;96
VBD;8;16;0.461254;7.235384E-002;3;128
VBD;8;24;0.679442;7.235232E-002;3;192
VBD;8;32;0.902163;7.235513E-002;3;256
VBD;12;1;0.079703;5.775325E-002;3;12
