method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.005142;9.770440E-001;3;1
XPBD;1;2;0.008247;9.687464E-001;3;2
XPBD;1;4;0.014657;9.686797E-001;3;4
XPBD;1;8;0.027339;9.658934E-001;3;8
XPBD;1;12;0.038956;9.625180E-001;3;12
XPBD;1;16;0.051123;9.594724E-001;3;16
XPBD;1;24;0.076647;9.547378E-001;3;24
XPBD;1;32;0.101485;9.513800E-001;3;32
XPBD;2;1;0.010147;6.096185E-001;3;2
XPBD;2;2;0.016483;6.032654E-001;3;4
XPBD;2;4;0.029070;5.923413E-001;3;8
XPBD;2;8;0.053508;5.772214E-001;3;16
XPBD;2;12;0.078276;5.687174E-001;3;24
XPBD;2;16;0.102996;5.637888E-001;3;32
XPBD;2;24;0.153608;5.589736E-001;3;48
XPBD;2;32;0.202719;5.570825E-001;3;64
XPBD;4;1;0.019393;3.817573E-001;3;4
XPBD;4;2;0.033093;3.519019E-001;3;8
XPBD;4;4;0.057767;3.238946E-001;3;16
XPBD;4;8;0.108965;3.093283E-001;3;32
XPBD;4;12;0.156961;3.064282E-001;3;48
XPBD;4;16;0.207673;3.057282E-001;3;64
XPBD;4;24;0.307991;3.051917E-001;3;96
XPBD;4;32;0.405666;3.052008E-001;3;128
XPBD;8;1;0.040775;2.094018E-001;3;8
XPBD;8;2;0.065841;1.718679E-001;3;16
XPBD;8;4;0.114113;1.597914E-001;3;32
XPBD;8;8;0.215098;1.573384E-001;3;64
XPBD;8;12;0.313821;1.573665E-001;3;96
XPBD;8;16;0.414197;1.566888E-001;3;128
XPBD;8;24;0.613913;1.567752E-001;3;192
XPBD;8;32;0.811441;1.568515E-001;3;256
XPBD;12;1;0.061184;1.311064E-001;3;12
XPBD;12;2;0.098013;1.081058E-001;3;24
XPBD;12;4;0.172288;1.034220E-001;3;48
XPBD;12;8;0.322239;1.024498E-001;3;96
XPBD;12;12;0.473246;1.025233E-001;3;144
XPBD;12;16;0.622517;1.026132E-001;3;192
XPBD;12;24;0.924238;1.026007E-001;3;288
XPBD;12;32;1.223544;1.026406E-001;3;384
XPBD;16;1;0.081146;9.089329E-002;3;16
XPBD;16;2;0.130891;7.626790E-002;3;32
XPBD;16;4;0.229819;7.343081E-002;3;64
XPBD;16;8;0.428663;7.448424E-002;3;128
XPBD;16;12;0.628545;7.401741E-002;3;192
XPBD;16;16;0.828173;7.415686E-002;3;256
XPBD;16;24;1.227720;7.410293E-002;3;384
XPBD;16;32;1.624735;7.440382E-002;3;512
XPBD;24;1;0.121553;5.102014E-002;3;24
XPBD;24;2;0.196512;4.612303E-002;3;48
XPBD;24;4;0.344820;4.722218E-002;3;96
XPBD;24;8;0.645008;4.661156E-002;3;192
XPBD;24;12;0.956633;4.699007E-002;3;288
XPBD;24;16;1.272022;4.699007E-002;3;384
XPBD;24;24;1.843425;4.699007E-002;3;576
XPBD;24;32;2.435918;4.699007E-002;3;768
XPBD;32;1;0.161088;3.304543E-002;3;32
XPBD;32;2;0.265018;2.856595E-002;3;64
XPBD;32;4;0.460596;3.136720E-002;3;128
XPBD;32;8;0.864627;3.154971E-002;3;256
XPBD;32;12;1.256502;3.152899E-002;3;384
XPBD;32;16;1.655567;3.152899E-002;3;512
XPBD;32;24;2.454984;3.152899E-002;3;768
XPBD;32;32;3.304248;3.152899E-002;3;1024
VBD;1;1;0.010903;2.912709E+000;3;1
VBD;1;2;0.014068;2.276028E+000;3;2
VBD;1;4;0.024287;1.979618E+000;3;4
VBD;1;8;0.044526;1.828167E+000;3;8
VBD;1;12;0.065079;1.712932E+000;3;12
VBD;1;16;0.085888;1.631010E+000;3;16
VBD;1;24;0.127868;1.507789E+000;3;24
VBD;1;32;0.170460;1.371345E+000;3;32
VBD;2;1;0.016992;2.047054E+000;3;2
VBD;2;2;0.026998;1.803631E+000;3;4
VBD;2;4;0.047770;1.571821E+000;3;8
VBD;2;8;0.089765;1.366843E+000;3;16
VBD;2;12;0.129866;1.087942E+000;3;24
VBD;2;16;0.172383;9.157753E-001;3;32
VBD;2;24;0.253978;7.151167E-001;3;48
VBD;2;32;0.335797;6.216283E-001;3;64
VBD;4;1;0.033771;1.603262E+000;3;4
VBD;4;2;0.054757;1.460118E+000;3;8
VBD;4;4;0.095763;9.558294E-001;3;16
VBD;4;8;0.178083;5.258897E-001;3;32
VBD;4;12;0.260508;3.576892E-001;3;48
VBD;4;16;0.342451;3.107650E-001;3;64
VBD;4;24;0.507929;3.025543E-001;3;96
VBD;4;32;0.679193;3.042621E-001;3;128
VBD;8;1;0.068694;1.150913E+000;3;8
VBD;8;2;0.108938;6.594537E-001;3;16
VBD;8;4;0.193403;2.556016E-001;3;32
VBD;8;8;0.355573;1.543513E-001;3;64
VBD;8;12;0.519073;1.559059E-001;3;96
VBD;8;16;0.683987;1.564454E-001;3;128
VBD;8;24;1.026613;1.563106E-001;3;192
VBD;8;32;1.342447;1.566227E-001;3;256
VBD;12;1;0.101363;7.472677E-001;3;12
VBD;12;2;0.165189;2.991409E-001;3;24
VBD;12;4;0.286618;1.040393E-001;3;48
VBD;12;8;0.533043;1.025575E-001;3;96
VBD;12;12;0.780029;1.022847E-001;3;144
VBD;12;16;1.026331;1.021427E-001;3;192
VBD;12;24;1.523066;1.022656E-001;3;288
VBD;12;32;2.013758;1.017708E-001;3;384
VBD;16;1;0.134712;5.154806E-001;3;16
VBD;16;2;0.217693;1.443424E-001;3;32
VBD;16;4;0.386648;7.274158E-002;3;64
VBD;16;8;0.711032;7.326148E-002;3;128
VBD;16;12;1.039058;7.409325E-002;3;192
VBD;16;16;1.368543;7.379267E-002;3;256
VBD;16;24;2.029008;7.407235E-002;3;384
VBD;16;32;2.684709;7.386527E-002;3;512
VBD;24;1;0.202103;2.718444E-001;3;24
VBD;24;2;0.328975;5.218801E-002;3;48
VBD;24;4;0.574827;4.250718E-002;3;96
VBD;24;8;1.076777;4.352017E-002;3;192
VBD;24;12;1.565488;4.280898E-002;3;288
VBD;24;16;2.095406;4.247302E-002;3;384
VBD;24;24;3.049653;4.277842E-002;3;576
VBD;24;32;4.070771;4.358410E-002;3;768
VBD;32;1;0.272838;1.656446E-001;3;32
VBD;32;2;0.436698;2.877756E-002;3;64
VBD;32;4;0.765924;2.829791E-002;3;128
VBD;32;8;1.425501;2.847873E-002;3;256
VBD;32;12;2.086418;2.883563E-002;3;384
VBD;32;16;2.785631;2.777853E-002;3;512
VBD;32;24;4.068753;2.883423E-002;3;768
VBD;32;32;5.416931;2.847873E-002;3;1024
