method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.004168;2.083013E+001;3;1
XPBD;1;2;0.005317;1.933296E+001;3;2
XPBD;1;4;0.008826;1.675326E+001;3;4
XPBD;1;8;0.015240;1.287188E+001;3;8
XPBD;1;12;0.021557;1.017848E+001;3;12
XPBD;1;16;0.028412;8.262445E+000;3;16
XPBD;1;24;0.041502;5.822421E+000;3;24
XPBD;1;32;0.055132;4.399354E+000;3;32
XPBD;2;1;0.007251;1.684844E+001;3;2
XPBD;2;2;0.010856;1.305595E+001;3;4
XPBD;2;4;0.016784;8.465510E+000;3;8
XPBD;2;8;0.030599;4.521797E+000;3;16
XPBD;2;12;0.043765;2.933727E+000;3;24
XPBD;2;16;0.056682;2.100350E+000;3;32
XPBD;2;24;0.082957;1.251849E+000;3;48
XPBD;2;32;0.109833;8.355544E-001;3;64
XPBD;4;1;0.014453;8.866744E+000;3;4
XPBD;4;2;0.020832;4.807731E+000;3;8
XPBD;4;4;0.034427;2.246257E+000;3;16
XPBD;4;8;0.061711;8.853384E-001;3;32
XPBD;4;12;0.087693;4.521708E-001;3;48
XPBD;4;16;0.114353;2.696797E-001;3;64
XPBD;4;24;0.166787;1.688865E-001;3;96
XPBD;4;32;0.218796;1.567215E-001;3;128
XPBD;8;1;0.028999;2.781336E+000;3;8
XPBD;8;2;0.042643;1.153751E+000;3;16
XPBD;8;4;0.068685;3.600401E-001;3;32
XPBD;8;8;0.122048;1.165519E-001;3;64
XPBD;8;12;0.173842;1.083423E-001;3;96
XPBD;8;16;0.228045;1.080447E-001;3;128
XPBD;8;24;0.332601;1.079437E-001;3;192
XPBD;8;32;0.437277;1.074639E-001;3;256
XPBD;12;1;0.043877;1.325025E+000;3;12
XPBD;12;2;0.064007;4.335405E-001;3;24
XPBD;12;4;0.103093;1.093682E-001;3;48
XPBD;12;8;0.181771;8.879198E-002;3;96
XPBD;12;12;0.261159;8.808684E-002;3;144
XPBD;12;16;0.340485;8.704544E-002;3;192
XPBD;12;24;0.497720;8.827739E-002;3;288
XPBD;12;32;0.655911;8.828584E-002;3;384
XPBD;16;1;0.057361;7.949437E-001;3;16
