frame;time;kinetic;gravitational;elastic;total
1;0.041667;83.850570;-267.008800;7.093262;-176.065000
2;0.083333;329.217200;-601.409200;56.185480;-216.006500
3;0.125000;721.231400;-1095.298000;205.009800;-169.056500
4;0.166667;1236.401000;-1740.408000;532.531700;28.524540
5;0.208333;1840.833000;-2525.195000;1139.705000;455.343900
6;0.250000;2488.665000;-3434.529000;2145.335000;1199.471000
7;0.291667;3123.350000;-4449.194000;3670.849000;2345.005000
8;0.333333;3682.210000;-5545.701000;5822.734000;3959.243000
9;0.375000;4101.125000;-6696.250000;8685.860000;6090.735000
10;0.416667;4330.115000;-7871.118000;12327.310000;8786.308000
11;0.458333;4335.584000;-9040.857000;16772.630000;12067.360000
12;0.500000;4109.221000;-10178.070000;21949.490000;15880.640000
13;0.541667;3758.538000;-11267.260000;27711.380000;20202.660000
14;0.583333;3381.279000;-12302.360000;33916.090000;24995.020000
15;0.625000;2987.917000;-13277.760000;40412.910000;30123.070000
16;0.666667;2588.443000;-14188.070000;47048.280000;35448.650000
17;0.708333;2192.346000;-15028.400000;53666.790000;40830.740000
18;0.750000;1808.649000;-15794.140000;60111.270000;46125.770000
19;0.791667;1445.833000;-16480.970000;66223.380000;51188.240000
20;0.833333;1111.635000;-17085.150000;71850.820000;55877.300000
21;0.875000;812.909300;-17603.080000;76852.230000;60062.050000
22;0.916667;555.464000;-18031.720000;81103.090000;63626.830000
23;0.958334;344.082200;-18368.490000;84499.230000;66474.820000
24;1.000000;182.608400;-18611.220000;86959.130000;68530.510000
25;1.041667;73.979320;-18758.410000;88425.090000;69740.660000
26;1.083333;20.126090;-18809.140000;88863.660000;70074.640000
27;1.125000;21.790500;-18763.250000;88267.730000;69526.270000
28;1.166667;78.291210;-18621.440000;86656.810000;68113.660000
29;1.208333;187.333200;-18385.080000;84077.010000;65879.260000
30;1.250000;344.925600;-18056.530000;80602.110000;62890.500000
31;1.291667;545.460800;-17638.750000;76329.050000;59235.760000
32;1.333333;781.926300;-17135.650000;71376.740000;55023.020000
33;1.375000;1046.228000;-16551.660000;65880.480000;50375.050000
34;1.416666;1329.591000;-15891.930000;59986.080000;45423.740000
35;1.458333;1622.987000;-15161.960000;53844.710000;40305.740000
36;1.500000;1917.572000;-14367.770000;47605.960000;35155.750000
37;1.541666;2205.053000;-13515.640000;41412.760000;30102.180000
38;1.583333;2477.987000;-12612.000000;35395.970000;25261.950000
39;1.625000;2730.015000;-11663.390000;29670.490000;20737.110000
40;1.666666;2955.956000;-10676.410000;24332.650000;16612.190000
41;1.708333;3151.895000;-9657.452000;19458.650000;12953.100000
42;1.749999;3315.094000;-8612.825000;15104.330000;9806.596000
43;1.791666;3443.963000;-7548.524000;11305.600000;7201.042000
44;1.833333;3537.859000;-6470.388000;8080.368000;5147.839000
45;1.874999;3594.566000;-5384.259000;5430.457000;3640.764000
46;1.916666;3610.744000;-4296.459000;3343.599000;2657.884000
47;1.958333;3583.541000;-3213.851000;1795.767000;2165.457000
48;1.999999;3510.402000;-2143.715000;754.259800;2120.947000
49;2.041666;3383.114000;-1094.637000;180.421200;2468.897000
50;2.083333;3185.351000;-77.763730;27.474160;3135.061000
51;2.124999;2907.739000;893.689800;232.966700;4034.396000
52;2.166666;2550.811000;1804.886000;713.972000;5069.669000
53;2.208333;2127.026000;2639.577000;1369.881000;6136.484000
54;2.250000;1661.168000;3380.678000;2094.461000;7136.307000
55;2.291666;1188.048000;4010.447000;2793.040000;7991.535000
56;2.333333;756.636600;4513.558000;3401.767000;8671.961000
57;2.375000;406.067900;4878.283000;3875.310000;9159.660000
58;2.416667;158.731900;5093.267000;4154.620000;9406.618000
59;2.458333;40.784030;5147.970000;4191.870000;9380.624000
60;2.500000;79.620790;5034.508000;3996.639000;9110.769000
61;2.541667;289.922700;4749.678000;3621.954000;8661.555000
62;2.583333;673.355600;4290.591000;3117.221000;8081.167000
63;2.625000;1235.815000;3654.203000;2496.660000;7386.678000
64;2.666667;1976.696000;2841.350000;1741.084000;6559.130000
65;2.708334;2877.062000;1856.758000;912.900200;5646.720000
66;2.750000;3899.115000;708.766600;275.879700;4883.762000
67;2.791667;4998.867000;-591.372400;138.860500;4546.355000
68;2.833334;6126.367000;-2029.223000;770.100300;4867.244000
69;2.875001;7212.822000;-3586.232000;2449.251000;6075.840000
70;2.916667;8158.068000;-5237.471000;5439.878000;8360.475000
71;2.958334;8856.017000;-6951.784000;9925.461000;11829.690000
72;3.000001;9232.575000;-8694.292000;15975.610000;16513.890000
73;3.041668;9307.778000;-10434.260000;23611.030000;22484.550000
74;3.083334;9100.632000;-12144.840000;32849.910000;29805.710000
75;3.125001;8598.910000;-13799.730000;43642.050000;38441.230000
76;3.166668;7846.553000;-15376.300000;55785.800000;48256.050000
77;3.208335;6985.339000;-16861.410000;68963.090000;59087.020000
78;3.250001;6089.390000;-18246.100000;82824.200000;70667.480000
79;3.291668;5184.353000;-19522.530000;97003.410000;82665.230000
80;3.333335;4294.813000;-20683.550000;111123.900000;94735.130000
81;3.375002;3444.073000;-21723.290000;124801.500000;106522.200000
82;3.416668;2653.702000;-22636.610000;137649.700000;117666.800000
83;3.458335;1943.038000;-23419.470000;149290.600000;127814.100000
84;3.500002;1328.469000;-24068.680000;159370.900000;136630.700000
85;3.541669;822.884200;-24581.650000;167581.500000;143822.700000
86;3.583335;435.469600;-24956.650000;173675.000000;149153.800000
87;3.625002;171.858300;-25192.380000;177478.000000;152457.500000
88;3.666669;34.355020;-25288.270000;178898.600000;153644.700000
89;3.708336;22.199070;-25244.350000;177927.500000;152705.300000
90;3.750002;131.789400;-25061.430000;174631.800000;149702.200000
91;3.791669;356.817700;-24741.140000;169148.300000;144764.000000
92;3.833336;688.318500;-24286.130000;161669.800000;138071.900000
93;3.875003;1114.663000;-23699.990000;152439.500000;129854.200000
94;3.916669;1621.609000;-22987.460000;141738.300000;120372.400000
95;3.958336;2192.458000;-22154.220000;129878.700000;109917.000000
96;4.000003;2808.479000;-21207.240000;117193.300000;98794.520000
97;4.041669;3449.677000;-20154.200000;104024.200000;87319.710000
98;4.083336;4095.792000;-19003.800000;90713.050000;75805.050000
99;4.125002;4727.148000;-17765.350000;77587.450000;64549.250000
100;4.166669;5325.507000;-16448.560000;64949.600000;53826.540000
101;4.208335;5874.865000;-15063.680000;53067.280000;43878.470000
102;4.250002;6362.041000;-13620.900000;42164.460000;34905.600000
103;4.291668;6777.090000;-12130.470000;32415.120000;27061.740000
104;4.333335;7113.526000;-10602.430000;23940.210000;20451.300000
105;4.375001;7368.214000;-9046.448000;16806.300000;15128.060000
106;4.416668;7541.313000;-7471.543000;11027.910000;11097.680000
107;4.458334;7635.854000;-5886.188000;6572.682000;8322.349000
108;4.500001;7648.221000;-4299.003000;3368.113000;6717.331000
109;4.541667;7563.428000;-2720.396000;1308.014000;6151.046000
110;4.583334;7363.213000;-1163.016000;261.520800;6461.718000
111;4.625000;7025.501000;357.586900;88.637210;7471.726000
112;4.666667;6533.311000;1823.099000;652.814800;9009.225000
113;4.708333;5882.010000;3213.076000;1820.588000;10915.670000
114;4.750000;5081.828000;4505.406000;3427.736000;13014.970000
115;4.791667;4173.183000;5678.716000;5105.190000;14957.090000
116;4.833333;3224.387000;6714.085000;6405.822000;16344.290000
117;4.875000;2356.129000;7602.738000;7407.512000;17366.380000
118;4.916666;1634.190000;8343.259000;8119.253000;18096.700000
119;4.958333;1091.587000;8939.065000;7938.658000;17969.310000
120;4.999999;651.228300;9386.713000;7590.871000;17628.810000
121;5.041666;357.294800;9686.717000;7578.614000;17622.630000
122;5.083332;189.761500;9837.733000;7577.049000;17604.540000
123;5.124999;137.469400;9834.638000;7503.156000;17475.260000
124;5.166665;211.164700;9672.389000;7312.404000;17195.960000
125;5.208332;423.454600;9349.181000;6997.160000;16769.790000
126;5.249998;774.774000;8865.771000;6574.173000;16214.720000
127;5.291665;1257.885000;8225.692000;6040.615000;15524.190000
128;5.333331;1861.996000;7435.992000;5369.956000;14667.940000
129;5.374998;2571.444000;6506.456000;4632.918000;13710.820000
130;5.416664;3371.301000;5444.224000;4049.780000;12865.300000
131;5.458331;4216.833000;4256.857000;3767.118000;12240.810000
132;5.499997;5126.317000;2944.472000;3179.949000;11250.740000
133;5.541664;6104.766000;1509.674000;1758.301000;9372.741000
134;5.583330;7063.959000;-33.624900;655.272800;7685.607000
135;5.624997;7961.487000;-1669.316000;1109.816000;7401.987000
136;5.666663;8761.474000;-3381.205000;3309.601000;8689.870000
137;5.708330;9420.018000;-5150.768000;7085.256000;11354.510000
138;5.749996;9968.361000;-6962.081000;12159.400000;15165.680000
139;5.791663;10423.420000;-8801.210000;18524.870000;20147.070000
140;5.833329;10681.010000;-10648.160000;26490.860000;26523.710000
141;5.874996;10620.860000;-12476.600000;36411.640000;34555.890000
142;5.916662;10172.680000;-14256.250000;48318.260000;44234.690000
143;5.958329;9453.863000;-15964.500000;61930.640000;55420.010000
144;5.999995;8571.945000;-17585.470000;76913.290000;67899.770000
145;6.041662;7564.527000;-19105.150000;92952.500000;81411.880000
146;6.083328;6469.910000;-20510.510000;109642.100000;95601.510000
147;6.124995;5379.820000;-21792.620000;126503.900000;110091.100000
148;6.166661;4329.933000;-22943.710000;142996.400000;124382.600000
149;6.208328;3357.331000;-23958.410000;158569.900000;137968.800000
150;6.249994;2486.464000;-24832.530000;172734.600000;150388.600000
