method;numParticles;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;10;1;1;0.004700;3.874485E-002;1
XPBD;10;1;2;0.005990;3.358725E-002;1
XPBD;10;1;4;0.009410;2.827377E-002;1
XPBD;10;1;8;0.015900;2.501431E-002;1
XPBD;10;1;16;0.029160;2.416839E-002;1
XPBD;10;2;1;0.009410;2.085427E-002;1
XPBD;10;2;2;0.011900;1.401574E-002;1
XPBD;10;2;4;0.020590;1.018148E-002;1
XPBD;10;2;8;0.043850;9.172597E-003;1
XPBD;10;2;16;0.069070;9.067072E-003;1
XPBD;10;4;1;0.015120;6.662415E-003;1
XPBD;10;4;2;0.022690;3.324047E-003;1
XPBD;10;4;4;0.035200;1.970400E-003;1
XPBD;10;4;8;0.061140;1.574500E-003;1
XPBD;10;4;16;0.114260;1.513099E-003;1
XPBD;10;8;1;0.034740;3.016657E-003;1
XPBD;10;8;2;0.049340;2.525519E-003;1
XPBD;10;8;4;0.068960;2.367088E-003;1
XPBD;10;8;8;0.126000;2.317209E-003;1
XPBD;10;8;16;0.227100;2.303348E-003;1
XPBD;10;16;1;0.058730;4.285173E-003;1
XPBD;10;16;2;0.084790;4.233885E-003;1
XPBD;10;16;4;0.138310;4.216334E-003;1
XPBD;10;16;8;0.244390;4.209573E-003;1
XPBD;10;16;16;0.455760;4.240620E-003;1
VBD;10;1;1;0.007270;9.302799E-002;1
VBD;10;1;2;0.010180;9.576229E-002;1
VBD;10;1;4;0.016220;9.134613E-002;1
VBD;10;1;8;0.030310;8.065845E-002;1
VBD;10;1;16;0.058840;6.728084E-002;1
VBD;10;2;1;0.013280;9.150506E-002;1
VBD;10;2;2;0.019450;8.298545E-002;1
VBD;10;2;4;0.033730;6.960264E-002;1
VBD;10;2;8;0.059930;5.546980E-002;1
VBD;10;2;16;0.114750;4.181116E-002;1
VBD;10;4;1;0.026770;7.151451E-002;1
VBD;10;4;2;0.040280;5.769003E-002;1
VBD;10;4;4;0.068380;4.421591E-002;1
VBD;10;4;8;0.116580;3.137948E-002;1
VBD;10;4;16;0.228310;1.964212E-002;1
VBD;10;8;1;0.050590;4.619417E-002;1
VBD;10;8;2;0.082870;3.380526E-002;1
VBD;10;8;4;0.132860;2.248673E-002;1
VBD;10;8;8;0.274420;1.277935E-002;1
VBD;10;8;16;0.451590;5.876831E-003;1
VBD;10;16;1;0.102670;2.500954E-002;1
VBD;10;16;2;0.162710;1.551585E-002;1
VBD;10;16;4;0.308290;8.443276E-003;1
VBD;10;16;8;0.474330;4.976371E-003;1
VBD;10;16;16;0.939060;4.330625E-003;1
