method;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;1;1;0.005038;9.879859E-001;3
XPBD;1;2;0.008043;9.659960E-001;3
XPBD;1;4;0.013935;9.666285E-001;3
XPBD;1;8;0.027191;9.702313E-001;3
XPBD;1;12;0.038913;9.723601E-001;3
XPBD;1;16;0.051866;9.735542E-001;3
XPBD;1;24;0.076364;9.746564E-001;3
XPBD;1;32;0.103163;9.750308E-001;3
XPBD;2;1;0.009879;5.940300E-001;3
XPBD;2;2;0.016098;5.936040E-001;3
XPBD;2;4;0.028594;5.970574E-001;3
XPBD;2;8;0.053008;5.999377E-001;3
XPBD;2;12;0.078558;6.005199E-001;3
XPBD;2;16;0.103800;6.006489E-001;3
XPBD;2;24;0.153058;6.007439E-001;3
XPBD;2;32;0.202925;6.007127E-001;3
XPBD;4;1;0.020513;3.495125E-001;3
XPBD;4;2;0.032713;3.474912E-001;3
XPBD;4;4;0.057563;3.486205E-001;3
XPBD;4;8;0.107638;3.492436E-001;3
XPBD;4;12;0.157148;3.492530E-001;3
XPBD;4;16;0.206675;3.491967E-001;3
XPBD;4;24;0.306708;3.492781E-001;3
XPBD;4;32;0.406930;3.491967E-001;3
XPBD;8;1;0.040777;1.896475E-001;3
XPBD;8;2;0.065698;1.895748E-001;3
XPBD;8;4;0.115897;1.897393E-001;3
XPBD;8;8;0.214877;1.896922E-001;3
XPBD;8;12;0.313944;1.896922E-001;3
XPBD;8;16;0.413385;1.896922E-001;3
XPBD;8;24;0.612220;1.896922E-001;3
XPBD;8;32;0.812831;1.896922E-001;3
XPBD;12;1;0.060997;1.230617E-001;3
XPBD;12;2;0.099300;1.223235E-001;3
XPBD;12;4;0.173320;1.219770E-001;3
XPBD;12;8;0.322003;1.220463E-001;3
XPBD;12;12;0.475338;1.220463E-001;3
XPBD;12;16;0.620592;1.220463E-001;3
XPBD;12;24;0.922008;1.220463E-001;3
XPBD;12;32;1.223088;1.220463E-001;3
XPBD;16;1;0.081387;8.587999E-002;3
XPBD;16;2;0.131227;8.531212E-002;3
XPBD;16;4;0.230888;8.565041E-002;3
XPBD;16;8;0.429770;8.567769E-002;3
XPBD;16;12;0.628209;8.567769E-002;3
XPBD;16;16;0.830830;8.567769E-002;3
XPBD;16;24;1.224349;8.567769E-002;3
XPBD;16;32;1.621324;8.567769E-002;3
XPBD;24;1;0.121428;4.603297E-002;3
XPBD;24;2;0.196743;4.658680E-002;3
XPBD;24;4;0.345408;4.635720E-002;3
XPBD;24;8;0.655979;4.635720E-002;3
XPBD;24;12;0.941543;4.635720E-002;3
XPBD;24;16;1.240438;4.635720E-002;3
XPBD;24;24;1.836015;4.635720E-002;3
XPBD;24;32;2.453380;4.635720E-002;3
XPBD;32;1;0.162079;2.441800E-002;3
XPBD;32;2;0.261823;2.572972E-002;3
XPBD;32;4;0.462558;2.575971E-002;3
XPBD;32;8;0.857688;2.575971E-002;3
XPBD;32;12;1.274651;2.575971E-002;3
XPBD;32;16;1.662428;2.575971E-002;3
XPBD;32;24;2.449167;2.575971E-002;3
XPBD;32;32;3.247809;2.575971E-002;3
VBD;1;1;0.008218;2.230716E+000;3
VBD;1;2;0.013413;1.807551E+000;3
VBD;1;4;0.023476;1.503927E+000;3
VBD;1;8;0.043159;1.181840E+000;3
VBD;1;12;0.063285;1.055465E+000;3
VBD;1;16;0.083529;1.004785E+000;3
VBD;1;24;0.123277;9.784720E-001;3
VBD;1;32;0.163543;9.754369E-001;3
VBD;2;1;0.016293;1.538209E+000;3
VBD;2;2;0.026448;1.106863E+000;3
VBD;2;4;0.046740;7.465550E-001;3
VBD;2;8;0.086776;6.053136E-001;3
VBD;2;12;0.127741;6.000968E-001;3
VBD;2;16;0.167026;6.007658E-001;3
VBD;2;24;0.246744;6.010848E-001;3
VBD;2;32;0.327048;6.011039E-001;3
VBD;4;1;0.033174;8.412671E-001;3
VBD;4;2;0.053519;4.526839E-001;3
VBD;4;4;0.093178;3.487954E-001;3
VBD;4;8;0.172700;3.497544E-001;3
VBD;4;12;0.252596;3.498031E-001;3
VBD;4;16;0.333208;3.497991E-001;3
VBD;4;24;0.491759;3.497811E-001;3
VBD;4;32;0.656044;3.497582E-001;3
VBD;8;1;0.065952;3.323859E-001;3
VBD;8;2;0.106134;1.920385E-001;3
VBD;8;4;0.186055;1.903339E-001;3
VBD;8;8;0.347620;1.903436E-001;3
VBD;8;12;0.505056;1.904575E-001;3
VBD;8;16;0.663581;1.905309E-001;3
VBD;8;24;0.982963;1.904575E-001;3
VBD;8;32;1.303979;1.903436E-001;3
VBD;12;1;0.099543;1.764603E-001;3
VBD;12;2;0.158863;1.226364E-001;3
VBD;12;4;0.278395;1.232887E-001;3
VBD;12;8;0.517808;1.232386E-001;3
VBD;12;12;0.762673;1.231060E-001;3
