method;substeps;iterations;medianMsPerStep;rmsError;repeats
XPBD;1;1;0.005445;9.879859E-001;3
XPBD;1;2;0.008633;9.659960E-001;3
XPBD;1;4;0.013963;9.666285E-001;3
XPBD;1;8;0.026730;9.702313E-001;3
XPBD;1;12;0.039834;9.723601E-001;3
XPBD;1;16;0.051347;9.735542E-001;3
XPBD;1;24;0.076618;9.746564E-001;3
XPBD;2;1;0.009875;5.940300E-001;3
XPBD;2;2;0.015723;5.936040E-001;3
XPBD;2;4;0.029087;5.970574E-001;3
XPBD;2;8;0.053882;5.999377E-001;3
XPBD;2;12;0.078918;6.005199E-001;3
XPBD;2;16;0.103493;6.006489E-001;3
XPBD;2;24;0.153549;6.007439E-001;3
XPBD;4;1;0.020536;3.495125E-001;3
XPBD;4;2;0.033034;3.474912E-001;3
XPBD;4;4;0.058135;3.486205E-001;3
XPBD;4;8;0.107712;3.492436E-001;3
XPBD;4;12;0.157240;3.492530E-001;3
XPBD;4;16;0.207168;3.491967E-001;3
XPBD;4;24;0.306930;3.492781E-001;3
XPBD;8;1;0.040159;1.896475E-001;3
XPBD;8;2;0.065822;1.895748E-001;3
XPBD;8;4;0.115437;1.897393E-001;3
XPBD;8;8;0.215348;1.896922E-001;3
XPBD;8;12;0.314405;1.896922E-001;3
XPBD;8;16;0.413377;1.896922E-001;3
XPBD;8;24;0.612088;1.896922E-001;3
XPBD;12;1;0.061132;1.230617E-001;3
XPBD;12;2;0.098088;1.223235E-001;3
XPBD;12;4;0.173056;1.219770E-001;3
XPBD;12;8;0.322527;1.220463E-001;3
XPBD;12;12;0.471183;1.220463E-001;3
XPBD;12;16;0.624263;1.220463E-001;3
XPBD;12;24;0.925989;1.220463E-001;3
XPBD;16;1;0.080857;8.587999E-002;3
XPBD;16;2;0.131097;8.531212E-002;3
XPBD;16;4;0.230458;8.565041E-002;3
XPBD;16;8;0.429228;8.567769E-002;3
XPBD;16;12;0.632710;8.567769E-002;3
XPBD;16;16;0.826413;8.567769E-002;3
XPBD;16;24;1.235260;8.567769E-002;3
XPBD;24;1;0.122604;4.603297E-002;3
XPBD;24;2;0.196527;4.658680E-002;3
XPBD;24;4;0.345458;4.635720E-002;3
XPBD;24;8;0.643527;4.635720E-002;3
XPBD;24;12;0.941843;4.635720E-002;3
XPBD;24;16;1.238903;4.635720E-002;3
XPBD;24;24;1.835718;4.635720E-002;3
VBD;1;1;0.008700;2.230716E+000;3
VBD;1;2;0.014508;NaN;3
VBD;1;4;0.026397;6.731681E+000;3
VBD;1;8;0.050014;1.202599E+000;3
VBD;1;12;0.072373;1.039999E+000;3
VBD;1;16;0.096391;9.076953E-001;3
VBD;1;24;0.142173;9.606652E-001;3
VBD;2;1;0.017019;1.538209E+000;3
VBD;2;2;0.028400;NaN;3
VBD;2;4;0.052710;8.784711E+000;3
VBD;2;8;0.098688;3.237540E-001;3
VBD;2;12;0.145195;5.345585E-001;3
VBD;2;16;0.191401;5.695509E-001;3
VBD;2;24;0.283711;5.974748E-001;3
VBD;4;1;0.034028;8.412671E-001;3
VBD;4;2;0.057780;1.658817E+000;3
VBD;4;4;0.105246;4.337408E+000;3
VBD;4;8;0.196132;5.991650E-001;3
VBD;4;12;0.289238;2.598774E-001;3
VBD;4;16;0.382328;3.256555E-001;3
VBD;4;24;0.565921;3.481802E-001;3
VBD;8;1;0.067756;3.323859E-001;3
VBD;8;2;0.114748;1.431051E+000;3
VBD;8;4;0.206857;9.380200E-001;3
VBD;8;8;0.391594;1.584314E-001;3
VBD;8;12;0.578493;1.526312E-001;3
VBD;8;16;0.762773;1.769124E-001;3
VBD;8;24;1.133358;1.863971E-001;3
VBD;12;1;0.101482;1.764603E-001;3
VBD;12;2;0.171843;1.393273E+000;3
VBD;12;4;0.309930;1.088950E+000;3
VBD;12;8;0.588309;2.523362E-001;3
VBD;12;12;0.866081;8.457009E-002;3
VBD;12;16;1.144335;1.073222E-001;3
VBD;12;24;1.699823;1.189672E-001;3
VBD;16;1;0.136910;1.096942E-001;3
VBD;16;2;0.229050;1.385230E+000;3
VBD;16;4;0.414614;1.117266E+000;3
VBD;16;8;0.785493;2.941987E-001;3
VBD;16;12;1.164856;7.147221E-002;3
VBD;16;16;1.523147;7.061525E-002;3
VBD;16;24;2.267448;7.904596E-002;3
VBD;24;1;0.202737;5.462729E-002;3
VBD;24;2;0.343118;1.384469E+000;3
VBD;24;4;0.619282;1.129202E+000;3
VBD;24;8;1.178095;3.274251E-001;3
VBD;24;12;1.732009;7.703606E-002;3
VBD;24;16;2.291399;4.380546E-002;3
VBD;24;24;3.404549;4.964795E-002;3
