method;substeps;iterations;medianMsPerStep;rmsError;repeats;totalIterations
XPBD;1;1;0.005294;1.381487E+000;3;1
XPBD;1;2;0.008294;1.219411E+000;3;2
XPBD;1;4;0.014455;1.216648E+000;3;4
XPBD;1;8;0.026653;1.263140E+000;3;8
XPBD;1;12;0.039498;1.292392E+000;3;12
XPBD;1;16;0.051990;1.308261E+000;3;16
XPBD;1;24;0.076929;1.321863E+000;3;24
XPBD;1;32;0.102159;1.326710E+000;3;32
XPBD;2;1;0.010176;7.954565E-001;3;2
XPBD;2;2;0.016606;7.614848E-001;3;4
XPBD;2;4;0.028977;8.738790E-001;3;8
XPBD;2;8;0.053840;9.383508E-001;3;16
XPBD;2;12;0.078704;9.437910E-001;3;24
XPBD;2;16;0.103675;9.444472E-001;3;32
XPBD;2;24;0.153278;9.441878E-001;3;48
XPBD;2;32;0.203155;9.442977E-001;3;64
XPBD;4;1;0.020675;5.007662E-001;3;4
XPBD;4;2;0.033173;6.502507E-001;3;8
XPBD;4;4;0.057770;7.631725E-001;3;16
XPBD;4;8;0.107447;7.729157E-001;3;32
XPBD;4;12;0.157429;7.731251E-001;3;48
XPBD;4;16;0.207086;7.729788E-001;3;64
XPBD;4;24;0.308487;7.730264E-001;3;96
XPBD;4;32;0.405529;7.730264E-001;3;128
XPBD;8;1;0.040722;4.307934E-001;3;8
XPBD;8;2;0.065483;4.934312E-001;3;16
XPBD;8;4;0.115293;5.286060E-001;3;32
XPBD;8;8;0.214925;5.288699E-001;3;64
XPBD;8;12;0.314016;5.286559E-001;3;96
XPBD;8;16;0.415073;5.286559E-001;3;128
XPBD;8;24;0.612661;5.286559E-001;3;192
XPBD;8;32;0.811532;5.286559E-001;3;256
XPBD;12;1;0.060734;2.948271E-001;3;12
XPBD;12;2;0.098377;3.600380E-001;3;24
XPBD;12;4;0.172708;3.641125E-001;3;48
XPBD;12;8;0.321728;3.635008E-001;3;96
XPBD;12;12;0.471064;3.635008E-001;3;144
XPBD;12;16;0.620382;3.635008E-001;3;192
XPBD;12;24;0.917685;3.635008E-001;3;288
XPBD;12;32;1.216217;3.635008E-001;3;384
XPBD;16;1;0.080903;2.049181E-001;3;16
XPBD;16;2;0.130821;2.595089E-001;3;32
XPBD;16;4;0.230404;2.605905E-001;3;64
XPBD;16;8;0.429481;2.605813E-001;3;128
XPBD;16;12;0.627582;2.605813E-001;3;192
XPBD;16;16;0.825925;2.605813E-001;3;256
XPBD;16;24;1.224099;2.605813E-001;3;384
XPBD;16;32;1.623195;2.605813E-001;3;512
XPBD;24;1;0.121308;1.457197E-001;3;24
XPBD;24;2;0.197134;1.819437E-001;3;48
XPBD;24;4;0.344950;1.933884E-001;3;96
XPBD;24;8;0.643070;1.933884E-001;3;192
XPBD;24;12;0.941493;1.933884E-001;3;288
XPBD;24;16;1.239656;1.933884E-001;3;384
XPBD;24;24;1.836116;1.933884E-001;3;576
XPBD;24;32;2.432298;1.933884E-001;3;768
XPBD;32;1;0.161700;1.366007E-001;3;32
XPBD;32;2;0.261700;2.076693E-001;3;64
XPBD;32;4;0.459980;2.070319E-001;3;128
XPBD;32;8;0.857514;2.070319E-001;3;256
