frame;time;kinetic;gravitational;elastic;total
1;0.041667;0.082617;-0.191476;19.577040;19.468180
2;0.083333;0.326071;-0.520849;153.853200;153.658400
3;0.125000;0.718619;-1.009003;558.985400;558.694900
4;0.166667;1.240096;-1.648736;1449.377000;1448.969000
5;0.208333;1.859666;-2.429801;3101.259000;3100.689000
6;0.250000;2.533799;-3.338089;5837.815000;5837.011000
7;0.291667;3.206833;-4.355024;9975.881000;9974.732000
8;0.333333;3.814804;-5.457131;15775.410000;15773.760000
9;0.375000;4.294362;-6.616484;23457.670000;23455.340000
10;0.416667;4.597590;-7.804096;33258.560000;33255.360000
11;0.458333;4.686045;-8.992257;45391.250000;45386.950000
12;0.500000;4.531422;-10.154330;59898.120000;59892.500000
13;0.541667;4.145816;-11.266040;76385.970000;76378.850000
14;0.583333;3.702888;-12.318840;94319.930000;94311.310000
15;0.625000;3.247296;-13.307440;113152.300000;113142.300000
16;0.666667;2.791938;-14.227040;132374.400000;132362.900000
17;0.708333;2.347343;-15.073340;151529.800000;151517.100000
18;0.750000;1.922468;-15.842660;170186.000000;170172.100000
19;0.791667;1.525597;-16.531620;187901.600000;187886.600000
20;0.833333;1.164444;-17.137260;204225.400000;204209.400000
21;0.875000;0.845801;-17.656880;218709.700000;218692.900000
22;0.916667;0.575189;-18.087810;230948.300000;230930.800000
23;0.958334;0.356730;-18.427750;240609.500000;240591.500000
24;1.000000;0.193185;-18.674420;247456.200000;247437.800000
25;1.041667;0.086209;-18.825840;251347.500000;251328.700000
26;1.083333;0.036622;-18.880680;252231.600000;252212.800000
27;1.125000;0.044561;-18.837910;250129.900000;250111.100000
28;1.166667;0.109402;-18.697280;245128.900000;245110.300000
29;1.208333;0.229491;-18.459430;237369.400000;237351.200000
30;1.250000;0.401813;-18.125810;227057.200000;227039.500000
31;1.291667;0.621755;-17.698680;214456.500000;214439.400000
32;1.333333;0.883059;-17.181350;199893.500000;199877.200000
33;1.375000;1.178044;-16.577720;183745.600000;183730.200000
34;1.416666;1.497964;-15.892540;166435.800000;166421.400000
35;1.458333;1.833439;-15.131080;148408.500000;148395.200000
36;1.500000;2.174916;-14.299130;130119.900000;130107.800000
37;1.541666;2.513172;-13.402870;112012.000000;112001.100000
38;1.583333;2.839739;-12.448630;94497.410000;94487.800000
39;1.625000;3.147240;-11.443020;77942.410000;77934.110000
40;1.666666;3.429612;-10.392450;62653.600000;62646.640000
41;1.708333;3.682227;-9.303403;48869.890000;48864.270000
42;1.749999;3.901907;-8.182113;36758.430000;36754.150000
43;1.791666;4.086802;-7.034492;26416.760000;26413.810000
44;1.833333;4.236269;-5.866162;17877.820000;17876.190000
45;1.874999;4.350302;-4.682435;11119.420000;11119.090000
46;1.916666;4.426853;-3.488706;6073.354000;6074.292000
47;1.958333;4.463083;-2.290795;2637.018000;2639.190000
48;1.999999;4.456645;-1.094850;688.974400;692.336200
49;2.041666;4.405611;0.092640;107.065100;111.563400
50;2.083333;4.306573;1.264701;780.050000;785.621300
51;2.124999;4.148698;2.412928;2604.286000;2610.847000
52;2.166666;3.912596;3.526309;5457.346000;5464.785000
53;2.208333;3.585358;4.591376;9123.759000;9131.936000
54;2.250000;3.172404;5.594964;12717.650000;12726.420000
55;2.291666;2.694414;6.525458;15280.760000;15289.980000
56;2.333333;2.176374;7.368528;17040.360000;17049.900000
57;2.375000;1.660906;8.109730;18234.680000;18244.450000
58;2.416667;1.219762;8.742456;18923.190000;18933.150000
59;2.458333;0.878071;9.263897;19321.470000;19331.610000
60;2.500000;0.641322;9.674393;19505.400000;19515.720000
61;2.541667;0.484337;9.972744;19823.520000;19833.970000
62;2.583333;0.377256;10.153110;20453.490000;20464.030000
63;2.625000;0.312163;10.206670;21434.180000;21444.700000
64;2.666667;0.300919;10.125410;22617.030000;22627.460000
65;2.708334;0.356533;9.906101;23777.400000;23787.660000
66;2.750000;0.493697;9.551478;24500.500000;24510.550000
67;2.791667;0.733203;9.069339;24032.930000;24042.730000
68;2.833334;1.119667;8.462910;22015.550000;22025.130000
69;2.875001;1.626781;7.738299;18786.150000;18795.510000
70;2.916667;2.210427;6.904173;15045.860000;15054.970000
71;2.958334;2.834355;5.969074;11529.800000;11538.610000
72;3.000001;3.465328;4.940186;8990.053000;8998.458000
73;3.041668;4.088791;3.821962;7462.834000;7470.745000
74;3.083334;4.721276;2.614452;5782.910000;5790.246000
75;3.125001;5.334362;1.318076;5494.143000;5500.795000
76;3.166668;5.909264;-0.062931;9694.275000;9700.122000
77;3.208335;6.398578;-1.512863;16753.240000;16758.120000
78;3.250001;6.958469;-3.026425;25151.930000;25155.860000
79;3.291668;7.647947;-4.601759;33962.640000;33965.690000
80;3.333335;8.434683;-6.234255;43278.560000;43280.760000
81;3.375002;9.223226;-7.913336;54168.880000;54170.190000
82;3.416668;9.852704;-9.619101;68169.900000;68170.130000
83;3.458335;10.166990;-11.323240;86494.130000;86492.980000
84;3.500002;10.112920;-12.997390;109964.200000;109961.300000
85;3.541669;9.680145;-14.615700;139392.000000;139387.000000
86;3.583335;8.875647;-16.155230;175366.300000;175359.000000
87;3.625002;7.751289;-17.596100;216996.800000;216986.900000
88;3.666669;6.564676;-18.929530;261864.300000;261852.000000
89;3.708336;5.416408;-20.149300;307135.100000;307120.400000
90;3.750002;4.363794;-21.251380;350599.000000;350582.100000
91;3.791669;3.432833;-22.234750;391148.900000;391130.100000
92;3.833336;2.624535;-23.100730;428473.900000;428453.500000
93;3.875003;1.926566;-23.850210;462312.900000;462291.000000
94;3.916669;1.330123;-24.481700;491867.100000;491843.900000
95;3.958336;0.845722;-24.992820;515849.100000;515825.000000
96;4.000003;0.490940;-25.381510;533029.300000;533004.400000
97;4.041669;0.267569;-25.644450;542672.100000;542646.700000
98;4.083336;0.169805;-25.777220;544687.300000;544661.600000
99;4.125002;0.188441;-25.775020;539481.500000;539455.900000
100;4.166669;0.315845;-25.633590;527697.000000;527671.700000
101;4.208335;0.548403;-25.349760;509986.300000;509961.500000
102;4.250002;0.885410;-24.921900;486922.700000;486898.600000
103;4.291668;1.325507;-24.350550;459028.300000;459005.300000
104;4.333335;1.862894;-23.638570;426858.800000;426837.000000
105;4.375001;2.485539;-22.790860;391087.600000;391067.300000
106;4.416668;3.175763;-21.814200;352531.800000;352513.100000
107;4.458334;3.911004;-20.716910;312152.600000;312135.800000
108;4.500001;4.665876;-19.508550;271013.500000;270998.700000
109;4.541667;5.414598;-18.199580;230218.000000;230205.300000
110;4.583334;6.133111;-16.801110;190846.600000;190836.000000
111;4.625000;6.800731;-15.324290;153887.500000;153878.900000
112;4.666667;7.401134;-13.780610;120181.400000;120175.000000
113;4.708333;7.922956;-12.181050;90378.110000;90373.850000
114;4.750000;8.359751;-10.536260;64907.660000;64905.490000
115;4.791667;8.700900;-8.858703;40729.340000;40729.180000
116;4.833333;8.940385;-7.159084;24225.720000;24227.500000
117;4.875000;14.106860;-5.435465;18287.750000;18296.420000
118;4.916666;16.667100;-3.752125;12651.550000;12664.460000
119;4.958333;16.495770;-2.098368;10006.810000;10021.210000
120;4.999999;15.528400;-0.458500;10700.370000;10715.440000
121;5.041666;14.439140;1.183196;13767.280000;13782.900000
122;5.083332;13.539200;2.825700;14816.580000;14832.950000
123;5.124999;12.874920;4.459299;14076.270000;14093.600000
124;5.166665;12.193460;6.072148;14050.490000;14068.760000
125;5.208332;11.537210;7.647696;14358.200000;14377.380000
126;5.249998;10.967910;9.165067;14313.590000;14333.720000
127;5.291665;10.414710;10.605650;13250.090000;13271.110000
128;5.333331;9.893261;11.967840;11220.540000;11242.400000
129;5.374998;9.549160;13.264400;8925.652000;8948.466000
130;5.416664;9.334909;14.498030;6834.725000;6858.558000
131;5.458331;9.222248;15.672560;5198.106000;5223.001000
132;5.499997;9.124858;16.796440;4276.446000;4302.368000
133;5.541664;8.981527;17.877100;4072.428000;4099.287000
134;5.583330;8.788081;18.924420;4194.163000;4221.875000
135;5.624997;8.631337;19.934300;4298.862000;4327.427000
136;5.666663;8.493186;20.907950;4425.346000;4454.747000
137;5.708330;8.328984;21.845260;4244.557000;4274.731000
138;5.749996;8.195575;22.749130;4122.757000;4153.702000
139;5.791663;8.150602;23.630890;3985.990000;4017.771000
140;5.833329;8.180998;24.487790;3958.087000;3990.756000
141;5.874996;8.240093;25.305220;4201.848000;4235.393000
142;5.916662;8.270952;26.095280;4519.103000;4553.469000
143;5.958329;8.277245;26.872040;5385.291000;5420.440000
144;5.999995;8.363047;27.634960;6714.113000;6750.111000
145;6.041662;8.483516;28.380990;7539.029000;7575.893000
146;6.083328;8.581113;29.108720;8612.236000;8649.926000
147;6.124995;8.761434;29.829560;9630.634000;9669.225000
148;6.166661;8.955492;30.547570;9725.407000;9764.910000
149;6.208328;9.157567;31.263400;10083.680000;10124.100000
150;6.249994;9.354906;31.996300;10652.950000;10694.300000
151;6.291661;9.533500;32.757050;10904.530000;10946.820000
152;6.333327;9.683684;33.541660;11511.250000;11554.480000
153;6.374994;9.773890;34.343900;12178.530000;12222.650000
