frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.053287;-0.059831;1.493004;1.486460
2;0.066667;0.211844;-0.225191;18.129310;18.115960
3;0.100000;0.472118;-0.495482;81.293640;81.270280
4;0.133333;0.828108;-0.869476;237.411900;237.370500
5;0.166667;1.271409;-1.344743;545.823400;545.750100
6;0.200000;1.790698;-1.918085;1079.667000;1079.539000
7;0.233333;2.372060;-2.585528;1919.863000;1919.650000
8;0.266667;2.999448;-3.342347;3154.569000;3154.226000
9;0.300000;3.655206;-4.182971;4899.374000;4898.846000
10;0.333333;4.320617;-5.101026;7303.624000;7302.844000
11;0.366667;4.976730;-6.089291;10533.380000;10532.270000
12;0.400000;5.604734;-7.139738;14736.010000;14734.470000
13;0.433333;6.186928;-8.243599;20010.600000;20008.540000
14;0.466667;6.708375;-9.391355;26400.930000;26398.240000
15;0.500000;7.157151;-10.572850;33879.710000;33876.300000
16;0.533333;7.524713;-11.777720;42358.290000;42354.040000
17;0.566667;7.806979;-12.994700;51940.870000;51935.680000
18;0.600000;8.005504;-14.212950;62611.600000;62605.390000
19;0.633333;8.125654;-15.421450;74214.400000;74207.100000
20;0.666667;8.177030;-16.609140;86559.170000;86550.740000
21;0.700000;8.169488;-17.764910;99378.950000;99369.350000
22;0.733334;8.113208;-18.878260;112292.300000;112281.500000
23;0.766667;8.019005;-19.938660;124790.700000;124778.800000
24;0.800000;7.899886;-20.936780;136618.000000;136604.900000
25;0.833334;7.784116;-21.864020;147483.500000;147469.500000
26;0.866667;7.707698;-22.712600;157184.300000;157169.300000
27;0.900000;7.698906;-23.475920;165590.200000;165574.400000
28;0.933334;7.778856;-24.148150;172268.700000;172252.300000
29;0.966667;7.967172;-24.725050;176661.500000;176644.700000
30;1.000000;8.271090;-25.203650;178739.100000;178722.200000
31;1.033334;8.683101;-25.581990;178879.500000;178862.600000
32;1.066667;9.197065;-25.859820;177530.100000;177513.400000
33;1.100000;9.809480;-26.037560;174969.600000;174953.400000
34;1.133334;10.501130;-26.116760;171339.500000;171323.900000
35;1.166667;11.240390;-26.099710;166011.000000;165996.200000
36;1.200000;11.982260;-25.989870;158604.900000;158590.900000
37;1.233333;12.696260;-25.792010;148704.800000;148691.700000
38;1.266667;13.362630;-25.512530;136691.400000;136679.200000
39;1.300000;13.973330;-25.159410;123921.900000;123910.800000
40;1.333333;14.538410;-24.741590;111079.700000;111069.500000
41;1.366667;15.040030;-24.268390;98886.870000;98877.640000
42;1.400000;15.461040;-23.748580;87466.220000;87457.930000
43;1.433333;15.792240;-23.191000;76789.360000;76781.960000
44;1.466667;16.030330;-22.604490;67159.330000;67152.760000
45;1.500000;16.176350;-21.997210;58627.580000;58621.760000
46;1.533333;16.235450;-21.377370;51130.540000;51125.400000
47;1.566666;16.214130;-20.752950;44475.410000;44470.880000
48;1.600000;16.124710;-20.131940;38621.120000;38617.110000
49;1.633333;15.971650;-19.522540;33634.250000;33630.700000
50;1.666666;15.755900;-18.931990;29480.170000;29476.990000
51;1.700000;15.486820;-18.366370;26185.800000;26182.920000
52;1.733333;15.179890;-17.830690;23674.880000;23672.230000
53;1.766666;14.845120;-17.328990;21828.780000;21826.290000
54;1.800000;14.487210;-16.864090;20568.450000;20566.080000
55;1.833333;14.114730;-16.438320;19799.810000;19797.480000
56;1.866666;13.731690;-16.053340;19509.220000;19506.900000
57;1.899999;13.347870;-15.710310;19699.670000;19697.310000
58;1.933333;12.964830;-15.408470;20419.760000;20417.310000
59;1.966666;12.572440;-15.146970;21714.680000;21712.110000
60;1.999999;12.167200;-14.923530;23561.150000;23558.390000
61;2.033333;11.749620;-14.735640;25888.850000;25885.860000
62;2.066666;11.310370;-14.580210;28717.070000;28713.800000
63;2.099999;10.843180;-14.453470;32155.750000;32152.140000
64;2.133333;10.349810;-14.350950;36236.610000;36232.610000
65;2.166666;9.826913;-14.267880;40851.000000;40846.560000
66;2.199999;9.272562;-14.198600;45922.950000;45918.030000
67;2.233333;8.691634;-14.137720;51405.880000;51400.430000
68;2.266666;8.089679;-14.079930;57221.970000;57215.980000
69;2.299999;7.470418;-14.019490;63202.150000;63195.600000
70;2.333333;6.838297;-13.951170;69155.790000;69148.680000
71;2.366666;6.200218;-13.870050;75054.310000;75046.640000
72;2.399999;5.566901;-13.771460;80901.390000;80893.190000
73;2.433332;4.949747;-13.651680;86532.770000;86524.070000
